dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,0,48,0,0,0.0,E36_Pureboy,account.4943e399c2ac4266b6f887148694113e,0,4118.052,0,0,0,874,0,835.59186,6,11,111.21402168273926,E36,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,de8b5e09-fff5-404d-af3d-a4ccf8dc1547,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",11,1,0,5413.4806025,241.26752,514.538028717041,951.5
0,0,0,0.0,byplayer,0,0,49,0,0,0.0,E36_amonot,account.ffb2970663ab4d09a86836fd231ec8f8,1,5429.1123,0,0,0,869,0,1010.42975,6,11,96.22212219238281,E36,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,de8b5e09-fff5-404d-af3d-a4ccf8dc1547,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",11,1,0,5413.4806025,241.26752,514.538028717041,951.5
1,0,2,100.0,byplayer,0,1,24,1,1,167.32562,E36_indigo,account.2f549b1012264591bd790880db5a8757,0,4042.275,0,0,0,870,0,1112.5336,3,11,200.00000190734863,E36,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,de8b5e09-fff5-404d-af3d-a4ccf8dc1547,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",11,1,0,5413.4806025,241.26752,514.538028717041,951.5
0,0,4,141.26752,byplayer,0,8,47,0,0,0.0,E36_Starlord,account.58d7473410a34337ad40b274ccd22aa1,0,3406.065,0,0,0,1193,0,1699.8629,5,11,107.10188293457031,E36,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,de8b5e09-fff5-404d-af3d-a4ccf8dc1547,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",11,1,0,5413.4806025,241.26752,514.538028717041,951.5
1,0,2,201.147,byplayer,0,3,11,2,2,44.29762,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,0,7943.1987,0,0,0,1331,0,1089.9048,5,8,292.3308296203613,Uniq,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,1a753c5d-79d7-4eff-91ff-a6af6fbf7c3d,"['Uniq_DaNt3-', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_Faultlessly']",8,3,1,8391.5333125,548.7225129999999,722.7801380157471,1240.75
3,0,3,227.28949,byplayer,0,1,21,1,1,3.8705976,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,0,7750.17,0,0,0,1261,0,1074.1927,3,8,191.39999771118164,Uniq,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,1a753c5d-79d7-4eff-91ff-a6af6fbf7c3d,"['Uniq_DaNt3-', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_Faultlessly']",8,3,1,8391.5333125,548.7225129999999,722.7801380157471,1240.75
0,0,1,38.981033,byplayer,0,0,43,0,0,0.0,Uniq_Fate,account.053a51017bc94630b29b49ea3ca53945,0,7256.1787,0,0,0,1107,0,985.97235,6,8,100.0,Uniq,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,1a753c5d-79d7-4eff-91ff-a6af6fbf7c3d,"['Uniq_DaNt3-', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_Faultlessly']",8,3,1,8391.5333125,548.7225129999999,722.7801380157471,1240.75
0,1,3,81.30499,byplayer,0,1,42,0,0,0.0,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,0,6465.073,0,0,0,1264,0,1001.443,3,8,139.0493106842041,Uniq,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,1a753c5d-79d7-4eff-91ff-a6af6fbf7c3d,"['Uniq_DaNt3-', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_Faultlessly']",8,3,1,8391.5333125,548.7225129999999,722.7801380157471,1240.75
1,0,3,193.20645,byplayer,0,2,10,1,2,133.43504,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,9688.705,0,0,0,1666,0,1153.6459,6,5,203.85233116149902,KX,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,8ae5db58-9dd9-4ee4-887e-f2b660f86e4b,"['KX_Yuren', 'KX_Cobra', 'KX_Lanren', 'KX_YUPPIE']",5,2,0,11528.427897500002,479.96591,714.9038619995117,1258.5
0,0,1,0.0,byplayer,0,0,36,0,0,0.0,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,10475.298,0,0,0,869,0,553.7018,5,5,94.2662410736084,KX,b1a36dbf-1c78-4f61-94d1-62ed126fe6e7,2021-11-29T12:05:13Z,Miramar,1776,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/12/36/00ee0f34-5111-11ec-9c21-16512f2173af-telemetry.json,8ae5db58-9dd9-4ee4-887e-f2b660f86e4b,"['KX_Yuren', 'KX_Cobra', 'KX_Lanren', 'KX_YUPPIE']",5,2,0,11528.427897500002,479.96591,714.9038619995117,1258.5
