dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,6,218.19644,byplayer,1,2,8,1,2,345.14365,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,4814.266,0,0.0,0,1436,0,1599.1304,5,3,211.23582458496094,NH,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,3eafe9df-0b31-445a-a8e8-cd4bf4183606,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing', 'NH_HSmm']",3,3,2,6830.649649999999,708.784613,819.2041568756104,1517.5
1,0,5,50.856743,byplayer,0,1,37,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,4780.4526,0,0.0,0,1431,0,1326.7769,4,3,93.28823852539062,NH,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,3eafe9df-0b31-445a-a8e8-cd4bf4183606,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing', 'NH_HSmm']",3,3,2,6830.649649999999,708.784613,819.2041568756104,1517.5
0,1,3,130.18925,byplayer,0,0,20,1,1,186.05435,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,5120.351,0,0.0,0,1461,0,2128.0276,5,3,99.69611930847168,NH,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,3eafe9df-0b31-445a-a8e8-cd4bf4183606,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing', 'NH_HSmm']",3,3,2,6830.649649999999,708.784613,819.2041568756104,1517.5
2,1,7,309.54218,byplayer,0,6,36,0,0,0.0,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,6264.9004,0,0.0,0,1742,1,1288.6937,5,3,414.9839744567871,NH,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,3eafe9df-0b31-445a-a8e8-cd4bf4183606,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing', 'NH_HSmm']",3,3,2,6830.649649999999,708.784613,819.2041568756104,1517.5
0,0,2,154.7518,byplayer,0,1,59,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,7857.2,0,0.0,0,904,0,534.8588,5,15,200.00000381469727,SSG,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,46684d75-74a1-4438-b904-7e8eea523a63,"['SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_Keenan']",15,0,0,7589.053505,393.850046,628.3901138305664,896.5
0,0,1,54.9,byplayer,0,0,60,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,6341.6235,0,0.0,0,883,0,793.8901,5,15,89.3501091003418,SSG,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,46684d75-74a1-4438-b904-7e8eea523a63,"['SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_Keenan']",15,0,0,7589.053505,393.850046,628.3901138305664,896.5
0,0,2,67.02,byplayer,0,0,61,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,6697.9307,0,0.0,0,880,0,610.21747,5,15,121.5999984741211,SSG,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,46684d75-74a1-4438-b904-7e8eea523a63,"['SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_Keenan']",15,0,0,7589.053505,393.850046,628.3901138305664,896.5
1,0,1,117.178246,byplayer,0,2,58,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,1,6763.033,0,0.0,0,919,0,757.46045,3,15,217.44000244140625,SSG,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,46684d75-74a1-4438-b904-7e8eea523a63,"['SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_Keenan']",15,0,0,7589.053505,393.850046,628.3901138305664,896.5
0,0,0,81.84,byplayer,0,0,62,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,0,3405.7825,0,0.0,0,723,0,659.2528,4,16,100.00000667572021,TL,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,f2e68c64-186f-421a-9c91-72f79c651447,"['TL_ibiza', 'TL_clib', 'TL_mxey', 'TL_jeemzz']",16,2,0,3562.4183725000003,469.57886999999994,599.0720715522766,634.25
2,0,2,313.33887,byplayer,1,4,18,2,2,72.71075,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,3492.2034,0,0.0,0,869,0,643.815,6,16,233.35206747055054,TL,b2bd7a71-9bb4-403f-8f68-5db0472f9ca3,2021-12-18T12:08:57Z,Erangel (Remastered),1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/40/9ed85f20-5fff-11ec-9c21-16512f2173af-telemetry.json,f2e68c64-186f-421a-9c91-72f79c651447,"['TL_ibiza', 'TL_clib', 'TL_mxey', 'TL_jeemzz']",16,2,0,3562.4183725000003,469.57886999999994,599.0720715522766,634.25
