dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,3,132.6017,byplayer,0,2,54,0,0,0.0,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,4710.6323,0,0,0,1026,0,1004.39795,7,11,161.22009658813477,YAHO,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,689a69b9-a6bb-4126-89b2-c1ef9f33ee90,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi']",11,3,1,5788.7485375,515.043676,631.5731801986694,1022.0
0,0,3,134.2602,byplayer,1,6,25,1,1,34.00956,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,4849.991,0,0,0,1026,0,1022.2191,5,11,182.7769546508789,YAHO,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,689a69b9-a6bb-4126-89b2-c1ef9f33ee90,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi']",11,3,1,5788.7485375,515.043676,631.5731801986694,1022.0
2,0,4,170.07678,byplayer,1,4,11,1,2,11.183159,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,5344.955,0,0,0,1026,0,1223.5961,7,11,169.25220012664795,YAHO,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,689a69b9-a6bb-4126-89b2-c1ef9f33ee90,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi']",11,3,1,5788.7485375,515.043676,631.5731801986694,1022.0
0,0,2,78.104996,byplayer,0,0,55,0,0,0.0,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,3991.3445,0,0,0,1010,0,1007.8582,5,11,118.32392883300781,YAHO,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,689a69b9-a6bb-4126-89b2-c1ef9f33ee90,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi']",11,3,1,5788.7485375,515.043676,631.5731801986694,1022.0
0,0,0,0.0,byplayer,0,0,63,0,0,0.0,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,1417.337,0,0,0,381,0,414.22986,3,15,100.0,CES,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,5a0a56b4-bd05-4f14-9ae7-26f4447f3f23,"['CES_Himass', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Sololzy']",15,3,0,1747.18919,397.477501,515.4205188751221,477.25
2,0,2,270.4175,byplayer,0,1,13,1,2,145.84975,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,0.0,0,0,0,712,0,1566.1489,5,15,141.32331466674805,CES,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,5a0a56b4-bd05-4f14-9ae7-26f4447f3f23,"['CES_Himass', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Sololzy']",15,3,0,1747.18919,397.477501,515.4205188751221,477.25
0,0,0,27.060001,byplayer,0,0,62,0,0,0.0,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,875.6015,0,0,0,414,0,418.0155,6,15,100.0000057220459,CES,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,5a0a56b4-bd05-4f14-9ae7-26f4447f3f23,"['CES_Himass', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Sololzy']",15,3,0,1747.18919,397.477501,515.4205188751221,477.25
1,0,0,100.0,byplayer,1,1,31,1,1,30.038486,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,0,1899.9236,0,0,0,402,0,397.5004,6,15,174.09719848632812,CES,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,5a0a56b4-bd05-4f14-9ae7-26f4447f3f23,"['CES_Himass', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Sololzy']",15,3,0,1747.18919,397.477501,515.4205188751221,477.25
1,0,8,251.09056,byplayer,0,7,38,0,0,0.0,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,4741.0225,0,0,0,1648,0,1692.3536,4,5,349.6529541015625,QM,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,4db76e70-6fcc-4963-9b7f-0cd7184ab616,"['QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E', 'QM_HoBBitEz']",5,3,0,5694.6221000000005,890.7118700000001,1050.3714656829834,1352.75
0,0,0,0.0,byplayer,0,0,39,0,0,0.0,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,3296.568,0,0,0,495,0,416.5543,5,5,100.00000381469727,QM,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,4db76e70-6fcc-4963-9b7f-0cd7184ab616,"['QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E', 'QM_HoBBitEz']",5,3,0,5694.6221000000005,890.7118700000001,1050.3714656829834,1352.75
2,0,7,367.39154,byplayer,1,5,10,1,2,164.08739,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,0,4732.661,0,0,0,1634,0,1811.7026,7,5,377.5581302642822,QM,b59e4477-ab4d-479c-9b0a-18933fda2ee2,2022-11-18T13:41:51Z,Miramar,1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/14/15/72a6c237-674b-11ed-a4c3-16512f2173af-telemetry.json,4db76e70-6fcc-4963-9b7f-0cd7184ab616,"['QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E', 'QM_HoBBitEz']",5,3,0,5694.6221000000005,890.7118700000001,1050.3714656829834,1352.75
