dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,4,5,554.3276,byplayer,0,2,12,1,2,282.58102,4AM_We1less,account.b181275686294c829f3e887d0b278ee6,0,2778.3472,0,0,0,1729.211,0,1911.5681,7,3,296.59290504455566,4AM,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,fbd7d1a5-183e-4fe9-99d0-f56495bd96c0,"['4AM_We1less', '4AM_xxxLu', '4AM_ZGGO1', '4AM_Forever']",3,10,18,4429.370975,2642.58697,953.3048429489136,1693.3705
1,2,1,426.24338,byplayer,0,1,7,1,3,109.1096,4AM_xxxLu,account.963ddad31fab42baa8458d0004856432,0,3395.461,0,0,0,1608.061,2,1137.7816,6,3,153.4536190032959,4AM,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,fbd7d1a5-183e-4fe9-99d0-f56495bd96c0,"['4AM_We1less', '4AM_xxxLu', '4AM_ZGGO1', '4AM_Forever']",3,10,18,4429.370975,2642.58697,953.3048429489136,1693.3705
4,9,5,894.98425,byplayer,1,4,20,1,1,203.85321,4AM_ZGGO1,account.8fe658e0a8da4c4d8d88ce592264e281,0,1969.9375,0,0,0,1729.214,0,2553.738,5,3,260.3407688140869,4AM,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,fbd7d1a5-183e-4fe9-99d0-f56495bd96c0,"['4AM_We1less', '4AM_xxxLu', '4AM_ZGGO1', '4AM_Forever']",3,10,18,4429.370975,2642.58697,953.3048429489136,1693.3705
4,3,5,767.03174,byplayer,2,6,2,2,4,277.70804,4AM_Forever,account.ee40770ce95f407299e9eb39f896ce40,0,2763.4119,0,0,0,1706.996,0,1207.2386,5,3,242.9175500869751,4AM,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,fbd7d1a5-183e-4fe9-99d0-f56495bd96c0,"['4AM_We1less', '4AM_xxxLu', '4AM_ZGGO1', '4AM_Forever']",3,10,18,4429.370975,2642.58697,953.3048429489136,1693.3705
1,0,3,340.4246,byplayer,0,6,22,1,1,123.49954,ENF_kAyle,account.c48dd8f1ec9649508b79466cc5f11e0a,0,9150.166,0,0,0,1295.858,2,718.8399,3,6,252.79644775390625,ENF,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,b89afa37-38ef-45b1-9b9a-c6cf14f5d3cf,"['ENF_kAyle', 'ENF_Seongjang', 'ENF_indigo', 'ENF_DoYa']",6,3,2,8832.590064999999,766.177916,1082.1295280456543,1266.9745
0,0,6,87.506386,byplayer,0,9,76,0,0,0.0,ENF_Seongjang,account.a85b0a8246984e8fa0f88d977fb9d3b1,0,9331.108,0,0,0,1377.649,0,667.2908,4,6,415.49672508239746,ENF,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,b89afa37-38ef-45b1-9b9a-c6cf14f5d3cf,"['ENF_kAyle', 'ENF_Seongjang', 'ENF_indigo', 'ENF_DoYa']",6,3,2,8832.590064999999,766.177916,1082.1295280456543,1266.9745
2,2,5,261.54184,byplayer,1,8,14,1,2,10.972853,ENF_indigo,account.76c4948070d3443686756d4071eb3ff6,1,6745.2046,0,0,0,1425.532,0,985.1797,3,6,310.8363552093506,ENF,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,b89afa37-38ef-45b1-9b9a-c6cf14f5d3cf,"['ENF_kAyle', 'ENF_Seongjang', 'ENF_indigo', 'ENF_DoYa']",6,3,2,8832.590064999999,766.177916,1082.1295280456543,1266.9745
1,0,2,76.70509,byplayer,0,0,77,0,0,0.0,ENF_DoYa,account.814e736187024265b5f4177a639adf64,0,6878.353,0,0,0,968.859,0,854.21826,6,6,103.0,ENF,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,b89afa37-38ef-45b1-9b9a-c6cf14f5d3cf,"['ENF_kAyle', 'ENF_Seongjang', 'ENF_indigo', 'ENF_DoYa']",6,3,2,8832.590064999999,766.177916,1082.1295280456543,1266.9745
1,1,2,335.51312,byplayer,0,3,25,1,1,21.005562,GNS_hwinn,account.451ab4bbe0ee43fcbe5453a4328eca6c,1,3082.9,0,0,0,1271.952,1,2200.4038,8,9,233.02566146850586,GNS,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,31d75d4f-854d-4520-80ba-3d65cfd3c5cb,"['GNS_hwinn', 'GNS_Kaymind', 'GNS_Nerf', 'GNS_Pr0phie']",9,6,4,4959.00385,1026.584026,846.150652885437,1293.4540000000002
1,0,2,170.61574,byplayer,0,1,24,1,1,219.12569,GNS_Kaymind,account.3a01f830d4a24b82926bdc86c4a08c67,0,3312.1807,0,0,0,1294.155,0,1387.1508,3,9,175.00000190734863,GNS,b7a17db1-aea3-4fe5-8408-1fa9b5ebfe82,2019-11-24T02:06:22Z,Erangel,1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/02/39/9ad0f232-0e63-11ea-8b2e-0a5864602270-telemetry.json,31d75d4f-854d-4520-80ba-3d65cfd3c5cb,"['GNS_hwinn', 'GNS_Kaymind', 'GNS_Nerf', 'GNS_Pr0phie']",9,6,4,4959.00385,1026.584026,846.150652885437,1293.4540000000002
