dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,5,306.18365,byplayer,0,2,10,1,3,107.88162,AAP_CeeJay18,account.89b426db942140b7bc7459dd539bae1c,0,5597.5723,0,0,0,1339,0,1337.8219,5,11,212.1305627822876,AAP,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,9d61039b-89a7-4110-81b4-f494bd3155e1,"['AAP_CeeJay18', 'AAP_MADDOG', 'AAP_SilentKnight', 'AAP_AljnBOTz']",11,6,3,8272.072775,841.0002929999999,557.6555395126343,1197.0
3,0,4,213.55334,byplayer,1,2,11,1,3,92.25829,AAP_MADDOG,account.2f1e8e20894f4643a34d4a5096b007bf,0,7030.5195,0,0,0,1162,0,1171.2926,3,11,116.39547348022461,AAP,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,9d61039b-89a7-4110-81b4-f494bd3155e1,"['AAP_CeeJay18', 'AAP_MADDOG', 'AAP_SilentKnight', 'AAP_AljnBOTz']",11,6,3,8272.072775,841.0002929999999,557.6555395126343,1197.0
0,1,3,52.052063,byplayer,0,2,48,0,0,0.0,AAP_SilentKnight,account.008c668f923d4a758c9d50e7fb96223b,0,7291.166,0,0,0,1108,0,1238.4802,5,11,182.0000057220459,AAP,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,9d61039b-89a7-4110-81b4-f494bd3155e1,"['AAP_CeeJay18', 'AAP_MADDOG', 'AAP_SilentKnight', 'AAP_AljnBOTz']",11,6,3,8272.072775,841.0002929999999,557.6555395126343,1197.0
1,2,1,269.21124,byplayer,0,2,47,0,0,0.0,AAP_AljnBOTz,account.93f365058f0b4e96a516d267af2ea8d0,1,7960.4214,0,0,0,1179,0,1461.0172,7,11,47.12949752807617,AAP,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,9d61039b-89a7-4110-81b4-f494bd3155e1,"['AAP_CeeJay18', 'AAP_MADDOG', 'AAP_SilentKnight', 'AAP_AljnBOTz']",11,6,3,8272.072775,841.0002929999999,557.6555395126343,1197.0
0,0,3,24.463186,byplayer,0,0,55,0,0,0.0,BN_SimonT,account.9181ee8d1ab44fb6906aecf61fb4a550,0,6001.2974,0,0,0,989,0,1534.4899,4,14,126.45223236083984,BN,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,d077917b-42ad-47be-8cf4-1f9848a265af,"['BN_SimonT', 'BN_GodAcee', 'BN_Zest', 'BN_YoungBii']",14,1,0,6451.373925,451.177216,457.45948028564453,1040.5
0,0,5,182.1129,byplayer,1,1,25,1,1,28.935904,BN_GodAcee,account.8f19a63478dc43fc8323ef2fd929c756,0,5254.3794,0,0,0,1167,0,1848.315,7,14,99.99999809265137,BN,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,d077917b-42ad-47be-8cf4-1f9848a265af,"['BN_SimonT', 'BN_GodAcee', 'BN_Zest', 'BN_YoungBii']",14,1,0,6451.373925,451.177216,457.45948028564453,1040.5
0,0,7,169.53381,byplayer,0,2,54,0,0,0.0,BN_Zest,account.e742583d9046460580cf393d30c8b49b,0,4681.7407,0,0,0,1156,0,1200.1625,5,14,150.20729637145996,BN,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,d077917b-42ad-47be-8cf4-1f9848a265af,"['BN_SimonT', 'BN_GodAcee', 'BN_Zest', 'BN_YoungBii']",14,1,0,6451.373925,451.177216,457.45948028564453,1040.5
1,0,2,75.06732,byplayer,0,0,56,0,0,0.0,BN_YoungBii,account.f529d523a46d454990081f523935beb6,0,4111.4824,0,0,0,850,0,1173.6284,6,14,80.79995346069336,BN,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,d077917b-42ad-47be-8cf4-1f9848a265af,"['BN_SimonT', 'BN_GodAcee', 'BN_Zest', 'BN_YoungBii']",14,1,0,6451.373925,451.177216,457.45948028564453,1040.5
3,1,5,423.43842,alive,1,7,6,2,3,46.578346,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,0,2732.1711,0,0,0,1857,1,1523.1821,7,1,231.45466995239258,GHD,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,7029f4fc-e656-4684-9940-26aa42bf12c9,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_McMoo', 'GHD_3007']",1,8,2,4861.3345,1463.7751835000001,1139.4163990020752,1857.0
4,1,5,587.871,alive,0,5,5,1,3,184.03975,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,0,3335.6604,0,0,0,1857,0,1869.4404,3,1,301.80402755737305,GHD,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,7029f4fc-e656-4684-9940-26aa42bf12c9,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_McMoo', 'GHD_3007']",1,8,2,4861.3345,1463.7751835000001,1139.4163990020752,1857.0
1,0,6,2.9091835,alive,0,13,26,0,0,0.0,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,0,3813.2656,0,0,0,1857,0,1550.7627,6,1,424.2374610900879,GHD,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,7029f4fc-e656-4684-9940-26aa42bf12c9,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_McMoo', 'GHD_3007']",1,8,2,4861.3345,1463.7751835000001,1139.4163990020752,1857.0
1,0,3,449.55658,alive,0,2,12,1,2,49.397594,GHD_3007,account.3ba05a082b83466c89b3446e968de306,1,2181.8213,0,0,0,1857,0,2439.0344,5,1,181.92024040222168,GHD,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,7029f4fc-e656-4684-9940-26aa42bf12c9,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_McMoo', 'GHD_3007']",1,8,2,4861.3345,1463.7751835000001,1139.4163990020752,1857.0
0,0,1,0.0,byplayer,0,1,44,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,2351.9087,0,0,0,622,0,452.7817,6,9,185.36712074279785,FURY,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,e8a4eb47-8df5-4da9-899e-efa0b5339e2e,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow', 'FURY_Ronon']",9,0,0,3119.8242,1180.2199799999999,576.084774017334,1173.25
0,0,1,179.63208,byplayer,0,0,41,0,0,0.0,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,1746.297,0,0,0,1357,0,1032.3601,3,9,122.99946403503418,FURY,b7d64a50-1436-438b-b531-0c1f6fcfe8c4,2021-12-06T10:03:08Z,Miramar,1857,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/10/35/4c12fe89-5680-11ec-9c21-16512f2173af-telemetry.json,e8a4eb47-8df5-4da9-899e-efa0b5339e2e,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow', 'FURY_Ronon']",9,0,0,3119.8242,1180.2199799999999,576.084774017334,1173.25
