dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,100.0,byplayer,0,1,51,0,0,0.0,PeRo_mingz1,account.a19adf3652f34573a5dd707b9828dae6,0,6351.273,0,0,0,1258,0,688.10095,5,10,123.0,PeRo,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,c08e9707-a100-48a0-880f-1da44a254933,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Myl', 'PeRo_Aixleft']",10,1,0,5219.1036375,100.0,485.82365798950195,942.0
0,0,3,0.0,byplayer,0,1,53,0,0,0.0,PeRo_Mamu,account.4b6cdac82d4846d4a160ee7e54bf38e5,0,2032.6464,0,0,0,635,0,556.1172,5,10,140.14194869995117,PeRo,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,c08e9707-a100-48a0-880f-1da44a254933,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Myl', 'PeRo_Aixleft']",10,1,0,5219.1036375,100.0,485.82365798950195,942.0
0,0,3,0.0,byplayer,0,0,52,0,0,0.0,PeRo_Myl,account.c12ed0be526b463ca97ceb41b0cbbfe5,0,2730.6304,0,0,0,651,0,651.7994,4,10,102.0,PeRo,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,c08e9707-a100-48a0-880f-1da44a254933,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Myl', 'PeRo_Aixleft']",10,1,0,5219.1036375,100.0,485.82365798950195,942.0
0,0,3,0.0,byplayer,0,0,28,1,1,714.1582,PeRo_Aixleft,account.5f204ec2d736445490ccc3a43fae700e,0,6740.6055,0,0,0,1224,1,1125.2417,7,10,120.68170928955078,PeRo,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,c08e9707-a100-48a0-880f-1da44a254933,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Myl', 'PeRo_Aixleft']",10,1,0,5219.1036375,100.0,485.82365798950195,942.0
1,0,6,283.59674,byplayer,0,1,13,1,2,145.31012,GNL_Tosi,account.752a8be90aec46828a621bebcf9669ea,0,2768.1719,0,0,0,1344,0,1306.9176,4,9,180.86761474609375,GNL,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,0310d3a1-e740-4b82-9241-b38056896e3f,"['GNL_Tosi', 'GNL_Heaven', 'GNL_Americano', 'GNL_Corn']",9,8,4,3693.298985,1112.07262,871.173020362854,1138.25
0,0,0,0.0,byplayer,0,0,50,0,0,0.0,GNL_Heaven,account.476a6cba0328434ab992afec9a75020a,0,1249.3983,0,0,0,359,0,378.60294,7,9,100.00000190734863,GNL,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,0310d3a1-e740-4b82-9241-b38056896e3f,"['GNL_Tosi', 'GNL_Heaven', 'GNL_Americano', 'GNL_Corn']",9,8,4,3693.298985,1112.07262,871.173020362854,1138.25
4,3,4,667.78296,byplayer,2,4,3,2,4,166.65459,GNL_Americano,account.5df68cafc1d944daa51bd220f684a168,0,3186.848,0,0,0,1425,0,1093.8135,5,9,351.60862827301025,GNL,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,0310d3a1-e740-4b82-9241-b38056896e3f,"['GNL_Tosi', 'GNL_Heaven', 'GNL_Americano', 'GNL_Corn']",9,8,4,3693.298985,1112.07262,871.173020362854,1138.25
2,1,5,160.69292,byplayer,1,3,12,1,2,163.62549,GNL_Corn,account.1c007691fd9f42d3b22bf5ad4b0cd8f6,0,3440.9207,0,0,0,1425,0,1348.523,5,9,238.69677543640137,GNL,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,0310d3a1-e740-4b82-9241-b38056896e3f,"['GNL_Tosi', 'GNL_Heaven', 'GNL_Americano', 'GNL_Corn']",9,8,4,3693.298985,1112.07262,871.173020362854,1138.25
0,0,4,131.0605,byzone,0,3,41,0,0,0.0,BN_YoungBii,account.e27baa314eca4fec8ad69ba77caf39ba,0,2785.2344,0,0,0,1141,1,1346.1748,4,4,212.7628993988037,BN,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,1e90fa08-8df7-41c1-aeef-d052262fd894,"['BN_YoungBii', 'BN_SimonT', 'BN_Zest', 'BN_GodAcee']",4,3,1,4046.673125,571.974528,701.9802989959717,1257.25
0,0,2,116.08383,byplayer,0,2,20,1,1,124.58536,BN_SimonT,account.06c283ab5a21462bb73faaa78a925e9c,0,1685.1178,0,0,0,1520,0,1915.6963,5,4,166.30467796325684,BN,b8d8a9ee-6999-41f4-8610-5fedebcec31d,2021-11-21T14:33:18Z,Miramar,1694,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/15/03/2e742e7d-4adc-11ec-9c21-16512f2173af-telemetry.json,1e90fa08-8df7-41c1-aeef-d052262fd894,"['BN_YoungBii', 'BN_SimonT', 'BN_Zest', 'BN_GodAcee']",4,3,1,4046.673125,571.974528,701.9802989959717,1257.25
