dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,3,30.21,byplayer,0,2,71,0,0,0.0,GNS_Pr0phie,account.6215a8dc42c34975b4be87aaa99c30e2,0,1948.4753,0,0.0,0,513.094,0,351.41025,6,4,183.27870559692383,GNS,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,28cd7e18-0132-428b-a086-a70807f24c66,"['GNS_Pr0phie', 'GNS_Nerf', 'GNS_hwinn', 'GNS_Kaymind']",4,4,6,3517.836475,868.74055,1252.743350982666,891.0497499999999
1,1,0,100.0,byplayer,0,0,72,0,0,0.0,GNS_Nerf,account.c05392d139b047018f59a7b62d2b29cb,0,2468.2732,0,0.0,0,336.471,0,246.58195,3,4,100.0000057220459,GNS,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,28cd7e18-0132-428b-a086-a70807f24c66,"['GNS_Pr0phie', 'GNS_Nerf', 'GNS_hwinn', 'GNS_Kaymind']",4,4,6,3517.836475,868.74055,1252.743350982666,891.0497499999999
3,1,6,299.70337,byplayer,2,8,8,1,3,147.20439,GNS_hwinn,account.ee16df41e70c4e9c8b676a9ced840668,0,2053.9895,0,0.0,0,1111.61,1,2257.7258,3,4,532.6170291900635,GNS,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,28cd7e18-0132-428b-a086-a70807f24c66,"['GNS_Pr0phie', 'GNS_Nerf', 'GNS_hwinn', 'GNS_Kaymind']",4,4,6,3517.836475,868.74055,1252.743350982666,891.0497499999999
1,3,8,438.82718,byzone,1,5,20,1,1,204.73773,GNS_Kaymind,account.8476c8b8df21479d96f1d89083166234,3,1988.2593,0,0.0,0,1603.024,0,2756.6306,6,4,436.8476104736328,GNS,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,28cd7e18-0132-428b-a086-a70807f24c66,"['GNS_Pr0phie', 'GNS_Nerf', 'GNS_hwinn', 'GNS_Kaymind']",4,4,6,3517.836475,868.74055,1252.743350982666,891.0497499999999
0,0,1,235.23524,byplayer,0,4,70,0,0,0.0,VEN_eDGe,account.ff72b90a889c433fbf13786f4d4f95ad,0,2193.6526,0,0.0,0,951.801,0,651.9978,2,3,176.51247787475586,VEN,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,0ffe1368-6037-4755-a8ac-5622292d64e2,"['VEN_eDGe', 'VEN_nonreg', 'VEN_kritikalmotion', 'VEN_icoNDks']",3,0,0,3381.5234124999997,411.311517,678.2525310516357,1209.54275
0,0,1,0.0,byplayer,0,1,68,0,0,0.0,VEN_nonreg,account.e126528346dd4c6fb721de426f835e5f,0,2428.4878,0,0.0,0,1188.672,0,780.47064,4,3,168.89409065246582,VEN,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,0ffe1368-6037-4755-a8ac-5622292d64e2,"['VEN_eDGe', 'VEN_nonreg', 'VEN_kritikalmotion', 'VEN_icoNDks']",3,0,0,3381.5234124999997,411.311517,678.2525310516357,1209.54275
0,0,3,26.692957,byplayer,0,2,67,0,0,0.0,VEN_kritikalmotion,account.52e34a4ca31049879427f28fc8f3f247,0,2807.858,0,0.0,0,1743.3,0,841.75256,5,3,232.8459587097168,VEN,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,0ffe1368-6037-4755-a8ac-5622292d64e2,"['VEN_eDGe', 'VEN_nonreg', 'VEN_kritikalmotion', 'VEN_icoNDks']",3,0,0,3381.5234124999997,411.311517,678.2525310516357,1209.54275
1,0,0,149.38332,byplayer,0,0,69,0,0,0.0,VEN_icoNDks,account.55f91d81dae34b7f8310668adc511d7e,0,3251.9055,0,0.0,0,954.398,1,569.96875,6,3,100.00000381469727,VEN,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,0ffe1368-6037-4755-a8ac-5622292d64e2,"['VEN_eDGe', 'VEN_nonreg', 'VEN_kritikalmotion', 'VEN_icoNDks']",3,0,0,3381.5234124999997,411.311517,678.2525310516357,1209.54275
1,0,0,18.820005,byplayer,0,0,18,2,2,167.21466,VC_DJboy,account.5c6d3fb1f7f0444fbbebc91bcb3944c2,0,1122.2114,0,0.0,0,344.664,0,318.52847,4,16,100.00000190734863,VC,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,c10eb310-e6ee-4589-bda5-f6a4b6580d1f,"['VC_DJboy', 'VC_DouM', 'VC_Summer', 'VC_Tide']",16,3,1,2096.157705,133.002645,400.00000953674316,473.70750000000004
1,0,0,84.66264,byplayer,0,0,28,1,1,14.032391,VC_DouM,account.13dda8334d8444afbdd246e433aed96d,0,2754.4912,0,0.0,0,606.943,0,471.64926,5,16,100.00000762939453,VC,ba3619f8-a996-4ef1-9dd7-4a8d7edc073c,2019-11-16T02:35:43Z,Erangel,1818,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/07/3dfb853c-081e-11ea-bc7c-0a586469e7d8-telemetry.json,c10eb310-e6ee-4589-bda5-f6a4b6580d1f,"['VC_DJboy', 'VC_DouM', 'VC_Summer', 'VC_Tide']",16,3,1,2096.157705,133.002645,400.00000953674316,473.70750000000004
