dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,25.380001,byplayer,0,0,60,0,0,0.0,PeRo_Mamu,account.4b6cdac82d4846d4a160ee7e54bf38e5,0,1462.8528,0,0,0,684,0,633.3524,5,15,83.33720970153809,PeRo,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,c605f873-d61c-495f-a943-e11196612230,"['PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft']",15,1,2,2217.62669,228.380001,494.1240167617798,692.5
0,1,0,81.0,byplayer,0,0,58,0,0,0.0,PeRo_mingz1,account.a19adf3652f34573a5dd707b9828dae6,0,1083.3214,0,0,0,700,0,560.9652,4,15,100.0,PeRo,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,c605f873-d61c-495f-a943-e11196612230,"['PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft']",15,1,2,2217.62669,228.380001,494.1240167617798,692.5
1,0,2,62.560005,byplayer,0,2,26,1,1,52.908524,PeRo_Myl,account.c12ed0be526b463ca97ceb41b0cbbfe5,0,1548.9714,0,0,0,686,0,629.11926,4,15,146.7837953567505,PeRo,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,c605f873-d61c-495f-a943-e11196612230,"['PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft']",15,1,2,2217.62669,228.380001,494.1240167617798,692.5
1,1,2,59.439995,byplayer,0,1,59,0,0,0.0,PeRo_Aixleft,account.5f204ec2d736445490ccc3a43fae700e,0,2196.374,0,0,0,700,0,755.5503,8,15,164.0030117034912,PeRo,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,c605f873-d61c-495f-a943-e11196612230,"['PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft']",15,1,2,2217.62669,228.380001,494.1240167617798,692.5
0,1,2,106.53933,byplayer,0,1,30,0,0,0.0,FURY_Ykikamucow,account.d4d084bbf0c2400480a484110ff67eee,0,6765.409,0,0,0,1689,0,1114.1831,4,3,139.88776397705078,FURY,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,8c6f81d5-f928-4d67-99df-6d57097e1615,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",3,2,2,6593.1808625,1055.10198,663.2944450378418,1432.25
3,0,4,180.85895,byplayer,1,1,11,1,2,301.076,FURY_Insight,account.367fa053eea740a9a1423b110d078f23,0,6685.038,0,0,0,1675,0,1244.0372,7,3,186.6511344909668,FURY,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,8c6f81d5-f928-4d67-99df-6d57097e1615,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",3,2,2,6593.1808625,1055.10198,663.2944450378418,1432.25
0,1,5,767.7037,byplayer,0,2,29,0,0,0.0,FURY_Fludd,account.5a732d0cc7464aea92eb1e2ae8073998,0,5487.7993,0,0,0,1728,0,1157.0109,5,3,236.75554656982422,FURY,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,8c6f81d5-f928-4d67-99df-6d57097e1615,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",3,2,2,6593.1808625,1055.10198,663.2944450378418,1432.25
0,0,0,0.0,byplayer,0,0,31,0,0,0.0,FURY_Ronon,account.17cfc55c4428413e841ef3b41dcb5ccb,0,3297.0662,0,0,0,637,0,622.17975,4,3,100.0,FURY,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,8c6f81d5-f928-4d67-99df-6d57097e1615,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",3,2,2,6593.1808625,1055.10198,663.2944450378418,1432.25
0,0,4,230.81528,byplayer,0,2,55,0,0,0.0,DIG_sparkingg,account.2bf211401351438c987b6846009db9ba,0,5925.866,0,0,0,1140,0,907.5032,3,14,192.7135591506958,DIG,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,24cca524-a15e-42e0-8133-ac367a67c3a2,"['DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_Poonage']",14,0,0,7415.882275,482.83255399999996,646.6420049667358,1134.25
0,0,1,80.19,byplayer,0,1,56,0,0,0.0,DIG_Shinboi,account.c35106154a3f49c29a71106c473e8559,0,5253.2246,0,0,0,1137,0,1169.8055,5,14,182.83406829833984,DIG,babfcbdd-4af3-4b16-b116-37b127480810,2021-11-20T14:06:21Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/37/69c7357d-4a0f-11ec-9c21-16512f2173af-telemetry.json,24cca524-a15e-42e0-8133-ac367a67c3a2,"['DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_Poonage']",14,0,0,7415.882275,482.83255399999996,646.6420049667358,1134.25
