dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,5,76.259995,byplayer,0,1,35,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,1,10231.684,0,0,0,1452,0,1141.0192,4,3,201.72624015808105,DNW,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,c097ca7e-6c57-4f88-bec8-f4b6edae1095,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",3,12,6,11735.64985,1510.8203950000002,1090.9043216705322,1592.75
6,1,4,437.34998,byplayer,2,5,1,2,6,99.19309,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,10138.747,0,0,0,1710,0,1613.4208,7,3,418.08127784729004,DNW,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,c097ca7e-6c57-4f88-bec8-f4b6edae1095,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",3,12,6,11735.64985,1510.8203950000002,1090.9043216705322,1592.75
2,2,10,508.98465,byzone,2,1,3,1,3,45.091278,DNW_seoul,account.43aebbb76237427d838017e09fee0711,1,10195.338,0,0,0,1759,0,2080.7354,8,3,95.19933700561523,DNW,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,c097ca7e-6c57-4f88-bec8-f4b6edae1095,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",3,12,6,11735.64985,1510.8203950000002,1090.9043216705322,1592.75
3,2,4,488.22577,byplayer,1,4,4,1,3,87.653114,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,1,10112.88,0,0,0,1450,0,1428.775,8,3,375.8974666595459,DNW,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,c097ca7e-6c57-4f88-bec8-f4b6edae1095,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",3,12,6,11735.64985,1510.8203950000002,1090.9043216705322,1592.75
1,0,3,220.91083,alive,0,4,7,1,2,208.7675,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,7106.872,0,0,0,1769,0,1650.3048,8,1,200.60422706604004,TWIS,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,8adc1c79-47e1-4bf3-8cea-bf30e45c1681,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks']",1,4,1,8334.27055,908.561404,668.3958187103271,1603.0
0,1,8,307.48557,alive,0,3,32,0,0,0.0,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,5757.643,0,0,0,1769,0,1649.6802,4,1,264.68097496032715,TWIS,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,8adc1c79-47e1-4bf3-8cea-bf30e45c1681,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks']",1,4,1,8334.27055,908.561404,668.3958187103271,1603.0
0,0,0,41.901604,alive,0,0,33,0,0,0.0,TWIS_spyrro,account.caf93e0eb8804b478a6a4b2d4d69f54f,0,7778.8623,0,0,0,1105,0,699.0096,5,1,99.99999809265137,TWIS,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,8adc1c79-47e1-4bf3-8cea-bf30e45c1681,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks']",1,4,1,8334.27055,908.561404,668.3958187103271,1603.0
2,0,3,338.2634,alive,1,3,8,1,2,104.7328,TWIS_Perfect1ks,account.806c51ce23634e02ace2089773349500,1,7017.578,0,0,0,1769,0,1677.1323,3,1,103.1106185913086,TWIS,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,8adc1c79-47e1-4bf3-8cea-bf30e45c1681,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks']",1,4,1,8334.27055,908.561404,668.3958187103271,1603.0
0,0,3,362.47607,byplayer,0,0,25,1,1,258.6497,NH_Nannnnn,account.6b2e0340b0f54a2db5c3c88af1a3c806,0,5875.2285,0,0,0,1508,0,1434.1522,5,8,158.0109100341797,NH,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,fcdf4a24-d76c-4d0c-88ae-cdb568a18bb0,"['NH_Nannnnn', 'NH_HSmm', 'NH_ZpYan1', 'NH_MMing']",8,3,0,7036.2426375,865.9488,755.26806640625,1271.25
2,0,1,250.58084,byplayer,0,2,15,2,2,55.80983,NH_HSmm,account.0ca2a11e944744bb9241c509d8fc5faa,1,5623.61,0,0,0,1508,0,1589.4435,5,8,175.89216423034668,NH,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,fcdf4a24-d76c-4d0c-88ae-cdb568a18bb0,"['NH_Nannnnn', 'NH_HSmm', 'NH_ZpYan1', 'NH_MMing']",8,3,0,7036.2426375,865.9488,755.26806640625,1271.25
0,0,1,19.8,byplayer,0,0,44,0,0,0.0,NH_ZpYan1,account.5426f11f1f63419fa3d6bd0bb9d78e88,0,4530.3394,0,0,0,561,0,431.40695,4,8,101.99999809265137,NH,bac412c1-8e6f-4356-8789-1f440ebf924f,2022-11-09T13:02:52Z,Miramar,1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/13/34/380857d3-6033-11ed-a4c3-16512f2173af-telemetry.json,fcdf4a24-d76c-4d0c-88ae-cdb568a18bb0,"['NH_Nannnnn', 'NH_HSmm', 'NH_ZpYan1', 'NH_MMing']",8,3,0,7036.2426375,865.9488,755.26806640625,1271.25
