dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,3,288.56866,byplayer,0,2,25,1,1,90.64132,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,3230.2085,0,0,0,1578,0,1269.8165,11,7,185.04000282287598,GBL,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,44fecd51-b5ae-4b6f-9539-0ea13c43efba,"['GBL_Lambu', 'GBL_Spear', 'GBL_Renba', 'GBL_Adder']",7,1,2,3165.779095,640.79807,572.1270236968994,943.75
1,1,0,79.60948,byplayer,0,0,49,0,0,0.0,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,2463.1875,0,0,0,345,0,155.28893,2,7,100.00000190734863,GBL,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,44fecd51-b5ae-4b6f-9539-0ea13c43efba,"['GBL_Lambu', 'GBL_Spear', 'GBL_Renba', 'GBL_Adder']",7,1,2,3165.779095,640.79807,572.1270236968994,943.75
0,1,7,272.61993,byplayer,0,3,48,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,1,1806.3363,0,0,0,1580,0,1393.7114,10,7,187.0870189666748,GBL,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,44fecd51-b5ae-4b6f-9539-0ea13c43efba,"['GBL_Lambu', 'GBL_Spear', 'GBL_Renba', 'GBL_Adder']",7,1,2,3165.779095,640.79807,572.1270236968994,943.75
0,0,0,0.0,byplayer,0,0,50,0,0,0.0,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,2196.9656,0,0,0,272,0,147.60165,3,7,100.0,GBL,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,44fecd51-b5ae-4b6f-9539-0ea13c43efba,"['GBL_Lambu', 'GBL_Spear', 'GBL_Renba', 'GBL_Adder']",7,1,2,3165.779095,640.79807,572.1270236968994,943.75
1,1,1,92.765396,byplayer,0,2,58,0,0,0.0,E36_amonot,account.ffb2970663ab4d09a86836fd231ec8f8,0,2731.848,0,0,0,1106,0,1134.754,4,14,191.76744079589844,E36,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,905e5124-b8d4-41bc-8103-0f6fb2ba92e2,"['E36_amonot', 'E36_Pureboy', 'E36_Starlord', 'E36_indigo']",14,2,2,3935.6864425,686.3448760000001,802.1700534820557,978.75
1,1,1,239.19225,byplayer,0,2,35,1,1,170.63782,E36_Pureboy,account.4943e399c2ac4266b6f887148694113e,0,2926.1428,0,0,0,1104,0,884.40594,4,14,198.38605308532715,E36,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,905e5124-b8d4-41bc-8103-0f6fb2ba92e2,"['E36_amonot', 'E36_Pureboy', 'E36_Starlord', 'E36_indigo']",14,2,2,3935.6864425,686.3448760000001,802.1700534820557,978.75
1,0,3,308.47992,byplayer,0,2,36,1,1,18.12351,E36_Starlord,account.58d7473410a34337ad40b274ccd22aa1,1,3780.1729,0,0,0,1103,0,1002.66516,4,14,272.9613456726074,E36,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,905e5124-b8d4-41bc-8103-0f6fb2ba92e2,"['E36_amonot', 'E36_Pureboy', 'E36_Starlord', 'E36_indigo']",14,2,2,3935.6864425,686.3448760000001,802.1700534820557,978.75
0,0,1,45.90731,byplayer,0,1,59,0,0,0.0,E36_indigo,account.2f549b1012264591bd790880db5a8757,0,2585.5254,0,0,0,602,0,697.23157,4,14,139.05521392822266,E36,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,905e5124-b8d4-41bc-8103-0f6fb2ba92e2,"['E36_amonot', 'E36_Pureboy', 'E36_Starlord', 'E36_indigo']",14,2,2,3935.6864425,686.3448760000001,802.1700534820557,978.75
2,1,5,486.37332,byplayer,0,2,7,1,2,50.646957,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,4,1896.3606,0,0,0,1826,0,2061.1953,5,2,307.99950408935547,DNW,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,cb7e9cd2-643b-4c06-8a7f-5947abf8bf5a,"['DNW_Salute', 'DNW_Rex', 'DNW_seoul', 'DNW_YJ']",2,7,2,4250.197225,1464.0454839999998,1304.3363246917725,1671.25
5,1,6,739.9031,byplayer,1,4,1,1,5,54.838577,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,2,3585.8892,0,0,0,1820,0,1584.4124,6,2,419.8574161529541,DNW,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,cb7e9cd2-643b-4c06-8a7f-5947abf8bf5a,"['DNW_Salute', 'DNW_Rex', 'DNW_seoul', 'DNW_YJ']",2,7,2,4250.197225,1464.0454839999998,1304.3363246917725,1671.25
0,0,5,140.78813,byplayer,0,3,42,0,0,0.0,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,2189.7832,0,0,0,1335,0,1266.8628,6,2,226.1485080718994,DNW,bb07e009-c6f8-4332-b7bf-7561d17b6dea,2021-12-11T13:41:59Z,Miramar,1826,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/14/14/a02df128-5a8c-11ec-9c21-16512f2173af-telemetry.json,cb7e9cd2-643b-4c06-8a7f-5947abf8bf5a,"['DNW_Salute', 'DNW_Rex', 'DNW_seoul', 'DNW_YJ']",2,7,2,4250.197225,1464.0454839999998,1304.3363246917725,1671.25
