dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,4,262.81607,byplayer,1,3,9,1,2,272.58606,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,3982.647,0,0,0,1362,0,1181.1626,5,3,211.257963180542,HERO,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,4242d21a-0902-4287-9580-2ee1052b5a90,"['HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone', 'HERO_curexi']",3,2,1,5901.84435,1205.76973,1122.6305656433105,1526.75
1,0,4,569.39996,suicide,0,10,37,0,0,0.0,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,0,5434.203,0,0,0,1804,0,1694.6215,6,3,506.8891372680664,HERO,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,4242d21a-0902-4287-9580-2ee1052b5a90,"['HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone', 'HERO_curexi']",3,2,1,5901.84435,1205.76973,1122.6305656433105,1526.75
0,1,8,242.38672,byplayer,0,3,38,0,0,0.0,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,3773.5466,0,0,0,1607,0,1366.1189,5,3,263.157865524292,HERO,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,4242d21a-0902-4287-9580-2ee1052b5a90,"['HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone', 'HERO_curexi']",3,2,1,5901.84435,1205.76973,1122.6305656433105,1526.75
0,0,1,131.16698,byplayer,0,1,39,0,0,0.0,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,4798.925,0,0,0,1334,0,1376.1528,3,3,141.32559967041016,HERO,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,4242d21a-0902-4287-9580-2ee1052b5a90,"['HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone', 'HERO_curexi']",3,2,1,5901.84435,1205.76973,1122.6305656433105,1526.75
1,0,2,255.64098,byplayer,0,0,11,1,2,155.4557,AAA_Gems,account.73386537702e4d48ae98cf8dfd0adbcf,0,2129.9111,0,0,0,1201,1,1752.0725,6,9,119.0000057220459,AAA,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,5c7af80f-d0ae-4150-947e-91207f2090cc,"['AAA_Gems', 'AAA_Glooms', 'AAA_J4nku2of', 'AAA_Jayers']",9,9,4,3288.9798100000003,1801.6273800000004,661.2434253692627,1181.0
1,1,5,568.88885,byplayer,0,2,27,1,1,34.156254,AAA_Glooms,account.d9eef0aedc72485e92e9a31c09f59702,1,1210.3531,0,0,0,1188,0,1288.0044,5,9,188.82361793518066,AAA,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,5c7af80f-d0ae-4150-947e-91207f2090cc,"['AAA_Gems', 'AAA_Glooms', 'AAA_J4nku2of', 'AAA_Jayers']",9,9,4,3288.9798100000003,1801.6273800000004,661.2434253692627,1181.0
1,2,3,458.62445,byplayer,2,2,12,1,2,182.03793,AAA_J4nku2of,account.16ebbbc207d7420eb771a9a21b86f83d,0,1557.985,0,0,0,1142,0,2213.7031,3,9,254.8708438873291,AAA,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,5c7af80f-d0ae-4150-947e-91207f2090cc,"['AAA_Gems', 'AAA_Glooms', 'AAA_J4nku2of', 'AAA_Jayers']",9,9,4,3288.9798100000003,1801.6273800000004,661.2434253692627,1181.0
3,1,1,518.4731,byzone,0,3,3,4,4,121.71809,AAA_Jayers,account.fb9b6d08d0d24304af025bafb676c8a6,0,1018.05054,0,0,0,1193,0,1985.8395,5,9,98.54895782470703,AAA,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,5c7af80f-d0ae-4150-947e-91207f2090cc,"['AAA_Gems', 'AAA_Glooms', 'AAA_J4nku2of', 'AAA_Jayers']",9,9,4,3288.9798100000003,1801.6273800000004,661.2434253692627,1181.0
2,1,1,217.60747,byplayer,0,1,14,1,2,88.334854,E36_Starlord,account.58d7473410a34337ad40b274ccd22aa1,0,2676.8762,0,0,0,879,0,1013.2248,5,13,174.78204917907715,E36,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,6a27a0eb-547f-4b62-9710-5026d36d99de,"['E36_Starlord', 'E36_amonot', 'E36_Pureboy', 'E36_indigo']",13,4,2,3428.46235,637.724648,978.3782196044922,1067.25
1,1,4,145.85982,byplayer,0,3,55,0,0,0.0,E36_amonot,account.ffb2970663ab4d09a86836fd231ec8f8,0,1341.611,0,0,0,1130,0,1588.8333,6,13,352.50740814208984,E36,bb110118-b3f5-4ff5-805f-ee6d6f73796d,2021-12-12T09:50:40Z,Miramar,1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/10/24/aa9c8e35-5b35-11ec-9c21-16512f2173af-telemetry.json,6a27a0eb-547f-4b62-9710-5026d36d99de,"['E36_Starlord', 'E36_amonot', 'E36_Pureboy', 'E36_indigo']",13,4,2,3428.46235,637.724648,978.3782196044922,1067.25
