dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,0.0,byplayer,0,0,45,0,0,0.0,Tian_Cui71,account.d2c806fe99c5430baf06a4d76e8130fd,0,10545.424,0,0,0,830,0,433.54965,3,7,88.79998779296875,Tian,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,066a53cd-6a91-4049-bd50-cc974e063bdd,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",7,2,0,10572.2371225,437.299017,639.9265670776367,1214.5
0,0,2,209.58124,byplayer,0,1,44,0,0,0.0,Tian_9,account.a634ea77413e49a2ac90816962b7bc33,0,10538.367,0,0,0,1296,0,634.3508,4,7,122.25853729248047,Tian,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,066a53cd-6a91-4049-bd50-cc974e063bdd,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",7,2,0,10572.2371225,437.299017,639.9265670776367,1214.5
1,0,4,201.83803,byplayer,1,6,24,1,1,105.2472,Tian_Tang,account.ae3079bfd94b4fb899bf7ba29eeaaf56,1,9562.128,0,0,0,1366,0,622.95197,9,7,209.3020420074463,Tian,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,066a53cd-6a91-4049-bd50-cc974e063bdd,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",7,2,0,10572.2371225,437.299017,639.9265670776367,1214.5
0,0,5,25.879747,byplayer,0,4,25,1,1,147.62326,Tian_77,account.4e2a4c8521dd4ffa946f7a4ba989a5e8,0,9338.922,0,0,0,1366,0,613.25507,4,7,219.5659999847412,Tian,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,066a53cd-6a91-4049-bd50-cc974e063bdd,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",7,2,0,10572.2371225,437.299017,639.9265670776367,1214.5
2,2,5,379.9634,byplayer,0,6,39,0,0,0.0,NAVI_alya,account.f819b9d4880a4e5688abdaad7d20baea,0,5535.6265,0,0,0,1628,0,1372.7993,5,3,310.5606470108032,NAVI,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,e202c5be-a6cf-4fc5-b678-82864faa8838,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",3,10,5,6503.429325,1762.028812,1211.6293926239014,1738.5
0,0,3,60.382812,byplayer,1,1,19,1,1,12.856156,NAVI_Mell,account.a1d07c3d40c14639a89034fd1fc52db4,0,4966.8066,0,0,0,1656,0,1735.4498,5,3,204.7282257080078,NAVI,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,e202c5be-a6cf-4fc5-b678-82864faa8838,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",3,10,5,6503.429325,1762.028812,1211.6293926239014,1738.5
4,0,8,594.8704,byplayer,1,6,2,2,6,173.30145,NAVI_xmpl,account.ef9c306449214163865596d3c1605bbd,1,4396.8867,0,0,0,1835,2,1805.2946,3,3,450.25863456726074,NAVI,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,e202c5be-a6cf-4fc5-b678-82864faa8838,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",3,10,5,6503.429325,1762.028812,1211.6293926239014,1738.5
3,3,4,726.8122,byplayer,2,2,3,1,3,110.81241,NAVI_ubah,account.59965a20158b47c0898374f0bc116538,0,4304.5625,0,0,0,1835,0,1896.2913,4,3,246.0818853378296,NAVI,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,e202c5be-a6cf-4fc5-b678-82864faa8838,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",3,10,5,6503.429325,1762.028812,1211.6293926239014,1738.5
1,0,7,221.92126,byplayer,0,6,27,1,1,13.83605,22_Haven,account.5dcb4ff49ff04e7f89924425f416eab6,0,2630.8171,0,0,0,1304,0,1126.802,7,10,347.87988471984863,22,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,5bbb4dbd-01e9-4d17-b6cb-dc346f9bdd6e,"['22_Haven', '22_guizeera', '22_HazeteN', '22_v1n1']",10,3,1,4076.31751,748.2820249999999,993.2517700195312,1275.0
2,0,3,259.27008,byplayer,0,2,28,1,1,11.446198,22_guizeera,account.c012d9a21ddd4651b2a3705b9e035379,1,2659.8284,0,0,0,1275,0,1236.053,5,10,257.33971405029297,22,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json,5bbb4dbd-01e9-4d17-b6cb-dc346f9bdd6e,"['22_Haven', '22_guizeera', '22_HazeteN', '22_v1n1']",10,3,1,4076.31751,748.2820249999999,993.2517700195312,1275.0
