dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,0.0,byplayer,0,0,58,0,0,0.0,NH_ZpYan1,account.5426f11f1f63419fa3d6bd0bb9d78e88,0,1552.4055,0,0,0,974,0,1111.1633,4,14,97.3287410736084,NH,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,d5f93314-dd01-44b5-935f-a0c88b0c45bf,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",14,1,1,2994.0570750000006,299.64589,496.1441078186035,984.0
1,0,0,78.4057,byplayer,0,1,28,1,1,2.9110608,NH_MMing,account.a6a176516b3e4c56ba71e8dc15abfc88,0,1739.5045,0,0,0,1002,0,614.4754,5,14,127.80000114440918,NH,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,d5f93314-dd01-44b5-935f-a0c88b0c45bf,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",14,1,1,2994.0570750000006,299.64589,496.1441078186035,984.0
0,1,0,148.83849,byplayer,0,1,57,0,0,0.0,NH_Nannnnn,account.6b2e0340b0f54a2db5c3c88af1a3c806,0,2821.7253,0,0,0,1002,0,981.3184,3,14,171.0153694152832,NH,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,d5f93314-dd01-44b5-935f-a0c88b0c45bf,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",14,1,1,2994.0570750000006,299.64589,496.1441078186035,984.0
0,0,0,72.4017,byplayer,0,0,59,0,0,0.0,NH_HSmm,account.0ca2a11e944744bb9241c509d8fc5faa,0,2403.847,0,0,0,958,0,751.7889,5,14,99.99999618530273,NH,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,d5f93314-dd01-44b5-935f-a0c88b0c45bf,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",14,1,1,2994.0570750000006,299.64589,496.1441078186035,984.0
1,2,6,183.77496,alive,1,3,14,1,1,32.90826,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,1618.2777,0,0,0,1757,0,2728.027,5,1,296.0071220397949,CES,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,a297a7cc-de20-43c1-91ed-668ace152d78,"['CES_HaiSaki', 'CES_Himass', 'CES_Taikonn', 'CES_YmCud']",1,8,3,3452.0658550000003,1197.2624079999998,762.5429515838623,1799.5
0,1,1,229.03015,alive,0,2,32,0,0,0.0,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,1475.4932,0,0,0,1813,0,1986.4661,3,1,254.48062324523926,CES,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,a297a7cc-de20-43c1-91ed-668ace152d78,"['CES_HaiSaki', 'CES_Himass', 'CES_Taikonn', 'CES_YmCud']",1,8,3,3452.0658550000003,1197.2624079999998,762.5429515838623,1799.5
6,0,1,726.6473,alive,1,1,1,2,7,333.57727,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,1,500.42532,0,0,0,1858,2,2285.3403,7,1,82.62154960632324,CES,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,a297a7cc-de20-43c1-91ed-668ace152d78,"['CES_HaiSaki', 'CES_Himass', 'CES_Taikonn', 'CES_YmCud']",1,8,3,3452.0658550000003,1197.2624079999998,762.5429515838623,1799.5
0,0,1,57.809998,alive,0,0,33,0,0,0.0,CES_YmCud,account.6cedc3dac3774f1d94d006a5a0c48b60,0,1731.2969,0,0,0,1770,0,1482.9369,10,1,129.43365669250488,CES,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,a297a7cc-de20-43c1-91ed-668ace152d78,"['CES_HaiSaki', 'CES_Himass', 'CES_Taikonn', 'CES_YmCud']",1,8,3,3452.0658550000003,1197.2624079999998,762.5429515838623,1799.5
2,0,1,198.59082,byplayer,0,0,40,0,0,0.0,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,1802.3252,0,0,0,1215,0,832.7957,2,7,100.0000057220459,TWIS,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,551ad25e-719f-4b22-a5b8-fd7fa719760f,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro']",7,1,0,2583.269275,528.0815600000001,414.44920349121094,1247.25
0,0,0,50.02916,byplayer,0,0,41,0,0,0.0,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,1589.0426,0,0,0,1195,0,718.9208,3,7,100.00000190734863,TWIS,c1f067bc-70b1-4b2b-b5d7-d35d23c558d5,2022-11-08T13:04:43Z,Erangel (Remastered),1858,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/13/37/83fe6175-5f6a-11ed-a4c3-16512f2173af-telemetry.json,551ad25e-719f-4b22-a5b8-fd7fa719760f,"['TWIS_Lu', 'TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro']",7,1,0,2583.269275,528.0815600000001,414.44920349121094,1247.25
