dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,3,137.89459,byplayer,1,2,31,1,1,148.77461,RJ_SeaKingJAWS,account.b07cf921cce647cc86732caebfa5e3a1,0,3753.2,0,0,0,1090.137,0,1325.755,5,12,248.68947792053223,RJ,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,52a7166f-02ef-49b1-8e8f-70d2033a113c,"['RJ_SeaKingJAWS', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_CiNVe']",12,3,1,6381.513599999999,382.00442999999996,875.7048215866089,1171.5462499999999
0,0,4,74.18291,byplayer,1,5,30,1,1,17.336023,RJ_Wesker,account.fa961c1747d44737b336cf80e3cb56ab,1,5866.1973,0,0,0,1190.951,0,1130.784,4,12,323.23176860809326,RJ,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,52a7166f-02ef-49b1-8e8f-70d2033a113c,"['RJ_SeaKingJAWS', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_CiNVe']",12,3,1,6381.513599999999,382.00442999999996,875.7048215866089,1171.5462499999999
0,0,2,24.6,byplayer,0,2,89,0,0,0.0,RJ_MUSHAMARU,account.a9b631bf409640249daabf2bc275ac4a,0,5220.082,0,0,0,1202.547,0,1331.9073,4,12,208.00000190734863,RJ,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,52a7166f-02ef-49b1-8e8f-70d2033a113c,"['RJ_SeaKingJAWS', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_CiNVe']",12,3,1,6381.513599999999,382.00442999999996,875.7048215866089,1171.5462499999999
1,0,0,145.32693,byplayer,0,0,29,1,1,25.021215,RJ_CiNVe,account.bc437ae3aca541d39c7c8897e8f87775,0,5584.8213,0,0,0,1202.55,0,1313.3075,4,12,95.78357315063477,RJ,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,52a7166f-02ef-49b1-8e8f-70d2033a113c,"['RJ_SeaKingJAWS', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_CiNVe']",12,3,1,6381.513599999999,382.00442999999996,875.7048215866089,1171.5462499999999
0,0,0,0.0,byplayer,0,0,75,0,0,0.0,QM_L1gEEE,account.1774c398a1f4414798ca5bf4dc562d6c,0,2933.7766,0,0,0,988.842,0,1454.1713,4,2,100.0,QM,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,ff834e77-f86d-4923-8ca8-0933160e102a,"['QM_L1gEEE', 'QM_YIZz', 'QM_JiYy', 'QM_WuFeng']",2,5,4,6038.886425,1063.1241,765.395133972168,1413.9415
3,2,6,793.0021,byplayer,1,4,9,1,2,220.96529,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,4526.5386,0,0,0,1737.346,0,2220.3396,4,2,344.27749252319336,QM,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,ff834e77-f86d-4923-8ca8-0933160e102a,"['QM_L1gEEE', 'QM_YIZz', 'QM_JiYy', 'QM_WuFeng']",2,5,4,6038.886425,1063.1241,765.395133972168,1413.9415
1,2,7,270.122,byplayer,0,3,2,2,3,178.58316,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,5075.7065,0,0,0,1705.691,0,2111.8809,5,2,277.75002098083496,QM,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,ff834e77-f86d-4923-8ca8-0933160e102a,"['QM_L1gEEE', 'QM_YIZz', 'QM_JiYy', 'QM_WuFeng']",2,5,4,6038.886425,1063.1241,765.395133972168,1413.9415
0,0,2,0.0,byplayer,0,1,74,0,0,0.0,QM_WuFeng,account.3b85d17598854a55bdb3e122776bf289,0,4487.444,0,0,0,1223.887,0,1345.6882,3,2,43.36762046813965,QM,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,ff834e77-f86d-4923-8ca8-0933160e102a,"['QM_L1gEEE', 'QM_YIZz', 'QM_JiYy', 'QM_WuFeng']",2,5,4,6038.886425,1063.1241,765.395133972168,1413.9415
1,0,2,115.13835,byplayer,0,4,32,1,1,32.04953,G2_ItzzChrizZ,account.a4092bcd7148459e9aad714ada83b3a6,0,8464.64,0,0,0,1114.962,0,1169.5094,3,13,247.43212890625,G2,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,0b3595a7-a5d9-46a2-840e-4a90aeb2aba1,"['G2_ItzzChrizZ', 'G2_NELLOZ', 'G2_Braexco', 'G2_Yannis']",13,1,1,9370.141525,446.86949000000004,634.9181652069092,1009.39025
0,0,0,0.0,byplayer,0,0,92,0,0,0.0,G2_NELLOZ,account.4c45f109eb674d45860342217a16983e,0,9061.778,0,0,0,867.871,0,630.105,7,13,96.49696159362793,G2,c4b8fb20-ce96-4696-af3f-5a3a9137d5ca,2019-11-11T04:42:29Z,Miramar,1737,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/05/12/eaececd2-0441-11ea-adac-0a586469f39e-telemetry.json,0b3595a7-a5d9-46a2-840e-4a90aeb2aba1,"['G2_ItzzChrizZ', 'G2_NELLOZ', 'G2_Braexco', 'G2_Yannis']",13,1,1,9370.141525,446.86949000000004,634.9181652069092,1009.39025
