dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,7,103.739944,byplayer,0,3,32,0,0,0.0,PeRo_Myl,account.baebc89719394339a40b1e72b0c4edd8,0,3363.288,0,0,0,1429,0,907.2377,3,4,287.1818790435791,PeRo,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,6e4a4b0f-cb9c-4415-8357-ac7dd34a3bef,"['PeRo_Myl', 'PeRo_Loong', 'PeRo_Aixleft', 'PeRo_Ming']",4,8,4,3928.3490749999996,1154.480544,925.9254674911499,1416.5
3,1,4,406.9401,byplayer,1,2,9,2,3,104.3055,PeRo_Loong,account.8d1dcd08baa44f9785601aceae8d2af9,1,2687.4707,0,0,0,1429,0,1331.0116,4,4,162.33307075500488,PeRo,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,6e4a4b0f-cb9c-4415-8357-ac7dd34a3bef,"['PeRo_Myl', 'PeRo_Loong', 'PeRo_Aixleft', 'PeRo_Ming']",4,8,4,3928.3490749999996,1154.480544,925.9254674911499,1416.5
3,2,3,431.8045,byplayer,1,0,5,1,4,128.29431,PeRo_Aixleft,account.c3349c1fe89240d38238d7ae69aeeb83,0,2473.321,0,0,0,1429,0,1226.5688,6,4,138.72219562530518,PeRo,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,6e4a4b0f-cb9c-4415-8357-ac7dd34a3bef,"['PeRo_Myl', 'PeRo_Loong', 'PeRo_Aixleft', 'PeRo_Ming']",4,8,4,3928.3490749999996,1154.480544,925.9254674911499,1416.5
1,1,10,211.996,byplayer,0,4,20,1,1,23.525063,PeRo_Ming,account.d4f5b94cd7d741c7b335cec18968823d,0,2761.3389,0,0,0,1379,0,963.1596,3,4,337.68832206726074,PeRo,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,6e4a4b0f-cb9c-4415-8357-ac7dd34a3bef,"['PeRo_Myl', 'PeRo_Loong', 'PeRo_Aixleft', 'PeRo_Ming']",4,8,4,3928.3490749999996,1154.480544,925.9254674911499,1416.5
0,0,1,56.24035,byplayer,0,0,55,0,0,0.0,BRU_Noardra,account.d7805acf80134611ac087fde5e0ef964,0,4891.7783,0,0,0,923,0,1126.5718,5,12,100.0,BRU,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,c3fc70a9-0f8e-43fe-9fce-db140137501d,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_GodMiao']",12,1,0,5465.134674999999,455.03574,597.4124870300293,992.25
1,0,3,80.80503,byplayer,0,1,24,1,1,4.5587635,BRU_Conaxy,account.946011e735d34166991fd2be2f148387,0,4361.938,1,0,0,967,0,719.63385,4,12,124.9866943359375,BRU,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,c3fc70a9-0f8e-43fe-9fce-db140137501d,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_GodMiao']",12,1,0,5465.134674999999,455.03574,597.4124870300293,992.25
1,0,1,201.03668,byplayer,0,1,54,0,0,0.0,BRU_Eaddy,account.b62c18befb2d4a049314bbfd84608c44,0,4256.5063,0,0,0,948,0,991.29095,4,12,145.0,BRU,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,c3fc70a9-0f8e-43fe-9fce-db140137501d,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_GodMiao']",12,1,0,5465.134674999999,455.03574,597.4124870300293,992.25
1,0,4,116.95368,byplayer,0,2,53,0,0,0.0,BRU_GodMiao,account.0780969624ca4bbe98bfade285cfcc3f,0,4378.003,0,0,0,1131,0,1134.8165,5,12,227.4257926940918,BRU,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,c3fc70a9-0f8e-43fe-9fce-db140137501d,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_GodMiao']",12,1,0,5465.134674999999,455.03574,597.4124870300293,992.25
2,2,3,224.96094,byplayer,0,1,17,1,1,47.207253,TYL_xTongzz,account.2ca4569ac4584186bdf9ff9aa1948005,0,4731.11,0,0,0,1436,0,1673.6431,5,3,243.40278434753418,TYL,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,836c1836-2964-4a41-8b8b-9dfcde3678ba,"['TYL_xTongzz', 'TYL_Jiaoyang', 'TYL_CC108', 'TYL_SIA']",3,9,6,4989.01944,1015.6582699999999,1148.1800813674927,1374.0
1,0,6,65.17678,byplayer,0,4,19,1,1,127.01574,TYL_Jiaoyang,account.bd0f0d40630d421f9904131b4a29b3b2,0,5479.6875,0,0,0,1280,0,929.00446,5,3,281.28884983062744,TYL,c8e1cd83-6d2e-4e8a-bd57-41651819cff2,2022-11-07T14:22:03Z,Erangel (Remastered),1744,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/53/e3314b02-5eab-11ed-a4c3-16512f2173af-telemetry.json,836c1836-2964-4a41-8b8b-9dfcde3678ba,"['TYL_xTongzz', 'TYL_Jiaoyang', 'TYL_CC108', 'TYL_SIA']",3,9,6,4989.01944,1015.6582699999999,1148.1800813674927,1374.0
