dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,0.0,byplayer,0,1,56,0,0,0.0,CES_YmCud,account.dc0f644cf7e34fb7adf9fb0d92027e27,0,3845.3887,0,0,0,1098,0,947.9914,5,14,184.08799743652344,CES,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db26f06-3c26-4f91-8993-edbb1302de29,"['CES_YmCud', 'CES_Taikonn', 'CES_HaiSaki', 'CES_Himass']",14,0,0,4217.88785,468.78550599999994,750.5794067382812,1097.5
0,0,3,237.53319,byplayer,0,1,58,0,0,0.0,CES_Taikonn,account.b8aecbc4f6494171ad142e6953e4a7d1,1,2139.0503,0,0,0,1098,0,1438.3667,4,14,204.79901504516602,CES,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db26f06-3c26-4f91-8993-edbb1302de29,"['CES_YmCud', 'CES_Taikonn', 'CES_HaiSaki', 'CES_Himass']",14,0,0,4217.88785,468.78550599999994,750.5794067382812,1097.5
0,0,2,55.929916,byplayer,0,2,57,0,0,0.0,CES_HaiSaki,account.51b6c611c3074b92931900b75d6e8701,0,2709.3228,0,0,0,1098,0,2178.9148,4,14,235.69239616394043,CES,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db26f06-3c26-4f91-8993-edbb1302de29,"['CES_YmCud', 'CES_Taikonn', 'CES_HaiSaki', 'CES_Himass']",14,0,0,4217.88785,468.78550599999994,750.5794067382812,1097.5
0,0,3,175.3224,byplayer,0,0,59,0,0,0.0,CES_Himass,account.63a01db1cd0b4fbfb6db7a0d2cffa8ea,0,2254.6345,0,0,0,1096,0,1357.8822,4,14,125.99999809265137,CES,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db26f06-3c26-4f91-8993-edbb1302de29,"['CES_YmCud', 'CES_Taikonn', 'CES_HaiSaki', 'CES_Himass']",14,0,0,4217.88785,468.78550599999994,750.5794067382812,1097.5
0,1,1,40.59,byplayer,0,4,31,0,0,0.0,EIQ_Naylup,account.a245f2c73e78494697c94e697d70fdf3,0,4201.1304,0,0,0,874,0,944.71313,4,3,174.82702445983887,EIQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8df9e306-8058-45a7-be5d-bb732456b9af,"['EIQ_Naylup', 'EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas']",3,4,5,5807.0994575,557.79008,983.532585144043,1240.5
2,3,8,375.87006,byplayer,0,9,18,1,1,295.08588,EIQ_Lukarux,account.1e070fd0fe1e436f8587b06eb158a523,1,4254.4907,0,0,0,1612,1,1403.2488,3,3,421.3474884033203,EIQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8df9e306-8058-45a7-be5d-bb732456b9af,"['EIQ_Naylup', 'EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas']",3,4,5,5807.0994575,557.79008,983.532585144043,1240.5
2,1,7,141.33002,suicide,1,4,5,2,3,32.229477,EIQ_Qbe,account.6c9aa409697f47258585e4a3bd5c5736,2,5700.916,0,0,1,1612,1,1333.6445,2,3,251.382719039917,EIQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8df9e306-8058-45a7-be5d-bb732456b9af,"['EIQ_Naylup', 'EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas']",3,4,5,5807.0994575,557.79008,983.532585144043,1240.5
0,0,2,0.0,byplayer,0,1,32,0,0,0.0,EIQ_ivas,account.1b87f3e5b54442338150273dac06eb56,0,4910.748,0,0,0,864,0,479.5063,3,3,135.9753532409668,EIQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8df9e306-8058-45a7-be5d-bb732456b9af,"['EIQ_Naylup', 'EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas']",3,4,5,5807.0994575,557.79008,983.532585144043,1240.5
0,0,0,0.0,byplayer,0,0,52,0,0,0.0,T5_RossitedJR,account.a340fd345f7440acaaa4499ff4b05fc0,0,2860.6628,0,0,0,856,0,381.1296,6,12,100.0,T5,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,036abcb0-9514-4e19-b220-2afa0ea5cb07,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",12,0,0,3830.1221575,23.58951,537.433177947998,940.75
0,0,1,0.0,byplayer,0,0,53,0,0,0.0,T5_RangerX,account.91a99cc95da940c6a431168fe93ce350,0,3879.456,0,0,0,855,0,527.9877,4,12,100.0000057220459,T5,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,036abcb0-9514-4e19-b220-2afa0ea5cb07,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",12,0,0,3830.1221575,23.58951,537.433177947998,940.75
0,0,4,0.0,byplayer,0,0,54,0,0,0.0,T5_Excrozit,account.ad7bd03da780439cac19cb11bba33265,0,2747.0635,0,0,0,852,0,640.26373,4,12,100.0,T5,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,036abcb0-9514-4e19-b220-2afa0ea5cb07,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",12,0,0,3830.1221575,23.58951,537.433177947998,940.75
0,0,3,23.58951,byplayer,0,3,51,0,0,0.0,T5_Pathompong,account.6784f447ca684c5fbd0946e9d7f48879,0,3564.2007,0,0,0,1200,0,719.7246,7,12,237.43317222595215,T5,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,036abcb0-9514-4e19-b220-2afa0ea5cb07,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",12,0,0,3830.1221575,23.58951,537.433177947998,940.75
1,2,3,194.82446,byplayer,1,3,25,1,1,69.06286,SQ_hwinn,account.c2666a64a02b4ccb99ec671c672d722c,0,3245.748,0,0,0,1106,0,1055.4899,6,13,286.4693374633789,SQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db3bf1d-07da-481b-a449-d77383cb97bc,"['SQ_hwinn', 'SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy']",13,5,4,3536.7262125,827.33758,915.9376125335693,843.0
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,SQ_TGLTN,account.5dd0957584e9439996c8970ff5d8e465,0,0.0,0,0,0,89,0,2.01375,0,13,76.49357795715332,SQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db3bf1d-07da-481b-a449-d77383cb97bc,"['SQ_hwinn', 'SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy']",13,5,4,3536.7262125,827.33758,915.9376125335693,843.0
2,1,3,329.90356,byplayer,0,8,9,1,3,69.819305,SQ_M1ME,account.90dfc6b7bffa4208a5e170d728aaa96c,2,4369.3286,0,0,0,1071,0,1012.4861,7,13,230.37999725341797,SQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db3bf1d-07da-481b-a449-d77383cb97bc,"['SQ_hwinn', 'SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy']",13,5,4,3536.7262125,827.33758,915.9376125335693,843.0
2,1,6,302.60956,byplayer,0,5,26,1,1,5.949151,SQ_Shrimzy,account.6b78ae338da344bea26d6dd25188f95d,0,3376.5906,0,0,0,1106,0,1085.2479,9,13,322.59469985961914,SQ,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,Erangel (Remastered),1616,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json,8db3bf1d-07da-481b-a449-d77383cb97bc,"['SQ_hwinn', 'SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy']",13,5,4,3536.7262125,827.33758,915.9376125335693,843.0
