dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,4,270.73022,byzone,0,3,22,1,1,86.59976,NV_Interrogate,account.e778896ca2cc4f47a8f0ec638057d7dd,0,1901.0767,0,0.0,0,1315.935,1,1610.8844,4,8,254.1418228149414,NV,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ea7c7ea3-857d-4ee6-bdde-38effad7f56f,"['NV_Interrogate', 'NV_PATKAPS', 'NV_Moody', 'NV_pride']",8,6,2,3383.83115,1230.6631300000001,1143.865200996399,1325.8645000000001
1,1,2,248.06291,byplayer,0,6,81,0,0,0.0,NV_PATKAPS,account.5a86c6d64b89461f88a4a3d99cd1147f,0,1898.9797,0,0.0,0,1296.01,0,1496.7473,5,8,269.4350891113281,NV,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ea7c7ea3-857d-4ee6-bdde-38effad7f56f,"['NV_Interrogate', 'NV_PATKAPS', 'NV_Moody', 'NV_pride']",8,6,2,3383.83115,1230.6631300000001,1143.865200996399,1325.8645000000001
3,0,3,537.7017,byplayer,0,7,2,2,5,186.39555,NV_Moody,account.0c601ab0e10247d6b5702e55e1c3003b,1,1643.5819,0,0.0,0,1386.479,0,1846.996,2,8,315.2406396865845,NV,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ea7c7ea3-857d-4ee6-bdde-38effad7f56f,"['NV_Interrogate', 'NV_PATKAPS', 'NV_Moody', 'NV_pride']",8,6,2,3383.83115,1230.6631300000001,1143.865200996399,1325.8645000000001
1,0,4,174.1683,byplayer,0,2,80,0,0,0.0,NV_pride,account.263bb34d757c4e42ae64ab112d2112a8,0,1433.2247,0,0.0,0,1305.034,0,1703.8339,6,8,305.0476493835449,NV,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ea7c7ea3-857d-4ee6-bdde-38effad7f56f,"['NV_Interrogate', 'NV_PATKAPS', 'NV_Moody', 'NV_pride']",8,6,2,3383.83115,1230.6631300000001,1143.865200996399,1325.8645000000001
1,2,5,231.72339,alive,1,4,7,1,2,76.4519,TS_Zanpah,account.0256162616804a91a8badd9bb913d964,0,4307.7407,0,0.0,0,1778.123,0,2380.5955,5,1,181.28499603271484,TS,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ecbaa542-7ac2-4072-9958-4a76ab2f94ec,"['TS_Zanpah', 'TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke']",1,13,9,6306.45805,1481.08674,617.2774810791016,1778.123
1,2,2,416.3802,alive,0,1,8,1,2,285.1145,TS_sharky,account.94d5fc7dc68448d9beb6f22eb017a809,1,2562.2368,0,0.0,0,1778.123,1,2533.4382,4,1,100.54957962036133,TS,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ecbaa542-7ac2-4072-9958-4a76ab2f94ec,"['TS_Zanpah', 'TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke']",1,13,9,6306.45805,1481.08674,617.2774810791016,1778.123
4,5,3,352.96063,alive,0,1,5,1,3,238.40439,TS_Sharpshot4k,account.c2a4e73a63264f37a6050c9345c83a66,0,4294.946,0,0.0,0,1778.123,0,2659.1208,4,1,200.00000190734863,TS,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ecbaa542-7ac2-4072-9958-4a76ab2f94ec,"['TS_Zanpah', 'TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke']",1,13,9,6306.45805,1481.08674,617.2774810791016,1778.123
1,0,4,480.02252,alive,2,0,1,2,6,239.4421,TS_Meluke,account.4d6ee4b5a938462da8475d27e6648fa4,1,3511.2444,0,0.0,0,1778.123,1,2976.5098,4,1,135.44290351867676,TS,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,ecbaa542-7ac2-4072-9958-4a76ab2f94ec,"['TS_Zanpah', 'TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke']",1,13,9,6306.45805,1481.08674,617.2774810791016,1778.123
0,1,0,60.885002,byplayer,0,0,89,0,0,0.0,GEX_Leo,account.06bed40428fb43cb921c63a80aaf8dad,0,6221.4136,0,0.0,0,755.118,0,341.74326,6,12,87.85550308227539,GEX,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,a59f3737-a291-450c-bf57-bf93efad1740,"['GEX_Leo', 'GEX_kane', 'GEX_sophiya666', 'GEX_ChiaWei1031']",12,1,2,7644.72609,346.924692,466.55871772766113,889.93875
1,0,3,131.825,byplayer,0,0,26,1,1,4.494859,GEX_kane,account.e42833244716412b8f3db3284fc61c51,0,6694.1123,0,0.0,0,858.894,0,416.9572,4,12,126.4587459564209,GEX,cab19b80-e5d9-49b0-80a3-4b95f9b759d5,2019-11-09T04:16:21Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/04/47/016cb149-02ac-11ea-adac-0a586469f39e-telemetry.json,a59f3737-a291-450c-bf57-bf93efad1740,"['GEX_Leo', 'GEX_kane', 'GEX_sophiya666', 'GEX_ChiaWei1031']",12,1,2,7644.72609,346.924692,466.55871772766113,889.93875
