dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,1,5,449.3391,byplayer,0,2,19,1,1,171.97382,NV_pride,account.263bb34d757c4e42ae64ab112d2112a8,1,10207.232,0,0,0,1778.211,1,1006.856,7,3,186.6628932952881,NV,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,7586e6f0-c64b-464d-b819-1ee8790f9311,"['NV_pride', 'NV_Interrogate', 'NV_Moody', 'NV_PATKAPS']",3,1,1,8827.516445,822.0710099999999,777.3761215209961,1445.8767500000001
0,0,4,254.79218,byplayer,0,2,72,0,0,0.0,NV_Interrogate,account.e778896ca2cc4f47a8f0ec638057d7dd,0,6572.4463,0,0,0,1778.207,0,1456.0358,6,3,263.65222358703613,NV,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,7586e6f0-c64b-464d-b819-1ee8790f9311,"['NV_pride', 'NV_Interrogate', 'NV_Moody', 'NV_PATKAPS']",3,1,1,8827.516445,822.0710099999999,777.3761215209961,1445.8767500000001
0,0,0,0.0,byplayer,0,0,74,0,0,0.0,NV_Moody,account.0c601ab0e10247d6b5702e55e1c3003b,0,5550.463,0,0,0,480.496,0,252.08908,3,3,100.00000381469727,NV,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,7586e6f0-c64b-464d-b819-1ee8790f9311,"['NV_pride', 'NV_Interrogate', 'NV_Moody', 'NV_PATKAPS']",3,1,1,8827.516445,822.0710099999999,777.3761215209961,1445.8767500000001
0,0,4,117.93973,byplayer,0,2,73,0,0,0.0,NV_PATKAPS,account.5a86c6d64b89461f88a4a3d99cd1147f,0,8968.927,0,0,0,1746.593,0,1296.0166,7,3,227.0610008239746,NV,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,7586e6f0-c64b-464d-b819-1ee8790f9311,"['NV_pride', 'NV_Interrogate', 'NV_Moody', 'NV_PATKAPS']",3,1,1,8827.516445,822.0710099999999,777.3761215209961,1445.8767500000001
1,1,3,219.86491,byplayer,0,4,25,1,1,49.264805,WCK_Ragnar,account.29da1c767250446294f96e7d461d5312,1,8250.393,0,0,0,852.931,0,421.31943,2,11,237.5958652496338,WCK,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,dd5a6887-f744-43b0-98ac-a74713f67db9,"['WCK_Ragnar', 'WCK_SzylzEN', 'WCK_RiboxD', 'WCK_Harald']",11,4,4,8254.873090000001,481.3430593,877.7303352355957,878.0482499999999
2,1,3,181.66936,byplayer,0,2,15,1,2,22.750898,WCK_SzylzEN,account.847a74c45a69429b825c9431ffadb496,0,7603.014,0,0,0,1184.606,0,554.4612,5,11,278.57337951660156,WCK,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,dd5a6887-f744-43b0-98ac-a74713f67db9,"['WCK_Ragnar', 'WCK_SzylzEN', 'WCK_RiboxD', 'WCK_Harald']",11,4,4,8254.873090000001,481.3430593,877.7303352355957,878.0482499999999
1,0,0,7.9594593,byplayer,0,0,26,1,1,49.726242,WCK_RiboxD,account.9209ecdf450642a58cf8b9a18e0cbd39,0,7243.2583,0,0,0,619.313,0,284.55377,2,11,100.00000190734863,WCK,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,dd5a6887-f744-43b0-98ac-a74713f67db9,"['WCK_Ragnar', 'WCK_SzylzEN', 'WCK_RiboxD', 'WCK_Harald']",11,4,4,8254.873090000001,481.3430593,877.7303352355957,878.0482499999999
0,2,1,71.84933,byplayer,0,3,87,0,0,0.0,WCK_Harald,account.917b2ef248a34b4c8c99d33c8205e66e,1,8063.3325,0,0,0,855.343,0,599.16016,3,11,261.5610885620117,WCK,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,dd5a6887-f744-43b0-98ac-a74713f67db9,"['WCK_Ragnar', 'WCK_SzylzEN', 'WCK_RiboxD', 'WCK_Harald']",11,4,4,8254.873090000001,481.3430593,877.7303352355957,878.0482499999999
1,2,3,165.98187,byplayer,0,2,24,1,1,26.472324,CC_NOOKIE,account.9b5613386ea544eda2c2fcc99f27de98,0,5004.9985,0,0,0,1227.268,0,1778.6533,4,9,258.8040075302124,CC,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,66fa8f0f-c00c-40e4-841b-42a06bf1d173,"['CC_NOOKIE', 'CC_teme', 'CC_Tiikzu', 'CC_Mise']",9,8,2,5637.0089499999995,774.26989,657.965569972992,1203.4595
3,0,3,164.93198,byplayer,0,0,7,1,3,94.01008,CC_teme,account.0ff96659da454e489948a819b5213bf0,0,3532.5803,0,0,0,1227.265,0,1812.3551,4,9,117.98428726196289,CC,ccd9559f-9349-461c-b4d5-ab362baf0412,2019-11-11T01:42:57Z,Erangel,1806,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/14/fee2dfe7-0428-11ea-adac-0a586469f39e-telemetry.json,66fa8f0f-c00c-40e4-841b-42a06bf1d173,"['CC_NOOKIE', 'CC_teme', 'CC_Tiikzu', 'CC_Mise']",9,8,2,5637.0089499999995,774.26989,657.965569972992,1203.4595
