dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,4,54.76657,byplayer,0,1,85,0,0,0.0,SST_gabha,account.1877c6fdec734682925b3a006374ae07,0,8033.2,0,0,0,1255.893,0,1020.9178,6,10,190.45526504516602,SST,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,e6f31090-61e5-445b-acd2-f8d1ff469e33,"['SST_gabha', 'SST_CrazySam', 'SST_kendesu', 'SST_fiachan']",10,1,1,8237.461335,465.683534,673.6848850250244,1189.625
0,0,5,28.709131,byplayer,0,0,86,0,0,0.0,SST_CrazySam,account.ddc5c0c658474cf5b2e4b3929729deea,0,7254.6816,0,0,0,1054.879,0,1106.4517,5,10,117.7808609008789,SST,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,e6f31090-61e5-445b-acd2-f8d1ff469e33,"['SST_gabha', 'SST_CrazySam', 'SST_kendesu', 'SST_fiachan']",10,1,1,8237.461335,465.683534,673.6848850250244,1189.625
0,0,2,28.437813,byplayer,0,0,87,0,0,0.0,SST_kendesu,account.142cff12c5c3448fb011698f284188d8,0,6005.11,0,0,0,1054.315,0,764.41724,6,10,106.00000190734863,SST,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,e6f31090-61e5-445b-acd2-f8d1ff469e33,"['SST_gabha', 'SST_CrazySam', 'SST_kendesu', 'SST_fiachan']",10,1,1,8237.461335,465.683534,673.6848850250244,1189.625
2,1,4,353.77002,byplayer,0,3,27,1,1,41.969437,SST_fiachan,account.23b2e9c638e74f848169bb38e18f5d09,0,7225.928,0,0,0,1393.413,0,1539.139,4,10,259.44875717163086,SST,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,e6f31090-61e5-445b-acd2-f8d1ff469e33,"['SST_gabha', 'SST_CrazySam', 'SST_kendesu', 'SST_fiachan']",10,1,1,8237.461335,465.683534,673.6848850250244,1189.625
1,0,6,392.73328,byplayer,0,5,10,1,2,194.05183,VEN_nonreg,account.e126528346dd4c6fb721de426f835e5f,0,3403.2834,0,0,0,1704.739,0,2252.2837,5,4,188.67574882507324,VEN,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,ab8e791a-6bc9-4f4c-b257-748f66ccb464,"['VEN_nonreg', 'VEN_icoNDks', 'VEN_eDGe', 'VEN_kritikalmotion']",4,6,0,5462.740932500001,1123.530538,827.928581237793,1293.1747500000001
0,0,1,61.161938,byplayer,0,5,77,0,0,0.0,VEN_icoNDks,account.55f91d81dae34b7f8310668adc511d7e,0,3736.404,0,0,0,848.191,0,1128.9496,7,4,129.65174865722656,VEN,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,ab8e791a-6bc9-4f4c-b257-748f66ccb464,"['VEN_nonreg', 'VEN_icoNDks', 'VEN_eDGe', 'VEN_kritikalmotion']",4,6,0,5462.740932500001,1123.530538,827.928581237793,1293.1747500000001
0,0,2,39.35352,byplayer,0,0,76,0,0,0.0,VEN_eDGe,account.ff72b90a889c433fbf13786f4d4f95ad,0,4737.5986,0,0,0,852.883,0,754.72833,6,4,92.29294395446777,VEN,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,ab8e791a-6bc9-4f4c-b257-748f66ccb464,"['VEN_nonreg', 'VEN_icoNDks', 'VEN_eDGe', 'VEN_kritikalmotion']",4,6,0,5462.740932500001,1123.530538,827.928581237793,1293.1747500000001
4,0,4,630.2818,byplayer,1,4,3,1,4,114.29325,VEN_kritikalmotion,account.52e34a4ca31049879427f28fc8f3f247,0,3232.6038,0,0,0,1766.886,0,2605.1123,5,4,417.3081398010254,VEN,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,ab8e791a-6bc9-4f4c-b257-748f66ccb464,"['VEN_nonreg', 'VEN_icoNDks', 'VEN_eDGe', 'VEN_kritikalmotion']",4,6,0,5462.740932500001,1123.530538,827.928581237793,1293.1747500000001
2,0,1,226.36557,byplayer,0,0,9,1,2,258.98294,GG_DrasseL,account.e4620a490a0048c7b4cbd636edd25b47,2,2676.0283,0,0,0,1823.364,0,1959.9124,4,3,100.00000190734863,GG,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,68e0c5ea-1ee6-4b36-a6cb-b9aa3e140c29,"['GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy']",3,3,0,4743.9035,605.16286,855.1283569335938,1775.98225
0,0,4,110.51795,byplayer,0,2,75,0,0,0.0,GG_Vegas,account.ac2168c46c7b4e0fadc41bd8e09c2342,0,3210.7007,0,0,0,1719.828,0,1659.5737,5,3,213.2661418914795,GG,d10f4a03-fe4e-4fe1-a5c4-5b04a1848471,2019-11-18T03:51:52Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/04/24/463a1c2b-09bb-11ea-bc7c-0a586469e7d8-telemetry.json,68e0c5ea-1ee6-4b36-a6cb-b9aa3e140c29,"['GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy']",3,3,0,4743.9035,605.16286,855.1283569335938,1775.98225
