dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,1,34,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,6520.7583,0,0,0,1264,0,1174.9764,4,4,162.6662197113037,GBL,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,53b44c26-0358-47e2-a318-ef1322521999,"['GBL_Renba', 'GBL_Spear', 'GBL_Lambu', 'GBL_Adder']",4,5,3,6160.791625,1257.99353,930.4088287353516,1522.5
1,1,8,394.23206,byplayer,1,2,6,1,3,247.8642,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,4861.3584,0,0,0,1664,0,1626.5183,8,4,222.06786346435547,GBL,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,53b44c26-0358-47e2-a318-ef1322521999,"['GBL_Renba', 'GBL_Spear', 'GBL_Lambu', 'GBL_Adder']",4,5,3,6160.791625,1257.99353,930.4088287353516,1522.5
2,2,4,629.0608,byplayer,0,3,20,1,1,47.287178,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,3383.4465,0,0,0,1661,0,1759.8018,4,7,302.89027976989746,GBL,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,53b44c26-0358-47e2-a318-ef1322521999,"['GBL_Renba', 'GBL_Spear', 'GBL_Lambu', 'GBL_Adder']",4,5,3,6160.791625,1257.99353,930.4088287353516,1522.5
1,0,4,234.70067,byplayer,0,3,21,1,1,59.051212,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,4033.161,0,0,0,1501,0,1283.1458,7,8,242.78446578979492,GBL,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,53b44c26-0358-47e2-a318-ef1322521999,"['GBL_Renba', 'GBL_Spear', 'GBL_Lambu', 'GBL_Adder']",4,5,3,6160.791625,1257.99353,930.4088287353516,1522.5
1,2,5,303.79474,byplayer,0,1,32,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,8384.751,0,0,0,1913,0,1962.3967,6,3,195.00000190734863,TSM,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,69242ab1-b356-4558-9f8b-2ea6d7f29efd,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",3,3,3,10037.173075,827.154886,821.6681118011475,1877.25
0,0,5,157.79968,byplayer,0,7,33,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,1,8339.11,0,0,0,1760,0,1961.4404,4,3,352.9828243255615,TSM,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,69242ab1-b356-4558-9f8b-2ea6d7f29efd,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",3,3,3,10037.173075,827.154886,821.6681118011475,1877.25
1,0,8,41.275646,byzone,0,0,10,1,2,444.80902,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,8269.026,0,0,0,1921,0,1793.2634,4,3,84.5999984741211,TSM,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,69242ab1-b356-4558-9f8b-2ea6d7f29efd,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",3,3,3,10037.173075,827.154886,821.6681118011475,1877.25
2,1,6,324.28482,byplayer,0,1,16,1,1,25.943762,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,7108.04,0,0,0,1915,0,2330.6648,5,3,189.0852870941162,TSM,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,69242ab1-b356-4558-9f8b-2ea6d7f29efd,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",3,3,3,10037.173075,827.154886,821.6681118011475,1877.25
3,0,4,402.72855,alive,2,3,2,2,4,96.54097,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,4980.0195,0,0,0,1898,0,2153.2324,6,1,329.35188484191895,OATH,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,5e199f54-26e3-488a-be28-3a8ba9cd73c2,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",1,19,6,6886.476274999999,2502.86267,1427.4090576171875,1916.75
2,5,4,772.18835,alive,1,5,4,1,3,214.57463,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,3942.4163,0,0,0,1934,0,1857.621,3,1,324.7048110961914,OATH,d1298759-75af-40e4-afb6-bd0d3d1679bb,2021-11-23T12:41:44Z,Miramar,1934,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/13/15/7b6d1a97-4c5f-11ec-9c21-16512f2173af-telemetry.json,5e199f54-26e3-488a-be28-3a8ba9cd73c2,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",1,19,6,6886.476274999999,2502.86267,1427.4090576171875,1916.75
