dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,237.98413,byplayer,1,1,21,1,1,120.37374,ENA_Raeng,account.b0e0ab40da0140ca8b1c5d77c346f204,0,4016.1104,0,0,0,1038.527,0,1363.5585,3,7,160.59340286254883,ENA,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,9ab660db-5b52-4314-bb57-6e2656b64540,"['ENA_Raeng', 'ENA_Alphaca', 'ENA_Joy', 'ENA_Mickey']",7,2,1,5676.310475,680.6122499999999,835.6521949768066,1172.2705
1,1,2,147.55817,byplayer,0,4,76,0,0,0.0,ENA_Alphaca,account.61bae2c2dc4f4f7c94e4f2d7bb73af77,0,4677.4526,0,0,0,1301.746,0,1434.0961,4,7,333.23914337158203,ENA,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,9ab660db-5b52-4314-bb57-6e2656b64540,"['ENA_Raeng', 'ENA_Alphaca', 'ENA_Joy', 'ENA_Mickey']",7,2,1,5676.310475,680.6122499999999,835.6521949768066,1172.2705
0,0,3,163.19196,byplayer,0,2,22,1,1,43.65757,ENA_Joy,account.9af41631781b40089f85781bb0aec97e,0,4144.214,0,0,0,1037.937,0,1434.4961,5,7,179.08964729309082,ENA,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,9ab660db-5b52-4314-bb57-6e2656b64540,"['ENA_Raeng', 'ENA_Alphaca', 'ENA_Joy', 'ENA_Mickey']",7,2,1,5676.310475,680.6122499999999,835.6521949768066,1172.2705
1,0,1,131.87799,byplayer,0,1,75,0,0,0.0,ENA_Mickey,account.3288e68dcae74c0b89a4f091942973c7,0,4453.787,0,0,0,1310.872,0,1181.5272,5,7,162.73000144958496,ENA,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,9ab660db-5b52-4314-bb57-6e2656b64540,"['ENA_Raeng', 'ENA_Alphaca', 'ENA_Joy', 'ENA_Mickey']",7,2,1,5676.310475,680.6122499999999,835.6521949768066,1172.2705
0,0,0,40.59,byplayer,0,0,82,0,0,0.0,VC_DouM,account.13dda8334d8444afbdd246e433aed96d,0,2523.0396,0,0,0,297.731,0,122.372955,4,10,99.99999809265137,VC,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,ecc14c16-f8a0-4c0a-9396-5b22b6014c1f,"['VC_DouM', 'VC_Tide', 'VC_Summer', 'VC_DJboy']",10,1,0,3546.54479875,249.96115,541.2140159606934,748.66325
0,0,2,61.04426,byplayer,0,3,81,0,0,0.0,VC_Tide,account.6e76f10f81f2433c9866518a38f3f80c,0,4284.2017,0,0,0,1198.606,0,1460.285,7,10,155.23882293701172,VC,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,ecc14c16-f8a0-4c0a-9396-5b22b6014c1f,"['VC_DouM', 'VC_Tide', 'VC_Summer', 'VC_DJboy']",10,1,0,3546.54479875,249.96115,541.2140159606934,748.66325
1,0,3,148.32689,byplayer,0,5,25,1,1,97.800606,VC_Summer,account.31df1951afc04fdfaf4f2e4f165d6144,0,2537.0693,0,0,0,1205.956,0,1057.3677,6,10,185.9751968383789,VC,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,ecc14c16-f8a0-4c0a-9396-5b22b6014c1f,"['VC_DouM', 'VC_Tide', 'VC_Summer', 'VC_DJboy']",10,1,0,3546.54479875,249.96115,541.2140159606934,748.66325
0,0,0,0.0,byplayer,0,0,83,0,0,0.0,VC_DJboy,account.5c6d3fb1f7f0444fbbebc91bcb3944c2,0,2023.0508,0,0,0,292.36,0,178.79214,3,10,99.99999809265137,VC,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,ecc14c16-f8a0-4c0a-9396-5b22b6014c1f,"['VC_DouM', 'VC_Tide', 'VC_Summer', 'VC_DJboy']",10,1,0,3546.54479875,249.96115,541.2140159606934,748.66325
2,0,3,392.77518,byplayer,1,2,10,1,2,119.51085,ENF_DoYa,account.520b568b36504e88879c7766fa4df976,0,3757.9028,0,0,0,1708.813,1,2733.1995,5,1,194.62323760986328,ENF,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,522f3b51-9810-445e-9351-a5c8f8ee7d42,"['ENF_DoYa', 'ENF_kAyle', 'ENF_indigo', 'ENF_Seongjang']",1,12,4,4953.36676,1739.84526,1192.606384754181,1745.96875
3,1,5,534.6862,byplayer,0,5,2,2,4,176.47607,ENF_kAyle,account.e01b3bc662ee4b028eb377fd83553353,2,2054.9841,0,0,0,1675.794,0,2749.0278,1,1,289.47704696655273,ENF,d4227555-d9e4-4877-aacd-3c0e298ef8f3,2019-11-16T04:40:18Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/05/12/b9ab6b3e-082f-11ea-bc7c-0a586469e7d8-telemetry.json,522f3b51-9810-445e-9351-a5c8f8ee7d42,"['ENF_DoYa', 'ENF_kAyle', 'ENF_indigo', 'ENF_Seongjang']",1,12,4,4953.36676,1739.84526,1192.606384754181,1745.96875
