dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,225.53357,byplayer,0,2,39,0,0,0.0,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,10726.643,0,0,0,1406,0,985.8632,4,7,286.0475368499756,GEX,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,1c0966b4-1dc4-4af7-befa-b11299b24c78,"['GEX_YanLi', 'GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan']",7,3,0,11316.3902025,454.253208,792.5129919052124,1339.25
0,0,4,25.08,byplayer,0,7,28,1,1,26.727215,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,0,12384.085,0,0,0,1275,0,725.90485,4,7,88.33850860595703,GEX,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,1c0966b4-1dc4-4af7-befa-b11299b24c78,"['GEX_YanLi', 'GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan']",7,3,0,11316.3902025,454.253208,792.5129919052124,1339.25
0,0,4,22.236168,byplayer,0,6,40,0,0,0.0,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,9436.786,0,0,0,1270,0,854.14276,4,7,282.7784757614136,GEX,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,1c0966b4-1dc4-4af7-befa-b11299b24c78,"['GEX_YanLi', 'GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan']",7,3,0,11316.3902025,454.253208,792.5129919052124,1339.25
0,0,4,181.40347,byplayer,0,1,11,1,2,416.64258,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,1,9548.152,0,0,0,1406,0,603.984,4,7,135.3484706878662,GEX,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,1c0966b4-1dc4-4af7-befa-b11299b24c78,"['GEX_YanLi', 'GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan']",7,3,0,11316.3902025,454.253208,792.5129919052124,1339.25
1,1,2,451.65833,byplayer,0,2,29,1,1,13.373495,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,1,2587.0496,0,0,0,1276,0,1067.9656,4,10,160.55825424194336,PeRo,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,831c9374-de04-4a0b-9e0a-724ce52b1060,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft', 'PeRo_Myl']",10,5,1,3946.86344,988.4233499999999,673.009801864624,1278.5
0,0,4,0.0,byplayer,0,2,48,0,0,0.0,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,0,3469.7827,0,0,0,1254,0,1194.581,6,10,154.23817443847656,PeRo,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,831c9374-de04-4a0b-9e0a-724ce52b1060,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft', 'PeRo_Myl']",10,5,1,3946.86344,988.4233499999999,673.009801864624,1278.5
1,0,3,465.38757,byplayer,2,2,12,1,2,166.3745,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,2981.92,0,0,0,1352,0,928.9863,5,10,270.65617752075195,PeRo,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,831c9374-de04-4a0b-9e0a-724ce52b1060,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft', 'PeRo_Myl']",10,5,1,3946.86344,988.4233499999999,673.009801864624,1278.5
1,0,4,71.37745,byplayer,0,0,13,1,2,519.85583,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,0,2631.7664,0,0,0,1232,0,925.40216,5,10,87.55719566345215,PeRo,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,831c9374-de04-4a0b-9e0a-724ce52b1060,"['PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft', 'PeRo_Myl']",10,5,1,3946.86344,988.4233499999999,673.009801864624,1278.5
3,0,7,473.27704,byplayer,1,1,2,2,4,52.502636,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,4997.2666,0,0,0,1917,0,1910.5465,5,2,178.24000358581543,NH,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,6ea2cd37-6407-4226-9acf-25dfd3c93fb8,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing', 'NH_HSmm']",2,8,4,5755.3312750000005,1191.51343,777.4383459091187,1662.25
3,3,7,473.10953,byplayer,1,2,4,2,3,65.797874,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,4225.002,0,0,0,1917,0,1420.5256,4,2,284.17881298065186,NH,d4e07dc6-aa12-4c2b-8a19-540b76729c33,2021-11-24T14:42:28Z,Erangel (Remastered),1917,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/15/16/7907b405-4d39-11ec-9c21-16512f2173af-telemetry.json,6ea2cd37-6407-4226-9acf-25dfd3c93fb8,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing', 'NH_HSmm']",2,8,4,5755.3312750000005,1191.51343,777.4383459091187,1662.25
