dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,1,278.1682,byplayer,0,1,23,1,1,82.02808,DIG_Shinboi,account.c35106154a3f49c29a71106c473e8559,0,5074.998,0,0,1,1291,0,1661.5858,4,7,181.18038940429688,DIG,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,95280344-80a4-48bf-b78b-41910168f220,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",7,5,2,5192.720899999999,944.61094,577.1903533935547,1303.75
1,1,3,492.4533,byplayer,1,2,10,1,2,264.84796,DIG_sparkingg,account.2bf211401351438c987b6846009db9ba,0,2721.235,0,0,0,1317,0,1246.1444,3,7,173.6382064819336,DIG,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,95280344-80a4-48bf-b78b-41910168f220,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",7,5,2,5192.720899999999,944.61094,577.1903533935547,1303.75
2,0,3,173.98944,byzone,0,1,9,1,2,181.06715,DIG_Poonage,account.3ce60a1053dd45c79a8deb4e29fa32bb,0,3166.4646,0,0,0,1326,0,1943.9437,3,7,122.37175750732422,DIG,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,95280344-80a4-48bf-b78b-41910168f220,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",7,5,2,5192.720899999999,944.61094,577.1903533935547,1303.75
0,0,0,0.0,byplayer,0,0,43,0,0,0.0,DIG_HoneyBadger,account.eaeaba953a094607b60bd205ea2dd889,0,3599.0974,0,0,0,1281,0,1357.4147,5,7,100.0,DIG,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,95280344-80a4-48bf-b78b-41910168f220,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",7,5,2,5192.720899999999,944.61094,577.1903533935547,1303.75
3,3,2,637.1047,byplayer,0,1,20,1,1,18.043419,FaZe_Fuzzface,account.246d74ca95064c81976e9349b8a55925,0,2395.787,0,0,0,1430,0,1921.9446,4,4,215.62109565734863,FaZe,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,588eec09-8a19-4f2e-90db-74a02715d450,"['FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav']",4,9,4,3206.9353925,1880.11929,753.2014980316162,1156.5
5,1,2,763.01416,byplayer,0,2,5,2,3,77.684166,FaZe_Aitzy,account.ef37fe1de31342eda580c3681a8d46cd,0,1823.1575,0,0,0,1532,0,2285.4192,4,4,232.0780200958252,FaZe,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,588eec09-8a19-4f2e-90db-74a02715d450,"['FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav']",4,9,4,3206.9353925,1880.11929,753.2014980316162,1156.5
3,0,3,480.00043,byplayer,3,1,1,2,5,232.32095,FaZe_Fexx,account.d2bcd9a691f244fca1f8d1c9ba673c27,0,1324.0242,0,0,0,1351,0,2403.858,5,4,205.50238227844238,FaZe,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,588eec09-8a19-4f2e-90db-74a02715d450,"['FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav']",4,9,4,3206.9353925,1880.11929,753.2014980316162,1156.5
0,0,0,0.0,byplayer,0,0,36,0,0,0.0,FaZe_Gustav,account.59bf654a2c7d4b37ae1aa2929500ba6a,0,215.34724,0,0,0,313,0,458.20383,6,4,100.0,FaZe,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,588eec09-8a19-4f2e-90db-74a02715d450,"['FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav']",4,9,4,3206.9353925,1880.11929,753.2014980316162,1156.5
1,0,0,98.18024,byplayer,0,0,25,1,1,10.55263,KPI_Capitan,account.b1700a3ba3be4de48c73f2ed014b9949,0,409.5393,0,0,0,426,0,334.656,3,11,100.00000381469727,KPI,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,c6a69932-caa1-42ec-b822-a9876a298f3d,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",11,9,2,2145.327075,955.6065900000001,781.3765144348145,981.25
2,1,4,126.57389,byplayer,0,1,24,1,1,55.446835,KPI_Em1hh,account.0958f61cd64e4f368b026aa22a08599a,0,1202.4092,0,0,0,1103,0,1174.2065,4,11,149.9602928161621,KPI,d58ae42e-2491-429a-bb7b-025c1a4a9a63,2021-11-21T13:58:32Z,Miramar,1618,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/14/27/252788c7-4ad7-11ec-9c21-16512f2173af-telemetry.json,c6a69932-caa1-42ec-b822-a9876a298f3d,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",11,9,2,2145.327075,955.6065900000001,781.3765144348145,981.25
