dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,4,301.29645,byzone,1,1,11,1,2,310.3988,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,3319.5625,0,0,0,1326,0,1039.3751,4,9,230.48972511291504,TWIS,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,2ce2eb39-c401-47cc-ac76-d97b02b151ac,"['TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu']",9,4,4,4243.207425,1131.50049,1072.4502182006836,1321.25
3,2,7,269.0776,byplayer,1,4,25,1,1,190.08482,TWIS_spyrro,account.caf93e0eb8804b478a6a4b2d4d69f54f,1,2707.455,0,0,0,1336,0,1473.0615,3,9,280.3923397064209,TWIS,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,2ce2eb39-c401-47cc-ac76-d97b02b151ac,"['TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu']",9,4,4,4243.207425,1131.50049,1072.4502182006836,1321.25
0,1,3,428.01346,byplayer,0,5,24,1,1,3.3630917,TWIS_Perfect1ks,account.806c51ce23634e02ace2089773349500,0,2819.4565,0,0,0,1336,0,1371.2744,4,9,314.64034271240234,TWIS,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,2ce2eb39-c401-47cc-ac76-d97b02b151ac,"['TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu']",9,4,4,4243.207425,1131.50049,1072.4502182006836,1321.25
0,0,6,133.11298,byplayer,0,5,53,0,0,0.0,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,3050.24,0,0,0,1287,0,1192.4047,4,9,246.9278106689453,TWIS,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,2ce2eb39-c401-47cc-ac76-d97b02b151ac,"['TWIS_BatulinS', 'TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu']",9,4,4,4243.207425,1131.50049,1072.4502182006836,1321.25
0,0,2,0.0,byplayer,0,0,51,0,0,0.0,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,4884.5195,0,0,0,858,0,696.8806,4,7,126.57621383666992,TE,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,91f31d7c-ac33-4dc0-8559-74fc9d763685,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",7,1,1,6336.098075000001,468.473876,936.0659294128418,1338.75
0,0,6,91.028946,byplayer,0,2,49,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,5717.5527,0,0,0,1521,0,1573.941,4,7,193.00512313842773,TE,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,91f31d7c-ac33-4dc0-8559-74fc9d763685,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",7,1,1,6336.098075000001,468.473876,936.0659294128418,1338.75
1,0,5,246.3549,byplayer,0,3,21,1,1,55.177753,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,5574.9287,0,0,0,1487,0,1188.595,3,7,300.7627372741699,TE,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,91f31d7c-ac33-4dc0-8559-74fc9d763685,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",7,1,1,6336.098075000001,468.473876,936.0659294128418,1338.75
0,1,4,131.09003,byplayer,0,3,50,0,0,0.0,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,0,3971.593,0,0,0,1489,0,1736.3818,5,7,315.7218551635742,TE,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,91f31d7c-ac33-4dc0-8559-74fc9d763685,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",7,1,1,6336.098075000001,468.473876,936.0659294128418,1338.75
0,0,4,22.766724,byzone,0,3,56,0,0,0.0,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,1266.6943,0,0,0,1144,0,1420.4141,5,11,302.4441337585449,KDF,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,34014260-e184-4e5b-98dd-d40adf1c7e49,"['KDF_EEND', 'KDF_Akad', 'KDF_LashK', 'KDF_Hikari']",11,4,1,3810.7605000000003,397.58599399999997,1086.8345165252686,1190.5
1,0,4,150.32983,byplayer,1,6,4,1,3,184.96733,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,1,3038.1611,0,0,0,1234,0,1903.2533,5,11,297.6158103942871,KDF,d9f99b17-3fd1-4caa-8f37-c2eb2684a9f6,2022-11-17T15:57:59Z,Miramar,1784,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/16/29/0a5bc889-6695-11ed-a4c3-16512f2173af-telemetry.json,34014260-e184-4e5b-98dd-d40adf1c7e49,"['KDF_EEND', 'KDF_Akad', 'KDF_LashK', 'KDF_Hikari']",11,4,1,3810.7605000000003,397.58599399999997,1086.8345165252686,1190.5
