dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,35.6425,byplayer,0,0,32,1,1,18.052956,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,5557.4536,0,0,0,938,0,992.182,6,15,150.89295959472656,YAHO,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,1406b676-8c22-4c34-bf9f-96565b0b5ea7,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_Balefrost', 'YAHO_sparkingg']",15,3,3,6333.853149999999,615.64195,615.7363166809082,938.0
0,1,2,63.25778,byplayer,0,0,62,0,0,0.0,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,1,5027.262,0,0,0,938,0,1037.5483,8,15,98.14295196533203,YAHO,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,1406b676-8c22-4c34-bf9f-96565b0b5ea7,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_Balefrost', 'YAHO_sparkingg']",15,3,3,6333.853149999999,615.64195,615.7363166809082,938.0
1,1,4,340.48166,byplayer,0,2,34,1,1,10.724191,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,5399.629,0,0,0,938,1,815.8948,3,15,240.10040473937988,YAHO,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,1406b676-8c22-4c34-bf9f-96565b0b5ea7,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_Balefrost', 'YAHO_sparkingg']",15,3,3,6333.853149999999,615.64195,615.7363166809082,938.0
1,1,3,176.26001,byplayer,0,0,33,1,1,12.975511,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,5881.585,0,0,0,938,0,623.8579,6,15,126.60000038146973,YAHO,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,1406b676-8c22-4c34-bf9f-96565b0b5ea7,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_Balefrost', 'YAHO_sparkingg']",15,3,3,6333.853149999999,615.64195,615.7363166809082,938.0
2,0,8,649.517,byplayer,1,4,4,2,3,66.65057,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,1,3054.2559,0,0,0,1719,0,2083.3533,8,3,386.5682849884033,17,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,c366bc6a-8175-49a0-b38a-8549d01369f3,"['17_Lilghost', '17_shou', '17_SuJiu', '17_xwudd']",3,5,2,3957.058425,1280.8410000000001,1346.8296337127686,1401.25
1,0,7,355.844,byplayer,0,8,17,1,1,64.945595,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,2349.2544,0,0,0,1657,2,1885.554,4,3,546.169412612915,17,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,c366bc6a-8175-49a0-b38a-8549d01369f3,"['17_Lilghost', '17_shou', '17_SuJiu', '17_xwudd']",3,5,2,3957.058425,1280.8410000000001,1346.8296337127686,1401.25
0,0,0,0.0,byplayer,0,0,38,0,0,0.0,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,2110.4592,0,0,0,652,0,630.0673,5,3,100.0,17,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,c366bc6a-8175-49a0-b38a-8549d01369f3,"['17_Lilghost', '17_shou', '17_SuJiu', '17_xwudd']",3,5,2,3957.058425,1280.8410000000001,1346.8296337127686,1401.25
2,2,5,275.48,byplayer,0,4,18,1,1,12.653621,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,1,2432.131,0,0,0,1577,1,1283.1586,7,3,314.0919361114502,17,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,c366bc6a-8175-49a0-b38a-8549d01369f3,"['17_Lilghost', '17_shou', '17_SuJiu', '17_xwudd']",3,5,2,3957.058425,1280.8410000000001,1346.8296337127686,1401.25
2,0,1,184.5263,byplayer,2,6,7,2,3,214.5617,BBL_Smash,account.5bb7f810cda845ca9e1954822bd7180d,0,4901.394,0,0,0,1428,0,1190.3868,3,5,186.44457626342773,BBL,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,0487a419-b458-4cc3-b6f2-6aec39568dc9,"['BBL_Smash', 'BBL_Quetpa', 'BBL_Thenderlost', 'BBL_CodeMarco']",5,8,3,6398.4035,1410.00915,1140.8225107192993,1585.25
3,2,5,467.45364,byplayer,2,5,10,1,2,153.68768,BBL_Quetpa,account.2a0e08b9ccc648e1807fd6a5d86eeff4,0,4143.772,0,0,0,1655,0,1832.7673,5,5,332.2957420349121,BBL,da8415ca-0c2a-444d-a631-363e2d3ca0f4,2022-11-08T15:52:35Z,Miramar,1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/16/25/e89eaa61-5f81-11ed-a4c3-16512f2173af-telemetry.json,0487a419-b458-4cc3-b6f2-6aec39568dc9,"['BBL_Smash', 'BBL_Quetpa', 'BBL_Thenderlost', 'BBL_CodeMarco']",5,8,3,6398.4035,1410.00915,1140.8225107192993,1585.25
