dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,2,4,595.50525,alive,1,5,1,1,4,268.85565,GBL_Lambu,account.61ae3d6e0c1848069e267f1f0e02a393,0,3968.5881,0,0,0,1866,1,1636.5625,4,1,332.4163703918457,GBL,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,4b636d4b-707a-44ea-a083-5f3de59a4ecf,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",1,9,5,6552.613974999999,1802.2985199999998,934.3875970840454,1772.25
3,1,2,524.4534,alive,2,3,9,2,2,123.30122,GBL_Adder,account.a8121514ac294bfa8556155aad4baeb4,0,4706.5776,0,0,0,1866,0,1957.1896,4,1,238.0822639465332,GBL,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,4b636d4b-707a-44ea-a083-5f3de59a4ecf,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",1,9,5,6552.613974999999,1802.2985199999998,934.3875970840454,1772.25
1,1,5,246.46545,alive,1,0,15,1,1,60.764297,GBL_Renba,account.103b3596564a45d1a58b3bfb723cc319,0,5034.2153,0,0,0,1491,0,1763.1802,6,1,127.39875793457031,GBL,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,4b636d4b-707a-44ea-a083-5f3de59a4ecf,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",1,9,5,6552.613974999999,1802.2985199999998,934.3875970840454,1772.25
2,1,3,435.87442,alive,1,4,10,1,2,64.97091,GBL_Spear,account.d210ba9bd9bb4b84bdc703d9ea52e186,1,5127.583,0,0,0,1866,0,2016.5596,9,1,236.4902048110962,GBL,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,4b636d4b-707a-44ea-a083-5f3de59a4ecf,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",1,9,5,6552.613974999999,1802.2985199999998,934.3875970840454,1772.25
0,0,1,72.54167,byzone,0,0,47,0,0,0.0,E36_Pureboy,account.f0b55387ae434157b0508d8a313a4117,0,9654.825,0,0,0,964,0,556.90704,7,10,105.99999713897705,E36,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,8147b555-fd3d-4877-bb2f-fd1361eccfe8,"['E36_Pureboy', 'E36_Starlord', 'E36_indigo', 'E36_amonot']",10,0,0,10149.7894675,181.282826,549.6240272521973,1039.0
0,0,4,21.741156,byzone,0,1,46,0,0,0.0,E36_Starlord,account.877c12d3fdb54252b70d0570c2f28c46,0,8888.457,0,0,0,991,0,1128.9825,3,10,185.7240333557129,E36,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,8147b555-fd3d-4877-bb2f-fd1361eccfe8,"['E36_Pureboy', 'E36_Starlord', 'E36_indigo', 'E36_amonot']",10,0,0,10149.7894675,181.282826,549.6240272521973,1039.0
1,0,4,87.0,byplayer,0,6,45,0,0,0.0,E36_indigo,account.ca3b46f20fe24ce3a6a742ef32af9787,0,9497.778,0,0,0,1260,0,1243.1298,2,10,103.0,E36,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,8147b555-fd3d-4877-bb2f-fd1361eccfe8,"['E36_Pureboy', 'E36_Starlord', 'E36_indigo', 'E36_amonot']",10,0,0,10149.7894675,181.282826,549.6240272521973,1039.0
0,0,1,0.0,byzone,0,1,48,0,0,0.0,E36_amonot,account.10a99f14f95d4ba8a9fe21e6f2eb01b4,0,8964.757,0,0,0,941,0,664.32153,5,10,154.89999675750732,E36,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,8147b555-fd3d-4877-bb2f-fd1361eccfe8,"['E36_Pureboy', 'E36_Starlord', 'E36_indigo', 'E36_amonot']",10,0,0,10149.7894675,181.282826,549.6240272521973,1039.0
1,1,4,695.72174,byplayer,0,2,17,1,1,249.02579,OATH_Kickstart,account.361c4c7547c3496e901b3f0665368501,0,1547.9758,0,0,0,1807,1,1041.3663,4,3,326.5261573791504,OATH,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,fe197afe-63e9-44d9-b16c-2c4071738fdc,"['OATH_Kickstart', 'OATH_Balefrost', 'OATH_Snakers', 'OATH_Relo']",3,7,4,2743.2259649999996,1827.65767,1241.8454236984253,1768.75
5,2,7,367.6053,byplayer,1,5,4,1,3,283.826,OATH_Balefrost,account.1528eaab230841b5b8c0c7c2baf77b48,0,1292.3475,0,0,0,1821,0,1537.9973,3,3,213.90471076965332,OATH,dabbfdca-5db5-48e8-b6b6-1bd4d28c1581,2021-11-21T03:55:24Z,Erangel (Remastered),1866,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/04/28/785d0794-4a83-11ec-9c21-16512f2173af-telemetry.json,fe197afe-63e9-44d9-b16c-2c4071738fdc,"['OATH_Kickstart', 'OATH_Balefrost', 'OATH_Snakers', 'OATH_Relo']",3,7,4,2743.2259649999996,1827.65767,1241.8454236984253,1768.75
