dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,5,573.6632,byplayer,1,10,4,1,3,177.00447,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,4888.3364,0,0,0,1784,0,1908.8405,3,3,291.04790115356445,BBL,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,6fb6f66c-d431-4cef-8bfa-aa2ed7edb54f,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",3,8,7,5849.089925,2035.83758,1078.767331123352,1719.5
1,1,2,240.48003,byplayer,0,1,9,1,2,133.42618,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,1,3552.8252,0,0,0,1784,0,2093.9294,2,3,198.75888061523438,BBL,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,6fb6f66c-d431-4cef-8bfa-aa2ed7edb54f,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",3,8,7,5849.089925,2035.83758,1078.767331123352,1719.5
1,3,4,383.25565,byplayer,0,3,46,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,3558.1829,0,0,0,1784,0,1521.8188,5,3,311.24291133880615,BBL,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,6fb6f66c-d431-4cef-8bfa-aa2ed7edb54f,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",3,8,7,5849.089925,2035.83758,1078.767331123352,1719.5
4,2,4,838.4387,byzone,0,5,5,2,3,177.37065,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,3810.3066,0,0,0,1526,0,2062.1199,3,3,277.71763801574707,BBL,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,6fb6f66c-d431-4cef-8bfa-aa2ed7edb54f,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",3,8,7,5849.089925,2035.83758,1078.767331123352,1719.5
0,0,2,82.86107,byplayer,0,0,52,0,0,0.0,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,0,3170.9924,0,0,0,845,0,669.67865,3,6,100.0,KPI,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,c7dec090-c54e-42b2-a711-74497b86ab5e,"['KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_Capitan', 'KPI_SzylzEN']",6,4,0,4377.880762499999,774.91737,807.0644865036011,1290.0
1,0,2,287.668,byplayer,0,0,20,1,1,111.63469,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,0,3840.5325,0,0,0,1396,0,796.3469,4,6,100.0,KPI,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,c7dec090-c54e-42b2-a711-74497b86ab5e,"['KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_Capitan', 'KPI_SzylzEN']",6,4,0,4377.880762499999,774.91737,807.0644865036011,1290.0
3,0,5,303.9463,byzone,1,3,6,2,3,69.53675,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,1,2804.9265,0,0,0,1501,0,1248.0581,5,6,233.42034149169922,KPI,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,c7dec090-c54e-42b2-a711-74497b86ab5e,"['KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_Capitan', 'KPI_SzylzEN']",6,4,0,4377.880762499999,774.91737,807.0644865036011,1290.0
0,0,7,100.442,byplayer,0,7,51,0,0,0.0,KPI_SzylzEN,account.934939055fa541f2a18383a0908166ee,0,3427.1616,0,0,0,1418,0,1553.8264,5,6,373.64414501190186,KPI,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,c7dec090-c54e-42b2-a711-74497b86ab5e,"['KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_Capitan', 'KPI_SzylzEN']",6,4,0,4377.880762499999,774.91737,807.0644865036011,1290.0
2,0,0,85.16604,byplayer,0,0,10,1,2,155.19315,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,0,1471.6088,0,0,0,1511,1,1494.1139,2,5,100.00000381469727,Uniq,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,b626a33d-cd7b-454f-9a5b-7b73fe8df8a6,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_ADOUZ1E']",5,4,0,2827.7748025,1096.8541,491.1138334274292,1367.0
0,0,0,244.04129,byzone,1,0,19,1,1,112.094635,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,0,1595.7223,0,0,0,1086,0,711.1091,6,5,96.93817901611328,Uniq,dbdff6b5-1884-4ff4-9613-09087e7f100c,2021-11-25T10:09:23Z,Erangel (Remastered),1805,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/10/41/39f08eb1-4ddc-11ec-9c21-16512f2173af-telemetry.json,b626a33d-cd7b-454f-9a5b-7b73fe8df8a6,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_ADOUZ1E']",5,4,0,2827.7748025,1096.8541,491.1138334274292,1367.0
