dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,0,61,0,0,0.0,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,4119.5767,0,0,0,681,0,1143.6161,4,14,60.26690673828125,GEN,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,1b692837-7877-4c60-8c66-7a95476cd006,"['GEN_Pio', 'GEN_Esther', 'GEN_Inonix', 'GEN_Asura']",14,0,0,5904.355837499999,258.49564499999997,274.7871856689453,722.5
1,0,2,108.51008,byplayer,0,0,58,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,5414.5977,0,0,0,742,0,622.7424,3,14,71.90653991699219,GEN,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,1b692837-7877-4c60-8c66-7a95476cd006,"['GEN_Pio', 'GEN_Esther', 'GEN_Inonix', 'GEN_Asura']",14,0,0,5904.355837499999,258.49564499999997,274.7871856689453,722.5
1,0,4,107.985565,byplayer,0,0,59,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,6147.5674,0,0,0,737,0,481.54245,5,14,83.09120178222656,GEN,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,1b692837-7877-4c60-8c66-7a95476cd006,"['GEN_Pio', 'GEN_Esther', 'GEN_Inonix', 'GEN_Asura']",14,0,0,5904.355837499999,258.49564499999997,274.7871856689453,722.5
0,0,3,42.0,byplayer,0,0,60,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,4569.149,0,0,0,730,0,1118.6316,3,14,59.52253723144531,GEN,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,1b692837-7877-4c60-8c66-7a95476cd006,"['GEN_Pio', 'GEN_Esther', 'GEN_Inonix', 'GEN_Asura']",14,0,0,5904.355837499999,258.49564499999997,274.7871856689453,722.5
2,0,6,287.41147,byplayer,0,3,9,2,2,47.604713,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,3801.0657,0,0,0,1378,1,920.43256,3,3,232.3669834136963,17,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,fa965e3d-1d5e-4815-a95b-846467f350cd,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,7,2,4849.4359475,1957.17397,1123.0926036834717,1287.75
4,2,9,1259.4661,byplayer,2,4,6,1,3,88.267555,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,1,4187.799,0,0,0,1777,0,1190.6375,4,3,403.3636169433594,17,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,fa965e3d-1d5e-4815-a95b-846467f350cd,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,7,2,4849.4359475,1957.17397,1123.0926036834717,1287.75
1,0,6,410.2964,byplayer,1,3,8,1,2,62.089844,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,5249.575,0,0,0,1619,0,964.83545,4,3,387.362003326416,17,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,fa965e3d-1d5e-4815-a95b-846467f350cd,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,7,2,4849.4359475,1957.17397,1123.0926036834717,1287.75
0,0,0,0.0,byplayer,0,0,34,0,0,0.0,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,2866.4675,0,0,0,377,0,216.93108,3,3,100.0,17,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,fa965e3d-1d5e-4815-a95b-846467f350cd,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,7,2,4849.4359475,1957.17397,1123.0926036834717,1287.75
0,0,4,0.0,byplayer,0,0,42,0,0,0.0,OATH_Balefrost,account.039c6519067b474a948c19655de4e683,0,5949.5264,0,0,0,1422,0,1822.6508,7,8,99.99999618530273,OATH,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,39950d1e-b5a8-49d2-b19b-e83eee044fc1,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Relo', 'OATH_Kickstart']",8,1,0,7049.875925,609.65535,497.21750259399414,1422.0
1,0,0,256.3907,byplayer,0,0,44,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,0,4780.3643,0,0,0,1422,0,1690.4663,3,8,99.99999618530273,OATH,dc4bef91-795c-45cc-b308-b1caddf04898,2021-12-06T12:09:22Z,Erangel (Remastered),1853,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/42/ebfc62c9-5691-11ec-9c21-16512f2173af-telemetry.json,39950d1e-b5a8-49d2-b19b-e83eee044fc1,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Relo', 'OATH_Kickstart']",8,1,0,7049.875925,609.65535,497.21750259399414,1422.0
