dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,140.53296,byzone,1,4,3,2,3,152.23537,T1_HelleN,account.7864e27a965d4d9aa8d6f026650e3250,0,1490.5707,0,0.0,0,1005.192,0,2791.02,2,11,13.304191589355469,T1,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,d3d6d787-1019-412f-a177-756335c59f7e,"['T1_HelleN', 'T1_JeffLocka', 'T1_Akad', 'T1_Adder']",11,3,1,3710.938475,261.69881499999997,229.78365230560303,979.968
0,0,2,0.0,byplayer,0,1,89,0,0,0.0,T1_JeffLocka,account.96a6f4df46b94f67af575e233f8a9453,0,1218.8556,0,0.0,0,987.76,0,2411.2373,3,11,33.0,T1,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,d3d6d787-1019-412f-a177-756335c59f7e,"['T1_HelleN', 'T1_JeffLocka', 'T1_Akad', 'T1_Adder']",11,3,1,3710.938475,261.69881499999997,229.78365230560303,979.968
0,0,1,0.0,byplayer,0,0,91,0,0,0.0,T1_Akad,account.387a296a77a14b55897f1493ddb4b52a,0,962.21,0,0.0,0,955.876,0,2325.4724,5,11,100.00000476837158,T1,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,d3d6d787-1019-412f-a177-756335c59f7e,"['T1_HelleN', 'T1_JeffLocka', 'T1_Akad', 'T1_Adder']",11,3,1,3710.938475,261.69881499999997,229.78365230560303,979.968
1,1,0,121.165855,byzone,0,1,90,0,0,0.0,T1_Adder,account.5d864c62e7684826ab3fcdb4e641e512,0,678.7304,0,0.0,0,971.044,0,2965.6575,3,11,83.47945594787598,T1,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,d3d6d787-1019-412f-a177-756335c59f7e,"['T1_HelleN', 'T1_JeffLocka', 'T1_Akad', 'T1_Adder']",11,3,1,3710.938475,261.69881499999997,229.78365230560303,979.968
2,2,3,384.14877,byplayer,1,9,7,1,2,400.96988,GG_Vegas,account.ac2168c46c7b4e0fadc41bd8e09c2342,0,3695.685,0,0.0,0,1328.128,0,1761.6803,4,3,111.97744941711426,GG,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,544c53ea-44d5-4986-aef5-450546e430c5,"['GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy', 'GG_DrasseL']",3,3,3,4935.395525,1342.1702100000002,727.4202270507812,1326.4154999999998
3,1,4,466.36182,byplayer,1,6,18,1,1,96.44389,GG_Shrimzy,account.a1e308dc5e4a4eab8d0ccc893767bf4a,0,3216.2698,0,0.0,0,1328.125,0,1562.1547,4,3,192.88874435424805,GG,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,544c53ea-44d5-4986-aef5-450546e430c5,"['GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy', 'GG_DrasseL']",3,3,3,4935.395525,1342.1702100000002,727.4202270507812,1326.4154999999998
0,0,3,66.15889,byplayer,0,3,72,0,0,0.0,GG_Miccoy,account.dfc933fadc8b4238988c71db5c1af42a,0,2143.5322,0,0.0,0,1325.828,0,2435.7603,3,3,195.51726150512695,GG,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,544c53ea-44d5-4986-aef5-450546e430c5,"['GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy', 'GG_DrasseL']",3,3,3,4935.395525,1342.1702100000002,727.4202270507812,1326.4154999999998
1,0,4,425.50073,byzone,0,7,73,0,0,0.0,GG_DrasseL,account.e4620a490a0048c7b4cbd636edd25b47,0,3472.777,0,0.0,0,1323.581,0,1453.7228,5,3,227.036771774292,GG,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,544c53ea-44d5-4986-aef5-450546e430c5,"['GG_Vegas', 'GG_Shrimzy', 'GG_Miccoy', 'GG_DrasseL']",3,3,3,4935.395525,1342.1702100000002,727.4202270507812,1326.4154999999998
2,0,0,161.52852,alive,0,1,4,1,2,102.3356,TS_Meluke,account.4d6ee4b5a938462da8475d27e6648fa4,0,1405.5883,0,0.0,0,1377.282,0,1496.1346,5,1,72.0,TS,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,555a0f71-b25a-4ddd-8258-e0fe23ba2f82,"['TS_Meluke', 'TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah']",1,10,5,2723.0854249999998,1268.1596399999999,513.487398147583,1377.282
1,3,3,381.8205,alive,1,9,1,2,4,105.72291,TS_Sharpshot4k,account.c2a4e73a63264f37a6050c9345c83a66,1,1538.9823,0,0.0,0,1377.282,0,1413.8176,3,1,203.87125778198242,TS,deafbc32-740d-4c74-b704-8f682d6e63e8,2019-11-18T03:10:27Z,Sanhok,1377,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/03/34/600de717-09b4-11ea-bc7c-0a586469e7d8-telemetry.json,555a0f71-b25a-4ddd-8258-e0fe23ba2f82,"['TS_Meluke', 'TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah']",1,10,5,2723.0854249999998,1268.1596399999999,513.487398147583,1377.282
