dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,31.57,byplayer,0,0,81,0,0,0.0,TSM_mykLe,account.6a94ab85409d45658d2634da39c0f526,0,2110.1816,0,0,0,327.554,0,274.0632,4,8,78.43222045898438,TSM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,98668e7c-743c-486f-9253-4b5dcc074544,"['TSM_mykLe', 'TSM_rawryy', 'TSM_Gustav', 'TSM_Iroh']",8,2,5,5618.1142500000005,659.180758,942.1797294616699,878.3177499999999
0,1,3,24.053398,byplayer,0,1,79,0,0,0.0,TSM_rawryy,account.6017d51e985f4b37aab42d99e30b2033,0,6345.7104,0,0,0,1004.07,0,1250.805,2,8,181.46833038330078,TSM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,98668e7c-743c-486f-9253-4b5dcc074544,"['TSM_mykLe', 'TSM_rawryy', 'TSM_Gustav', 'TSM_Iroh']",8,2,5,5618.1142500000005,659.180758,942.1797294616699,878.3177499999999
0,1,1,172.53209,byplayer,0,1,80,0,0,0.0,TSM_Gustav,account.5efb30a2608144a089191bd092f412a5,0,3810.509,0,0,0,843.74,0,1120.108,4,8,180.5317668914795,TSM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,98668e7c-743c-486f-9253-4b5dcc074544,"['TSM_mykLe', 'TSM_rawryy', 'TSM_Gustav', 'TSM_Iroh']",8,2,5,5618.1142500000005,659.180758,942.1797294616699,878.3177499999999
3,3,6,431.02527,byplayer,0,8,11,1,2,127.84681,TSM_Iroh,account.794aa5d7b0b443949366b8c2bd3efe55,0,5214.156,0,0,0,1337.907,0,2346.9238,4,8,501.7474117279053,TSM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,98668e7c-743c-486f-9253-4b5dcc074544,"['TSM_mykLe', 'TSM_rawryy', 'TSM_Gustav', 'TSM_Iroh']",8,2,5,5618.1142500000005,659.180758,942.1797294616699,878.3177499999999
3,0,5,351.00888,byplayer,0,0,9,2,3,42.85967,4AM_ZGGO1,account.f5ca3f884d3c4615a67b09a2b9be9e5b,0,2373.2688,0,0,0,1040.542,0,1019.1808,2,14,131.83271980285645,4AM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,c045cd9a-9204-4998-b342-15a8b7fe8be5,"['4AM_ZGGO1', '4AM_Forever', '4AM_xxxLu', '4AM_We1less']",14,6,3,3058.4050325,627.77669,682.2797985076904,808.6857499999999
2,0,3,114.45604,byplayer,1,0,12,1,2,51.05282,4AM_Forever,account.2f037cf3f4704ee4950c2bdced546a52,0,2516.7122,0,0,0,827.117,0,951.67773,8,14,153.99742698669434,4AM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,c045cd9a-9204-4998-b342-15a8b7fe8be5,"['4AM_ZGGO1', '4AM_Forever', '4AM_xxxLu', '4AM_We1less']",14,6,3,3058.4050325,627.77669,682.2797985076904,808.6857499999999
0,0,0,0.0,byplayer,0,0,94,0,0,0.0,4AM_xxxLu,account.f361c99c437d40c1a361139cb46c0579,0,654.64,0,0,0,325.561,0,526.3115,4,14,99.9999942779541,4AM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,c045cd9a-9204-4998-b342-15a8b7fe8be5,"['4AM_ZGGO1', '4AM_Forever', '4AM_xxxLu', '4AM_We1less']",14,6,3,3058.4050325,627.77669,682.2797985076904,808.6857499999999
0,3,4,162.31177,suicide,0,2,27,1,1,3.2774367,4AM_We1less,account.f7150b1d502b42d88d88884b63d9a5d7,0,2955.5298,1,0,1,1041.523,0,1236.2993,5,14,296.44965744018555,4AM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,c045cd9a-9204-4998-b342-15a8b7fe8be5,"['4AM_ZGGO1', '4AM_Forever', '4AM_xxxLu', '4AM_We1less']",14,6,3,3058.4050325,627.77669,682.2797985076904,808.6857499999999
0,0,0,0.0,byplayer,0,0,75,0,0,0.0,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,1697.2578,0,0,0,213.757,0,112.149506,2,6,100.0,QM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,b3fa2b73-7d63-407a-b230-24083291bdad,"['QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng', 'QM_YIZz']",6,0,1,3405.9954515,416.232194,795.6053771972656,1031.5607499999999
0,0,2,87.33,byplayer,0,1,72,0,0,0.0,QM_L1gEEE,account.1774c398a1f4414798ca5bf4dc562d6c,0,2479.2302,0,0,0,1536.629,0,1564.0383,4,6,255.13970375061035,QM,e1f2fa9f-8416-415d-ab52-4b2e887895bd,2019-11-10T04:28:57Z,Miramar,1778,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/05/00/f479df0c-0376-11ea-adac-0a586469f39e-telemetry.json,b3fa2b73-7d63-407a-b230-24083291bdad,"['QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng', 'QM_YIZz']",6,0,1,3405.9954515,416.232194,795.6053771972656,1031.5607499999999
