dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,43.559998,byplayer,0,0,61,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,6472.542,0,0,0,1100,0,910.2464,4,15,119.99999809265137,GEN,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,a5f52e95-393a-44cb-9f98-88d813884f19,"['GEN_Esther', 'GEN_Inonix', 'GEN_Pio', 'GEN_Asura']",15,0,0,7615.25984,290.59475199999997,604.0690317153931,1101.5
0,0,4,51.169754,byplayer,0,0,60,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,6191.1133,0,0,0,1103,0,615.17596,4,15,99.99999713897705,GEN,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,a5f52e95-393a-44cb-9f98-88d813884f19,"['GEN_Esther', 'GEN_Inonix', 'GEN_Pio', 'GEN_Asura']",15,0,0,7615.25984,290.59475199999997,604.0690317153931,1101.5
0,0,3,86.8094,byplayer,0,1,62,0,0,0.0,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,7812.3506,0,0,0,1100,0,1231.5911,6,15,164.03220176696777,GEN,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,a5f52e95-393a-44cb-9f98-88d813884f19,"['GEN_Esther', 'GEN_Inonix', 'GEN_Pio', 'GEN_Asura']",15,0,0,7615.25984,290.59475199999997,604.0690317153931,1101.5
1,0,4,109.0556,byplayer,0,1,59,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,6592.9556,0,0,0,1103,0,635.0644,4,15,220.03683471679688,GEN,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,a5f52e95-393a-44cb-9f98-88d813884f19,"['GEN_Esther', 'GEN_Inonix', 'GEN_Pio', 'GEN_Asura']",15,0,0,7615.25984,290.59475199999997,604.0690317153931,1101.5
0,0,1,127.297104,byplayer,0,1,37,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,0,2720.5415,0,0,0,1512,0,1218.581,4,5,115.09397506713867,VP,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,1799b952-5372-43e4-abb4-954fdaaab8c1,"['VP_Lu', 'VP_BatulinS', 'VP_spyrro', 'VP_Perfect1ks']",5,1,0,3925.55835,789.190184,749.8669147491455,1525.75
0,0,4,78.64131,byplayer,0,2,35,0,0,0.0,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,2210.4995,0,0,0,1538,0,1425.0693,2,5,203.4898166656494,VP,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,1799b952-5372-43e4-abb4-954fdaaab8c1,"['VP_Lu', 'VP_BatulinS', 'VP_spyrro', 'VP_Perfect1ks']",5,1,0,3925.55835,789.190184,749.8669147491455,1525.75
0,0,4,322.03714,byplayer,0,2,17,1,1,230.2242,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,2360.8054,0,0,0,1538,0,1596.1893,4,5,130.55223846435547,VP,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,1799b952-5372-43e4-abb4-954fdaaab8c1,"['VP_Lu', 'VP_BatulinS', 'VP_spyrro', 'VP_Perfect1ks']",5,1,0,3925.55835,789.190184,749.8669147491455,1525.75
1,0,4,261.21463,byplayer,0,5,36,0,0,0.0,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,2217.3293,0,0,0,1515,0,1953.2181,4,5,300.73088455200195,VP,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,1799b952-5372-43e4-abb4-954fdaaab8c1,"['VP_Lu', 'VP_BatulinS', 'VP_spyrro', 'VP_Perfect1ks']",5,1,0,3925.55835,789.190184,749.8669147491455,1525.75
3,2,7,652.2998,byplayer,1,0,6,2,3,51.076157,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,5711.9307,0,0,0,1931,0,2072.7498,3,2,211.65863227844238,NH,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,b5c780fe-f2cb-4ddf-93d3-b164ee321e3b,"['NH_HSmm', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing']",2,9,6,8009.88315,1731.57514,784.7369408607483,1734.0
2,3,6,483.21524,byplayer,1,2,12,1,2,180.32257,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,5859.595,0,0,0,1895,0,1871.3871,6,2,245.44372510910034,NH,e2346fe3-0fc8-428d-bf02-840b1960b087,2021-11-30T12:09:47Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/12/43/2b181164-51db-11ec-9c21-16512f2173af-telemetry.json,b5c780fe-f2cb-4ddf-93d3-b164ee321e3b,"['NH_HSmm', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_MMing']",2,9,6,8009.88315,1731.57514,784.7369408607483,1734.0
