dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,3,120.811455,byplayer,0,0,65,0,0,0.0,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,0,8520.116,0,0,0,989,0,671.81177,4,16,81.00026893615723,GEN,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,795a3fe6-88ec-4667-806c-4c8b32d6064d,"['GEN_Asura', 'GEN_Adder', 'GEN_Inonix', 'GEN_Renba']",16,3,1,9280.2275725,747.230133,569.4052095413208,979.75
0,1,0,52.090168,byplayer,0,0,66,0,0,0.0,GEN_Adder,account.e62939f355d84da3a1942490dea87391,0,8632.925,0,0,0,962,0,520.77496,3,16,74.0,GEN,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,795a3fe6-88ec-4667-806c-4c8b32d6064d,"['GEN_Asura', 'GEN_Adder', 'GEN_Inonix', 'GEN_Renba']",16,3,1,9280.2275725,747.230133,569.4052095413208,979.75
3,0,2,362.56412,byplayer,0,2,14,2,2,43.541744,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,9545.838,0,0,0,989,0,905.56366,4,16,179.43089389801025,GEN,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,795a3fe6-88ec-4667-806c-4c8b32d6064d,"['GEN_Asura', 'GEN_Adder', 'GEN_Inonix', 'GEN_Renba']",16,3,1,9280.2275725,747.230133,569.4052095413208,979.75
1,0,3,211.76439,byplayer,0,3,34,1,1,2.9646616,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,7664.504,0,0,0,979,0,659.3769,7,16,234.97404670715332,GEN,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,795a3fe6-88ec-4667-806c-4c8b32d6064d,"['GEN_Asura', 'GEN_Adder', 'GEN_Inonix', 'GEN_Renba']",16,3,1,9280.2275725,747.230133,569.4052095413208,979.75
1,1,2,251.18466,byplayer,0,1,30,1,1,17.524633,WC_nicoos,account.385216b5ffe54340951c5a9bebd532e4,3,5722.9014,0,0,0,1244,0,1022.65533,6,11,151.660005569458,WC,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,10af9076-87e8-4a77-a85d-882e590c02ed,"['WC_nicoos', 'WC_GregShotGG', 'WC_Adam', 'WC_Ykikamucow']",11,4,3,6545.293632499999,696.56059,875.5420589447021,1212.5
1,1,4,107.18458,byplayer,2,3,13,2,2,9.775391,WC_GregShotGG,account.7de92369fe4f4f24874d719a4bf6895d,0,6553.351,0,0,0,1092,0,1286.7827,5,11,224.47998428344727,WC,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,10af9076-87e8-4a77-a85d-882e590c02ed,"['WC_nicoos', 'WC_GregShotGG', 'WC_Adam', 'WC_Ykikamucow']",11,4,3,6545.293632499999,696.56059,875.5420589447021,1212.5
0,0,2,95.29906,byplayer,0,3,51,0,0,0.0,WC_Adam,account.6d861d09565241f5b2f4eda11744468d,0,4752.3066,0,0,0,1257,0,1014.6055,5,11,276.4020709991455,WC,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,10af9076-87e8-4a77-a85d-882e590c02ed,"['WC_nicoos', 'WC_GregShotGG', 'WC_Adam', 'WC_Ykikamucow']",11,4,3,6545.293632499999,696.56059,875.5420589447021,1212.5
1,1,4,242.89229,byplayer,0,1,29,1,1,22.984686,WC_Ykikamucow,account.257ebd9a9e044d75a4bdaf6ef7334d68,0,4408.6626,0,0,0,1257,0,1419.9094,4,11,222.99999809265137,WC,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,10af9076-87e8-4a77-a85d-882e590c02ed,"['WC_nicoos', 'WC_GregShotGG', 'WC_Adam', 'WC_Ykikamucow']",11,4,3,6545.293632499999,696.56059,875.5420589447021,1212.5
1,2,2,222.25073,byplayer,0,1,6,1,3,141.53517,PP_KnorkiS,account.4f733cb2c08f46f09d6e8df657d981af,0,4184.089,0,0,0,1463,0,1606.2701,8,7,88.0,PP,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,e56a3ded-bf81-4e16-88cf-593b450e7c0b,"['PP_KnorkiS', 'PP_Krunio', 'PP_Marcelek', 'PP_K4pii']",7,6,5,5458.899975,878.6372700000001,602.741060256958,1463.0
2,0,2,223.6211,byplayer,0,2,25,1,1,208.90564,PP_Krunio,account.8f7ee84367044b0c94af1caf8cd621e1,1,3176.7073,0,0,0,1463,0,1505.2312,3,7,207.4041919708252,PP,e37637dc-e830-436c-aa1f-0f0b1634c5dc,2022-11-06T12:58:14Z,Miramar,1762,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/13/29/10065360-5dd7-11ed-a4c3-16512f2173af-telemetry.json,e56a3ded-bf81-4e16-88cf-593b450e7c0b,"['PP_KnorkiS', 'PP_Krunio', 'PP_Marcelek', 'PP_K4pii']",7,6,5,5458.899975,878.6372700000001,602.741060256958,1463.0
