dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,5,305.02582,byzone,0,3,7,1,3,116.90303,BBL_Quetpa,account.2a0e08b9ccc648e1807fd6a5d86eeff4,0,7040.1255,0,0,0,1323,0,1544.1455,7,2,321.05504608154297,BBL,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,e7a733f4-126d-45f7-b9ed-0b58786f59ae,"['BBL_Quetpa', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Thenderlost']",2,11,2,8479.238575,2140.33268,1663.8839092254639,1635.75
3,0,6,550.7392,byplayer,1,3,2,2,4,96.41876,BBL_Smash,account.5bb7f810cda845ca9e1954822bd7180d,1,6005.8613,0,0,0,1740,0,2051.224,5,2,324.5612735748291,BBL,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,e7a733f4-126d-45f7-b9ed-0b58786f59ae,"['BBL_Quetpa', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Thenderlost']",2,11,2,8479.238575,2140.33268,1663.8839092254639,1635.75
3,0,5,680.14386,byplayer,1,5,6,2,3,38.46563,BBL_CodeMarco,account.b453a89678f34317ae55a50694dd77e0,0,6457.0654,0,0,0,1740,0,2494.2866,4,2,506.4961338043213,BBL,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,e7a733f4-126d-45f7-b9ed-0b58786f59ae,"['BBL_Quetpa', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Thenderlost']",2,11,2,8479.238575,2140.33268,1663.8839092254639,1635.75
3,1,9,604.4238,byplayer,1,10,17,1,1,33.41262,BBL_Thenderlost,account.0c88b10551c14f3fad02786af1ab8cc2,2,6391.995,0,0,0,1740,0,1932.251,4,2,511.7714557647705,BBL,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,e7a733f4-126d-45f7-b9ed-0b58786f59ae,"['BBL_Quetpa', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Thenderlost']",2,11,2,8479.238575,2140.33268,1663.8839092254639,1635.75
2,0,5,93.57148,byplayer,1,1,14,1,2,68.14424,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,5201.338,0,0,0,1119,0,1293.5365,6,11,186.03462982177734,GEN,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,aed51170-f97f-490d-9841-c7e38ea18359,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,3,4948.336077,341.46022,627.6705055236816,869.5
1,2,6,168.55374,byplayer,0,1,28,1,1,31.249079,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,3566.8306,0,0,0,1114,0,1982.3846,4,11,191.20587539672852,GEN,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,aed51170-f97f-490d-9841-c7e38ea18359,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,3,4948.336077,341.46022,627.6705055236816,869.5
0,1,2,79.335,byplayer,0,1,49,0,0,0.0,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,0,6281.0776,0,0,0,1119,0,1463.3811,4,11,150.43000030517578,GEN,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,aed51170-f97f-490d-9841-c7e38ea18359,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,3,4948.336077,341.46022,627.6705055236816,869.5
0,0,0,0.0,byplayer,0,0,50,0,0,0.0,GEN_Adder,account.e62939f355d84da3a1942490dea87391,0,0.0,0,0,0,126,0,4.795908,0,11,100.0,GEN,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,aed51170-f97f-490d-9841-c7e38ea18359,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,3,4948.336077,341.46022,627.6705055236816,869.5
1,0,3,86.0,byplayer,1,1,31,1,1,71.47593,BRU_Noardra,account.d7805acf80134611ac087fde5e0ef964,0,9023.255,0,0,0,829,0,617.7928,3,13,154.48549842834473,BRU,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,7f5fc25e-7713-4825-8f78-988550d1536a,"['BRU_Noardra', 'BRU_Eaddy', 'BRU_Conaxy', 'BRU_GodMiao']",13,1,0,10090.0013625,281.786975,510.12244606018066,956.25
0,0,2,65.221245,byplayer,0,0,53,0,0,0.0,BRU_Eaddy,account.b62c18befb2d4a049314bbfd84608c44,0,9949.507,0,0,0,1016,0,963.3708,5,13,100.0,BRU,e7788606-ab63-4917-8915-31b727ff2886,2022-11-07T13:35:43Z,Erangel (Remastered),1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/14/06/66d1e9c9-5ea5-11ed-a4c3-16512f2173af-telemetry.json,7f5fc25e-7713-4825-8f78-988550d1536a,"['BRU_Noardra', 'BRU_Eaddy', 'BRU_Conaxy', 'BRU_GodMiao']",13,1,0,10090.0013625,281.786975,510.12244606018066,956.25
