dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,0,8,607.04083,byplayer,0,18,7,2,3,85.33151,FaZe_Gustav,account.f2c6d47dea894ca38e85274e14aa1b37,0,6242.9824,0,0,1,1749,0,1467.3989,4,3,548.917142868042,FaZe,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,77f08584-c3d0-4c07-81b9-adc5dd0ac36e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",3,10,7,6431.259674999999,1517.55502,1144.5062198638916,1509.5
1,5,3,367.43195,byplayer,1,1,10,1,2,91.53285,FaZe_Fuzzface,account.da28ef29a86842699f10e246fb7b78de,0,4927.014,0,0,0,1398,0,1411.8629,6,3,223.51839447021484,FaZe,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,77f08584-c3d0-4c07-81b9-adc5dd0ac36e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",3,10,7,6431.259674999999,1517.55502,1144.5062198638916,1509.5
2,1,4,339.83746,byzone,2,0,3,3,4,156.57814,FaZe_Aitzy,account.949745190ab045f38bea9bde565387ec,0,4489.0166,0,0,0,1489,0,2136.9045,4,3,47.69895362854004,FaZe,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,77f08584-c3d0-4c07-81b9-adc5dd0ac36e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",3,10,7,6431.259674999999,1517.55502,1144.5062198638916,1509.5
1,1,3,203.24478,byplayer,0,6,19,1,1,42.9991,FaZe_Fexx,account.89dfdfdc419a498c814a95565366eb32,1,3359.5015,0,0,0,1402,0,1690.3579,5,3,324.3717288970947,FaZe,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,77f08584-c3d0-4c07-81b9-adc5dd0ac36e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",3,10,7,6431.259674999999,1517.55502,1144.5062198638916,1509.5
1,1,3,270.2835,byplayer,0,8,18,1,1,29.016548,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,4562.2173,0,0,0,1752,0,1987.0061,4,2,221.0397548675537,NAVI,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,8e1b2d08-f18c-4552-aae0-27968d289abe,"['NAVI_Qwizzy', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman']",2,9,4,5741.4545,1828.52319,933.2666053771973,1774.25
3,0,2,470.0178,byplayer,2,0,6,2,3,204.13698,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,4165.795,0,0,0,1765,0,1498.9698,3,2,128.7028102874756,NAVI,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,8e1b2d08-f18c-4552-aae0-27968d289abe,"['NAVI_Qwizzy', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman']",2,9,4,5741.4545,1828.52319,933.2666053771973,1774.25
2,1,3,431.64615,byplayer,0,7,17,1,1,30.504135,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,4278.1724,0,0,0,1780,0,1177.1003,3,2,233.40528869628906,NAVI,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,8e1b2d08-f18c-4552-aae0-27968d289abe,"['NAVI_Qwizzy', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman']",2,9,4,5741.4545,1828.52319,933.2666053771973,1774.25
3,2,3,656.57574,byplayer,1,4,2,2,4,253.98344,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,4395.1357,0,0,0,1800,2,901.4214,4,2,350.1187515258789,NAVI,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,8e1b2d08-f18c-4552-aae0-27968d289abe,"['NAVI_Qwizzy', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman']",2,9,4,5741.4545,1828.52319,933.2666053771973,1774.25
0,0,0,0.0,byplayer,0,0,51,0,0,0.0,BN_Zest,account.e742583d9046460580cf393d30c8b49b,0,5.1687016,0,0,0,93,0,37.33383,0,12,100.0,BN,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,2930ab03-3f46-46ef-ac24-9a50178afe7f,"['BN_Zest', 'BN_SimonT', 'BN_YoungBii', 'BN_DrLoji']",12,3,1,4498.6442579,313.686186,486.8525333404541,921.75
0,0,0,57.465946,byplayer,0,0,50,0,0,0.0,BN_SimonT,account.9181ee8d1ab44fb6906aecf61fb4a550,0,4777.932,0,0,0,1178,0,1113.3743,7,12,100.0,BN,e843f52f-14eb-4233-a03c-391be70d7c64,2021-11-24T12:44:06Z,Erangel (Remastered),1800,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/13/15/a99b555d-4d28-11ec-9c21-16512f2173af-telemetry.json,2930ab03-3f46-46ef-ac24-9a50178afe7f,"['BN_Zest', 'BN_SimonT', 'BN_YoungBii', 'BN_DrLoji']",12,3,1,4498.6442579,313.686186,486.8525333404541,921.75
