dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,38.61,byplayer,0,0,44,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,0,4124.5605,0,0.0,0,654,0,448.04468,2,7,100.0,TL,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,04ed6917-4bb5-44ef-877d-a40c17c8578d,"['TL_ibiza', 'TL_mxey', 'TL_jeemzz', 'TL_clib']",7,2,0,4415.23861,512.2321,622.8154907226562,854.75
2,0,8,320.8221,byplayer,0,4,24,1,1,76.16176,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,2901.3796,0,550.2837,0,1435,0,1340.8885,5,7,295.0536689758301,TL,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,04ed6917-4bb5-44ef-877d-a40c17c8578d,"['TL_ibiza', 'TL_mxey', 'TL_jeemzz', 'TL_clib']",7,2,0,4415.23861,512.2321,622.8154907226562,854.75
1,0,2,100.0,byplayer,0,0,25,1,1,271.1776,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,3471.4585,0,0.0,0,665,0,346.85016,3,7,127.76182174682617,TL,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,04ed6917-4bb5-44ef-877d-a40c17c8578d,"['TL_ibiza', 'TL_mxey', 'TL_jeemzz', 'TL_clib']",7,2,0,4415.23861,512.2321,622.8154907226562,854.75
0,0,0,52.8,byplayer,0,0,43,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,3914.8516,0,0.0,0,665,0,562.6372,6,7,100.0,TL,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,04ed6917-4bb5-44ef-877d-a40c17c8578d,"['TL_ibiza', 'TL_mxey', 'TL_jeemzz', 'TL_clib']",7,2,0,4415.23861,512.2321,622.8154907226562,854.75
0,0,0,19.800001,byplayer,0,0,36,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,39.249714,0,0.0,0,94,0,15.323609,0,4,85.19625091552734,SSG,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,85608f74-7582-4573-8425-7ce5bca9f5eb,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",4,3,2,4661.153716125,689.810501,698.1526432037354,925.25
0,1,0,0.0,byplayer,0,0,37,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,53.95837,0,0.0,0,91,0,7.5207715,0,4,100.0,SSG,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,85608f74-7582-4573-8425-7ce5bca9f5eb,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",4,3,2,4661.153716125,689.810501,698.1526432037354,925.25
1,1,6,402.4748,byplayer,0,14,22,1,1,61.72862,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,7375.7607,0,0.0,0,1758,0,1648.5259,8,4,322.1252727508545,SSG,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,85608f74-7582-4573-8425-7ce5bca9f5eb,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",4,3,2,4661.153716125,689.810501,698.1526432037354,925.25
2,0,4,267.5357,byplayer,1,20,7,1,2,107.567665,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,7587.767,0,0.0,0,1758,0,1916.5088,5,4,190.83111953735352,SSG,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,85608f74-7582-4573-8425-7ce5bca9f5eb,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",4,3,2,4661.153716125,689.810501,698.1526432037354,925.25
1,3,3,106.39137,byplayer,0,2,42,0,0,0.0,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,0,1749.726,0,0.0,0,1367,0,848.2874,5,6,191.37248039245605,HERO,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,a6145017-a040-433d-a618-b565c2eb8ca8,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",6,5,4,3449.259875,792.178146,675.4113578796387,1403.0
1,1,2,95.954346,byzone,0,1,23,1,1,119.248566,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,1929.8136,0,0.0,0,1355,0,1602.103,3,6,133.66933059692383,HERO,e9f9b25b-4587-4f8c-9926-2ab28115f0c0,2021-12-17T11:33:38Z,Erangel (Remastered),1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/05/aca632c3-5f31-11ec-9c21-16512f2173af-telemetry.json,a6145017-a040-433d-a618-b565c2eb8ca8,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",6,5,4,3449.259875,792.178146,675.4113578796387,1403.0
