dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
5,2,7,1084.6414,byplayer,0,7,4,2,3,66.89731,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,1,3073.2556,0,0,0,1654,2,2110.9119,7,3,518.4001598358154,TL,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,3cd0783c-87ad-4932-91d3-55a74506c367,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",3,3,4,4485.177275,1551.8752709999999,1290.2584161758423,1310.5
0,0,0,50.351326,byplayer,0,0,37,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,0,2590.5308,0,0,0,1069,0,1389.2646,3,3,100.00000190734863,TL,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,3cd0783c-87ad-4932-91d3-55a74506c367,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",3,3,4,4485.177275,1551.8752709999999,1290.2584161758423,1310.5
2,2,9,380.55783,byplayer,0,6,36,0,0,0.0,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,3324.257,0,0,0,1654,0,1334.779,4,3,497.3824281692505,TL,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,3cd0783c-87ad-4932-91d3-55a74506c367,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",3,3,4,4485.177275,1551.8752709999999,1290.2584161758423,1310.5
0,0,2,36.324715,byplayer,0,1,38,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,3362.963,0,0,0,865,0,754.7472,6,3,174.47582626342773,TL,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,3cd0783c-87ad-4932-91d3-55a74506c367,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",3,3,4,4485.177275,1551.8752709999999,1290.2584161758423,1310.5
1,1,3,116.107086,byplayer,0,0,26,1,1,147.49234,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,8415.481,0,0,0,1294,0,931.3773,6,12,127.89609336853027,HERO,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,ce986d27-4cc5-4e85-a613-a5fe382520bd,"['HERO_PaG3', 'HERO_Beami', 'HERO_curexi', 'HERO_TeaBone']",12,2,1,9654.172859999999,373.93452599999995,632.4573249816895,1205.75
1,0,5,138.69972,byplayer,0,4,27,1,1,48.556465,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,0,8621.27,0,0,0,1292,0,715.83344,5,12,295.229549407959,HERO,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,ce986d27-4cc5-4e85-a613-a5fe382520bd,"['HERO_PaG3', 'HERO_Beami', 'HERO_curexi', 'HERO_TeaBone']",12,2,1,9654.172859999999,373.93452599999995,632.4573249816895,1205.75
0,0,1,40.59,byplayer,0,0,53,0,0,0.0,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,8299.736,0,0,0,1294,0,902.75024,5,12,99.99999618530273,HERO,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,ce986d27-4cc5-4e85-a613-a5fe382520bd,"['HERO_PaG3', 'HERO_Beami', 'HERO_curexi', 'HERO_TeaBone']",12,2,1,9654.172859999999,373.93452599999995,632.4573249816895,1205.75
0,0,1,78.53772,byplayer,0,1,54,0,0,0.0,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,10037.242,0,0,0,943,0,693.00146,4,12,109.33168601989746,HERO,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,ce986d27-4cc5-4e85-a613-a5fe382520bd,"['HERO_PaG3', 'HERO_Beami', 'HERO_curexi', 'HERO_TeaBone']",12,2,1,9654.172859999999,373.93452599999995,632.4573249816895,1205.75
0,0,2,0.0,byplayer,0,0,49,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,6148.9194,0,0,0,649,0,493.66263,4,10,99.00735282897949,FURY,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,61fdf835-96a9-471d-9168-ae318a81a54e,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow', 'FURY_Ronon']",10,1,1,8677.2876175,643.90395,729.0693664550781,1003.5
1,0,6,430.8619,byplayer,1,4,23,1,1,67.92875,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,8756.968,0,0,0,1408,0,1178.8438,3,10,331.15583992004395,FURY,eafd0646-91e0-4db9-8aef-c68d4d25f330,2021-12-18T11:29:19Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/12/00/23ba07e0-5ffa-11ec-9c21-16512f2173af-telemetry.json,61fdf835-96a9-471d-9168-ae318a81a54e,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow', 'FURY_Ronon']",10,1,1,8677.2876175,643.90395,729.0693664550781,1003.5
