dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,170.19003,byzone,0,5,21,1,1,66.395676,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,0,5717.4355,0,0,0,1530,0,1581.8192,4,2,224.0998764038086,EIQ,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,a782602a-de99-4ba5-8b93-505262b4ecf3,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas', 'EIQ_Naylup']",2,8,2,7906.050475,1145.96593,849.8962478637695,1639.5
2,1,8,459.31085,byplayer,1,8,8,1,2,81.203285,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,6797.761,0,0,0,1701,1,1472.0444,5,2,222.49658203125,EIQ,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,a782602a-de99-4ba5-8b93-505262b4ecf3,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas', 'EIQ_Naylup']",2,8,2,7906.050475,1145.96593,849.8962478637695,1639.5
0,1,4,75.94631,byplayer,0,4,4,1,3,265.06442,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,0,7002.373,0,0,0,1656,0,2066.0059,4,2,164.33864784240723,EIQ,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,a782602a-de99-4ba5-8b93-505262b4ecf3,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas', 'EIQ_Naylup']",2,8,2,7906.050475,1145.96593,849.8962478637695,1639.5
2,0,5,440.51874,byplayer,0,7,9,1,2,39.430202,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,1,5597.7954,0,0,0,1671,0,1388.9675,3,2,238.9611415863037,EIQ,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,a782602a-de99-4ba5-8b93-505262b4ecf3,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_ivas', 'EIQ_Naylup']",2,8,2,7906.050475,1145.96593,849.8962478637695,1639.5
3,0,3,305.20874,byplayer,0,1,7,1,3,157.44568,USG_Corn,account.c8b1f8be0fad4aadb03b6ae7e20a58ce,0,3141.5935,0,0,0,1392,0,1312.0763,6,10,166.9600067138672,USG,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,7563b979-d6d6-4561-a17d-8fe4948c7c52,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",10,6,4,4511.887575,1066.20146,623.940092086792,1394.25
2,2,8,390.5708,byplayer,0,1,28,1,1,351.31714,USG_Americano,account.7ced379563e4416296263e56bc99899f,0,4267.68,0,0,0,1395,0,1231.7054,8,10,144.87466430664062,USG,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,7563b979-d6d6-4561-a17d-8fe4948c7c52,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",10,6,4,4511.887575,1066.20146,623.940092086792,1394.25
0,1,7,188.72256,byplayer,0,1,50,0,0,0.0,USG_SHEVA,account.d527b022d997497c98b6b98097d825be,0,3571.309,0,0,0,1395,0,1503.1958,5,10,162.657865524292,USG,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,7563b979-d6d6-4561-a17d-8fe4948c7c52,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",10,6,4,4511.887575,1066.20146,623.940092086792,1394.25
3,1,3,181.69936,byplayer,1,3,16,1,2,384.33228,USG_Kein,account.a1f20202f5ba4ac2b12edc50fb50a471,0,1360.6853,0,0,0,1395,0,1659.305,5,10,149.4475555419922,USG,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,7563b979-d6d6-4561-a17d-8fe4948c7c52,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",10,6,4,4511.887575,1066.20146,623.940092086792,1394.25
0,0,4,140.35246,byplayer,0,1,44,0,0,0.0,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,3368.328,0,0,0,1516,0,1550.1544,5,7,190.80588722229004,GEN,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,aa8f56a6-a2a1-4ac8-b58e-282440c07bb8,"['GEN_Renba', 'GEN_Asura', 'GEN_Inonix', 'GEN_Adder']",7,4,1,5001.92095,726.3995600000001,879.8668022155762,1519.5
2,0,0,231.77989,byplayer,0,2,26,1,1,17.256569,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,0,2464.703,0,0,0,1522,1,1769.145,5,7,221.64877128601074,GEN,eb74b529-bff4-4ed1-9c88-a73ec73baf2e,2022-11-11T13:02:14Z,Miramar,1701,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/13/32/4cab15e0-61c5-11ed-a4c3-16512f2173af-telemetry.json,aa8f56a6-a2a1-4ac8-b58e-282440c07bb8,"['GEN_Renba', 'GEN_Asura', 'GEN_Inonix', 'GEN_Adder']",7,4,1,5001.92095,726.3995600000001,879.8668022155762,1519.5
