dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,4,657.86694,byplayer,0,3,5,1,3,69.81666,SQ_TGLTN,account.7fe830c5a2b746e7a78d980edad48fb4,0,3064.493,0,0.0,0,1864,1,1158.8854,7,4,219.77787017822266,SQ,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,b28944b2-38ef-473e-9b86-562a0d90201c,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_M1ME']",4,4,1,4077.302925,942.01622,1083.7931499481201,1538.25
1,0,5,125.12561,byplayer,0,6,17,1,1,4.0688195,SQ_hwinn,account.4a0b2eef48da4e6cb9ad99b44bac8868,0,3952.0952,0,0.0,0,1864,0,1027.6981,4,4,389.9516544342041,SQ,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,b28944b2-38ef-473e-9b86-562a0d90201c,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_M1ME']",4,4,1,4077.302925,942.01622,1083.7931499481201,1538.25
0,0,3,159.02367,byplayer,0,4,44,0,0,0.0,SQ_Shrimzy,account.e5440048b94144b29288636eaab6ba50,1,3157.15,0,0.0,0,1864,0,1140.5171,5,4,374.06362533569336,SQ,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,b28944b2-38ef-473e-9b86-562a0d90201c,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_M1ME']",4,4,1,4077.302925,942.01622,1083.7931499481201,1538.25
0,0,0,0.0,byplayer,0,0,45,0,0,0.0,SQ_M1ME,account.32fb8fec620d42cfb6f877837ecd829a,0,2275.7969,0,0.0,0,561,0,532.576,4,4,100.0,SQ,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,b28944b2-38ef-473e-9b86-562a0d90201c,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_M1ME']",4,4,1,4077.302925,942.01622,1083.7931499481201,1538.25
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,BRU_Conaxy,account.946011e735d34166991fd2be2f148387,0,1587.3347,0,0.0,0,551,0,589.0938,5,15,100.00000190734863,BRU,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,25ce421e-905d-4d8e-a32d-7b405cdb549e,"['BRU_Conaxy', 'BRU_Eaddy', 'BRU_Che4kz1nG', 'BRU_Noardra']",15,3,2,2427.3523175,426.17373599999996,500.2480640411377,573.5
0,1,0,85.668396,byplayer,0,0,65,0,0,0.0,BRU_Eaddy,account.b62c18befb2d4a049314bbfd84608c44,0,1537.5931,0,0.0,0,517,0,467.62457,3,15,100.00000190734863,BRU,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,25ce421e-905d-4d8e-a32d-7b405cdb549e,"['BRU_Conaxy', 'BRU_Eaddy', 'BRU_Che4kz1nG', 'BRU_Noardra']",15,3,2,2427.3523175,426.17373599999996,500.2480640411377,573.5
1,1,5,124.69063,byplayer,0,9,32,1,1,18.188238,BRU_Che4kz1nG,account.679ae92691834514ae8a3f01d4eb9f38,0,2587.4512,0,0.0,0,681,0,561.0685,5,15,163.46669578552246,BRU,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,25ce421e-905d-4d8e-a32d-7b405cdb549e,"['BRU_Conaxy', 'BRU_Eaddy', 'BRU_Che4kz1nG', 'BRU_Noardra']",15,3,2,2427.3523175,426.17373599999996,500.2480640411377,573.5
1,0,0,215.81471,byplayer,1,1,13,1,2,44.541603,BRU_Noardra,account.d7805acf80134611ac087fde5e0ef964,0,1440.1919,0,0.0,0,545,1,939.0515,5,15,136.78136444091797,BRU,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,25ce421e-905d-4d8e-a32d-7b405cdb549e,"['BRU_Conaxy', 'BRU_Eaddy', 'BRU_Che4kz1nG', 'BRU_Noardra']",15,3,2,2427.3523175,426.17373599999996,500.2480640411377,573.5
0,0,0,0.0,byplayer,0,0,40,0,0,0.0,Tian_9,account.1987c77d92864be3ac05917ca17f5283,0,3219.0874,0,0.0,0,406,0,495.99875,4,2,99.99999618530273,Tian,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,a4a31873-e7ce-4333-92ef-3c9fd4619b64,"['Tian_9', 'Tian_Tang', 'Tian_Cui71', 'Tian_77']",2,1,0,5173.7152375000005,1017.64344,830.958646774292,1483.0
1,0,0,251.72774,byplayer,0,1,38,0,0,0.0,Tian_Tang,account.4af4017877f241f09e0041e78725406f,0,4954.882,0,0.0,0,1900,0,862.9171,5,2,151.18965530395508,Tian,ebda0e52-f44b-409f-9e1e-96efd0dfa742,2022-11-11T16:01:47Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/16/35/d795b8c0-61de-11ed-a4c3-16512f2173af-telemetry.json,a4a31873-e7ce-4333-92ef-3c9fd4619b64,"['Tian_9', 'Tian_Tang', 'Tian_Cui71', 'Tian_77']",2,1,0,5173.7152375000005,1017.64344,830.958646774292,1483.0
