dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,0,170.21407,alive,0,0,33,0,0,0.0,KX_Lanren,account.03f9c9ef7bee42169b07f8ef609fd43e,0,5546.893,0,0.0,0,667,0,821.197,3,1,100.0,KX,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,d3dbaa98-831e-4047-9484-3d94b2f6334d,"['KX_Lanren', 'KX_Cobra', 'KX_YUPPIE', 'KX_Yuren']",1,3,1,5506.96317225,431.65137,395.0399913787842,886.0
0,0,2,0.0,alive,0,1,34,0,0,0.0,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,3243.6028,0,6.501229,0,644,0,1276.6539,4,1,132.99999809265137,KX,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,d3dbaa98-831e-4047-9484-3d94b2f6334d,"['KX_Lanren', 'KX_Cobra', 'KX_YUPPIE', 'KX_Yuren']",1,3,1,5506.96317225,431.65137,395.0399913787842,886.0
2,0,1,261.4373,alive,1,0,4,3,3,45.267345,KX_YUPPIE,account.3dee89947aec409a9854988043fee975,0,6251.582,0,0.0,0,1631,0,979.6252,6,1,62.03999710083008,KX,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,d3dbaa98-831e-4047-9484-3d94b2f6334d,"['KX_Lanren', 'KX_Cobra', 'KX_YUPPIE', 'KX_Yuren']",1,3,1,5506.96317225,431.65137,395.0399913787842,886.0
0,0,1,0.0,alive,0,0,35,0,0,0.0,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,3329.748,0,0.0,0,602,0,572.04956,4,1,99.99999618530273,KX,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,d3dbaa98-831e-4047-9484-3d94b2f6334d,"['KX_Lanren', 'KX_Cobra', 'KX_YUPPIE', 'KX_Yuren']",1,3,1,5506.96317225,431.65137,395.0399913787842,886.0
2,3,4,273.3805,byplayer,0,3,39,0,0,0.0,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,2,7924.279,0,0.0,0,1454,0,1168.485,6,6,271.55689239501953,SQ,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,a92e382b-902d-4744-8c9c-58904c401379,"['SQ_M1ME', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy']",6,7,6,8316.270925,1294.71037,991.5488529205322,1469.0
3,1,6,267.33887,byplayer,1,0,10,1,2,93.49135,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,1,5139.668,0,0.0,0,1474,0,1650.5491,4,6,149.8658790588379,SQ,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,a92e382b-902d-4744-8c9c-58904c401379,"['SQ_M1ME', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy']",6,7,6,8316.270925,1294.71037,991.5488529205322,1469.0
1,0,5,201.9978,byplayer,0,2,11,1,2,208.80087,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,7064.149,0,0.0,0,1474,0,1562.5878,4,6,273.6187267303467,SQ,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,a92e382b-902d-4744-8c9c-58904c401379,"['SQ_M1ME', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy']",6,7,6,8316.270925,1294.71037,991.5488529205322,1469.0
2,2,4,551.9932,byplayer,2,11,6,1,3,219.37418,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,7483.451,0,0.0,0,1474,0,1271.9148,4,6,296.5073547363281,SQ,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,a92e382b-902d-4744-8c9c-58904c401379,"['SQ_M1ME', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_Shrimzy']",6,7,6,8316.270925,1294.71037,991.5488529205322,1469.0
0,0,5,20.191427,byplayer,0,4,51,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,0,10612.725,0,0.0,0,1298,0,760.28796,4,11,330.29836654663086,OATH,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,9517efdf-84a9-4581-a5b0-278287b889b1,"['OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost', 'OATH_Kickstart']",11,4,0,11497.6401525,886.280227,959.6008920669556,1310.0
1,0,3,463.16235,byplayer,0,2,12,2,2,43.5893,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,10343.456,0,0.0,0,1314,1,961.34735,4,11,209.8817901611328,OATH,eda639f3-1962-46cf-8c4b-58d4778e4139,2021-12-06T13:47:18Z,Erangel (Remastered),1631,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/14/16/168b0498-569f-11ec-9c21-16512f2173af-telemetry.json,9517efdf-84a9-4581-a5b0-278287b889b1,"['OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost', 'OATH_Kickstart']",11,4,0,11497.6401525,886.280227,959.6008920669556,1310.0
