dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,5,152.85956,byplayer,0,3,21,1,1,31.853226,QM_HoBBitEz,account.4fbd5a8236b54beaab4fc9f606260965,1,4227.2236,0,0,0,1408,0,1247.1036,3,7,296.3115940093994,QM,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,94b3b83c-37c1-4419-8385-912d312ae7f0,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E']",7,2,1,4977.5531,1150.4689899999998,1010.7115449905396,1333.5
1,0,5,435.44424,byplayer,0,5,22,1,1,177.47807,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,4387.286,0,0,0,1358,0,1073.4758,6,7,282.3125867843628,QM,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,94b3b83c-37c1-4419-8385-912d312ae7f0,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E']",7,2,1,4977.5531,1150.4689899999998,1010.7115449905396,1333.5
0,0,2,33.39139,byplayer,0,3,43,0,0,0.0,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,4058.6917,0,0,0,1160,0,606.1765,4,7,176.07448387145996,QM,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,94b3b83c-37c1-4419-8385-912d312ae7f0,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E']",7,2,1,4977.5531,1150.4689899999998,1010.7115449905396,1333.5
3,1,7,528.7738,byplayer,0,2,42,0,0,0.0,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,0,2879.3774,0,0,0,1408,0,1430.8778,3,7,256.0128803253174,QM,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,94b3b83c-37c1-4419-8385-912d312ae7f0,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_DaNte', 'QM_ADOUZ1E']",7,2,1,4977.5531,1150.4689899999998,1010.7115449905396,1333.5
3,3,7,438.96936,alive,0,3,17,1,1,49.599796,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,3213.8125,0,0,0,1787,1,1060.7407,5,1,268.3984422683716,17,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,1af0ec39-89cd-402b-b172-a9a241289795,"['17_xwudd', '17_SuJiu', '17_Lilghost', '17_shou']",1,11,6,4108.1376,1873.75086,1367.316900253296,1696.75
1,3,11,373.4423,alive,1,5,8,1,2,38.788475,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,2621.2747,0,0,0,1787,0,1536.9515,5,1,335.13098430633545,17,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,1af0ec39-89cd-402b-b172-a9a241289795,"['17_xwudd', '17_SuJiu', '17_Lilghost', '17_shou']",1,11,6,4108.1376,1873.75086,1367.316900253296,1696.75
5,0,10,758.1571,alive,3,7,1,2,8,197.45233,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,1,2614.874,0,0,0,1787,1,1394.8423,4,1,459.2846488952637,17,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,1af0ec39-89cd-402b-b172-a9a241289795,"['17_xwudd', '17_SuJiu', '17_Lilghost', '17_shou']",1,11,6,4108.1376,1873.75086,1367.316900253296,1696.75
0,0,9,303.1821,alive,0,2,34,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,2805.7368,0,0,0,1426,0,1184.3179,3,1,304.5028247833252,17,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,1af0ec39-89cd-402b-b172-a9a241289795,"['17_xwudd', '17_SuJiu', '17_Lilghost', '17_shou']",1,11,6,4108.1376,1873.75086,1367.316900253296,1696.75
0,0,0,87.42,byplayer,0,0,65,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,1,2287.8909,0,0,0,719,0,528.2684,5,16,100.0,DNW,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,5b36b13c-2e66-4807-a4df-46507637b189,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",16,0,0,4093.4419725,290.417198,457.1809959411621,705.25
1,0,0,100.0,byplayer,0,0,64,0,0,0.0,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,0,4068.3613,0,0,0,719,0,693.53394,3,16,99.99999618530273,DNW,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,5b36b13c-2e66-4807-a4df-46507637b189,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",16,0,0,4093.4419725,290.417198,457.1809959411621,705.25
0,0,0,53.579998,byplayer,0,1,63,0,0,0.0,DNW_seoul,account.43aebbb76237427d838017e09fee0711,0,3704.8652,0,0,0,719,0,773.8215,4,16,175.0,DNW,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,5b36b13c-2e66-4807-a4df-46507637b189,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",16,0,0,4093.4419725,290.417198,457.1809959411621,705.25
0,0,0,49.4172,byplayer,0,0,66,0,0,0.0,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,3895.7588,0,0,0,664,0,421.26785,5,16,82.18099975585938,DNW,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,5b36b13c-2e66-4807-a4df-46507637b189,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",16,0,0,4093.4419725,290.417198,457.1809959411621,705.25
0,1,4,248.3269,byplayer,0,3,35,0,0,0.0,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,1,3207.9807,0,0,0,1787,0,2320.7156,4,2,213.46581649780273,EIQ,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,4b7a6273-dfd9-4c06-ad6d-66fc496a6423,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_Naylup', 'EIQ_ivas']",2,5,6,4374.7634,2004.3688300000001,1103.3806285858154,1663.25
2,3,4,815.39886,byplayer,1,2,9,1,2,166.77936,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,2869.9934,0,0,0,1787,2,1407.6552,6,2,215.5013656616211,EIQ,edae88d5-c61c-4c30-9302-e170e292c2d3,2022-11-17T13:12:40Z,Erangel (Remastered),1787,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/13/44/f440b5be-667d-11ed-a4c3-16512f2173af-telemetry.json,4b7a6273-dfd9-4c06-ad6d-66fc496a6423,"['EIQ_Lukarux', 'EIQ_Qbe', 'EIQ_Naylup', 'EIQ_ivas']",2,5,6,4374.7634,2004.3688300000001,1103.3806285858154,1663.25
