dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,3,2,214.74893,byplayer,0,2,47,0,0,0.0,Uniq_Fate,account.053a51017bc94630b29b49ea3ca53945,1,5360.983,0,0.0,0,1344,0,1614.8923,4,9,226.30599784851074,Uniq,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,94c90068-28e6-4745-b16a-477c700327f4,"['Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E']",9,3,5,6934.090114250001,1031.8284899999999,798.5288391113281,1332.75
2,1,1,363.47943,byplayer,1,1,12,1,2,101.573074,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,1,5746.3813,0,13.715857,0,1342,0,1201.433,5,9,185.0,Uniq,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,94c90068-28e6-4745-b16a-477c700327f4,"['Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E']",9,3,5,6934.090114250001,1031.8284899999999,798.5288391113281,1332.75
0,1,0,244.53543,byplayer,0,1,48,0,0,0.0,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,0,5516.1274,0,0.0,0,1344,0,1201.8098,5,9,175.0,Uniq,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,94c90068-28e6-4745-b16a-477c700327f4,"['Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E']",9,3,5,6934.090114250001,1031.8284899999999,798.5288391113281,1332.75
1,0,3,209.0647,byplayer,0,1,23,1,1,4.5854254,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,0,5993.235,0,0.0,0,1301,0,1087.7828,10,9,212.22284126281738,Uniq,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,94c90068-28e6-4745-b16a-477c700327f4,"['Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E']",9,3,5,6934.090114250001,1031.8284899999999,798.5288391113281,1332.75
1,0,1,80.752014,byplayer,1,2,27,1,1,17.80219,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,4299.056,0,0.0,0,612,0,670.5815,4,12,187.4663372039795,SQ,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,9c809433-ce22-451c-a3df-3e4526e578a8,"['SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN']",12,2,0,5521.0174285,199.999998,675.3229160308838,717.25
0,0,1,0.0,byplayer,0,0,52,0,0,0.0,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,4933.6772,0,0.0,0,479,0,274.03275,3,12,99.99999618530273,SQ,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,9c809433-ce22-451c-a3df-3e4526e578a8,"['SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN']",12,2,0,5521.0174285,199.999998,675.3229160308838,717.25
0,0,5,19.247984,byplayer,0,7,26,1,1,57.217255,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,5479.787,0,23.613764,0,1275,0,1829.3827,4,12,287.85658836364746,SQ,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,9c809433-ce22-451c-a3df-3e4526e578a8,"['SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN']",12,2,0,5521.0174285,199.999998,675.3229160308838,717.25
1,0,0,100.0,byplayer,0,0,51,0,0,0.0,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,4036.3513,0,0.0,0,503,0,537.5875,4,12,99.9999942779541,SQ,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,9c809433-ce22-451c-a3df-3e4526e578a8,"['SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN']",12,2,0,5521.0174285,199.999998,675.3229160308838,717.25
0,0,5,147.29211,byplayer,1,1,17,1,1,8.082812,OATH_Balefrost,account.039c6519067b474a948c19655de4e683,1,4221.8184,0,14.831354,0,1864,0,2959.0256,3,3,167.7614517211914,OATH,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,0e46ced6-62a7-4e7b-bfdb-27211aca7af7,"['OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers']",3,4,2,7702.896101,1126.17123,1025.7174949645996,1848.25
1,1,5,161.59154,byplayer,0,3,18,1,1,213.62791,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,4739.419,0,13.110128,0,1837,0,2681.1375,5,3,305.7431049346924,OATH,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,0e46ced6-62a7-4e7b-bfdb-27211aca7af7,"['OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers']",3,4,2,7702.896101,1126.17123,1025.7174949645996,1848.25
2,0,2,399.9467,byplayer,0,3,16,1,1,203.67516,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,6712.715,0,18.987892,2,1875,2,1887.9558,5,3,290.2578716278076,OATH,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,0e46ced6-62a7-4e7b-bfdb-27211aca7af7,"['OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers']",3,4,2,7702.896101,1126.17123,1025.7174949645996,1848.25
1,1,2,417.34088,byplayer,1,2,19,1,1,121.97063,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,0,5104.9243,0,65.76003,0,1817,0,2391.8994,5,3,261.9550666809082,OATH,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,0e46ced6-62a7-4e7b-bfdb-27211aca7af7,"['OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers']",3,4,2,7702.896101,1126.17123,1025.7174949645996,1848.25
2,3,12,484.4118,alive,1,3,6,3,3,61.323265,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,1,4259.5063,0,0.0,0,1900,0,2092.1191,4,1,222.23998832702637,PeRo,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,40e56e91-c752-4e40-b19f-811cef068d1e,"['PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft']",1,14,6,5670.200225,2173.2955,890.1351070404053,1695.0
1,2,8,775.4491,alive,1,5,2,1,4,88.40305,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,0,3393.2407,0,0.0,0,1900,0,2049.536,5,1,233.2986354827881,PeRo,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,40e56e91-c752-4e40-b19f-811cef068d1e,"['PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft']",1,14,6,5670.200225,2173.2955,890.1351070404053,1695.0
2,1,5,432.0157,alive,1,9,7,2,3,64.8277,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,2,4075.3027,0,0.0,0,1610,0,1823.4866,5,1,269.3606433868408,PeRo,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,40e56e91-c752-4e40-b19f-811cef068d1e,"['PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft']",1,14,6,5670.200225,2173.2955,890.1351070404053,1695.0
5,0,3,481.4189,alive,1,1,3,1,4,95.39721,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,4051.229,0,0.0,0,1370,1,936.3805,7,1,165.23583984375,PeRo,f014b468-46b4-4fb9-92c3-8d77b2f85b46,2021-12-02T11:32:33Z,Erangel (Remastered),1900,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/06/39812272-5368-11ec-9c21-16512f2173af-telemetry.json,40e56e91-c752-4e40-b19f-811cef068d1e,"['PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu', 'PeRo_Aixleft']",1,14,6,5670.200225,2173.2955,890.1351070404053,1695.0
