dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,4,123.652054,byplayer,0,2,29,1,1,90.6138,AAA_J4nku2of,account.16ebbbc207d7420eb771a9a21b86f83d,0,3915.1594,0,0.0,0,1227,0,1340.8007,5,11,257.7118663787842,AAA,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,30346711-a68f-4bac-8a15-04610f2a702f,"['AAA_J4nku2of', 'AAA_Glooms', 'AAA_Gems', 'AAA_Jayers']",11,5,2,4218.343595,905.268384,688.3239688873291,986.5
2,0,3,301.8121,byplayer,2,0,6,1,3,132.74228,AAA_Glooms,account.d9eef0aedc72485e92e9a31c09f59702,0,3755.0605,0,0.0,0,1246,0,1831.2935,4,11,133.828369140625,AAA,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,30346711-a68f-4bac-8a15-04610f2a702f,"['AAA_J4nku2of', 'AAA_Glooms', 'AAA_Gems', 'AAA_Jayers']",11,5,2,4218.343595,905.268384,688.3239688873291,986.5
1,0,1,108.8566,byplayer,1,0,30,1,1,23.001003,AAA_Gems,account.73386537702e4d48ae98cf8dfd0adbcf,0,1731.6808,0,0.0,0,404,0,469.33328,2,11,100.99999809265137,AAA,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,30346711-a68f-4bac-8a15-04610f2a702f,"['AAA_J4nku2of', 'AAA_Glooms', 'AAA_Gems', 'AAA_Jayers']",11,5,2,4218.343595,905.268384,688.3239688873291,986.5
0,1,5,370.94763,byplayer,0,2,53,0,0,0.0,AAA_Jayers,account.fb9b6d08d0d24304af025bafb676c8a6,1,2096.118,0,0.0,0,1069,0,1733.9282,4,11,195.78373527526855,AAA,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,30346711-a68f-4bac-8a15-04610f2a702f,"['AAA_J4nku2of', 'AAA_Glooms', 'AAA_Gems', 'AAA_Jayers']",11,5,2,4218.343595,905.268384,688.3239688873291,986.5
3,3,9,415.46002,alive,1,8,4,1,3,39.276733,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,1783.2244,0,0.0,0,1739,0,2443.6477,5,1,327.6852035522461,DIG,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,038ce14e-8311-4af6-9656-8a7bbca92cc1,"['DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi']",1,11,6,4115.61721,1898.13172,883.947566986084,1666.25
0,0,3,261.14474,alive,1,1,14,1,1,254.45929,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,1,3192.7385,0,0.0,0,1448,0,1925.3191,3,1,190.4486255645752,DIG,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,038ce14e-8311-4af6-9656-8a7bbca92cc1,"['DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi']",1,11,6,4115.61721,1898.13172,883.947566986084,1666.25
4,0,4,393.0883,alive,1,1,1,2,4,81.484886,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,1012.4283,0,0.0,0,1739,0,2505.6716,3,1,88.13884162902832,DIG,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,038ce14e-8311-4af6-9656-8a7bbca92cc1,"['DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi']",1,11,6,4115.61721,1898.13172,883.947566986084,1666.25
3,3,5,828.43866,alive,0,7,3,1,3,161.90504,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,688.15424,0,0.0,0,1739,0,2911.285,4,1,277.6748962402344,DIG,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,038ce14e-8311-4af6-9656-8a7bbca92cc1,"['DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi']",1,11,6,4115.61721,1898.13172,883.947566986084,1666.25
0,0,5,37.14914,byzone,0,12,59,0,0,0.0,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,3737.7153,0,0.0,0,1051,0,974.7495,5,14,100.0,VP,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,fc47c4e1-7ade-470c-b02e-4707c4214b2a,"['VP_Perfect1ks', 'VP_Lu', 'VP_spyrro', 'VP_BatulinS']",14,0,0,4303.2075374999995,55.14914,439.49236488342285,1006.75
0,0,4,0.0,byzone,0,9,60,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,0,3313.817,0,0.0,0,1029,0,1247.6896,6,14,100.0,VP,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,fc47c4e1-7ade-470c-b02e-4707c4214b2a,"['VP_Perfect1ks', 'VP_Lu', 'VP_spyrro', 'VP_BatulinS']",14,0,0,4303.2075374999995,55.14914,439.49236488342285,1006.75
0,0,5,18.0,byzone,0,5,61,0,0,0.0,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,2929.9055,0,0.0,0,1026,0,955.9439,6,14,100.0,VP,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,fc47c4e1-7ade-470c-b02e-4707c4214b2a,"['VP_Perfect1ks', 'VP_Lu', 'VP_spyrro', 'VP_BatulinS']",14,0,0,4303.2075374999995,55.14914,439.49236488342285,1006.75
0,0,3,0.0,byplayer,0,1,62,0,0,0.0,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,3051.503,0,0.0,0,921,0,1001.50635,5,14,139.49236488342285,VP,f074d3ef-997b-4914-b28f-96726a41d6fa,2021-12-12T12:02:39Z,Erangel (Remastered),1739,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/12/33/b60f794c-5b47-11ec-9c21-16512f2173af-telemetry.json,fc47c4e1-7ade-470c-b02e-4707c4214b2a,"['VP_Perfect1ks', 'VP_Lu', 'VP_spyrro', 'VP_BatulinS']",14,0,0,4303.2075374999995,55.14914,439.49236488342285,1006.75
