dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,33.39,byplayer,0,1,80,0,0,0.0,DTN_Aqua5,account.1f764aeb29fd46d08199057ae5ad34f6,0,649.8637,0,0.0,0,307.467,0,665.2921,3,7,155.1369342803955,DTN,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,f08a1dd3-522a-4ffb-8730-fa5b1c044919,"['DTN_Aqua5', 'DTN_WICK2D', 'DTN_Hikari', 'DTN_ISCO']",7,4,1,1897.0906402,755.6923400000001,645.2406368255615,797.0535
1,1,1,207.24425,byplayer,0,2,23,1,1,17.797312,DTN_WICK2D,account.c3536911c5624b2c92d9b04e04bd89f6,0,0.0,0,0.0,0,868.539,0,1789.009,3,7,190.88631439208984,DTN,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,f08a1dd3-522a-4ffb-8730-fa5b1c044919,"['DTN_Aqua5', 'DTN_WICK2D', 'DTN_Hikari', 'DTN_ISCO']",7,4,1,1897.0906402,755.6923400000001,645.2406368255615,797.0535
4,0,2,384.24124,byzone,0,2,12,1,2,232.7867,DTN_Hikari,account.c5eb110fd8eb4f6f8b49f3387a52f0b4,0,0.0,0,2.2172608,0,1121.069,0,2270.9138,3,7,174.042387008667,DTN,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,f08a1dd3-522a-4ffb-8730-fa5b1c044919,"['DTN_Aqua5', 'DTN_WICK2D', 'DTN_Hikari', 'DTN_ISCO']",7,4,1,1897.0906402,755.6923400000001,645.2406368255615,797.0535
1,0,1,130.81685,byplayer,0,0,22,1,1,89.544754,DTN_ISCO,account.4cecff212cf44bbd8d1619cb04f447e9,1,892.7972,0,0.0,0,891.139,0,1318.2695,2,7,125.17500114440918,DTN,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,f08a1dd3-522a-4ffb-8730-fa5b1c044919,"['DTN_Aqua5', 'DTN_WICK2D', 'DTN_Hikari', 'DTN_ISCO']",7,4,1,1897.0906402,755.6923400000001,645.2406368255615,797.0535
2,0,1,145.73218,byplayer,1,1,35,1,1,42.733482,RUM_Microfry,account.8dd8e1e6d7d74d3cb660c56b34c217fa,0,0.0,0,0.0,0,349.585,0,852.1053,2,16,160.6211166381836,RUM,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,e035756d-f2ab-48fc-af87-0b2bf6644aca,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",16,1,1,879.16408675,255.13693,460.62112522125244,340.817
0,0,0,0.0,byplayer,0,0,99,0,0,0.0,RUM_Waldoe,account.17c1da6a25a140c59c969197653218dc,0,54.691647,0,0.0,0,337.442,0,679.8382,4,16,100.0,RUM,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,e035756d-f2ab-48fc-af87-0b2bf6644aca,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",16,1,1,879.16408675,255.13693,460.62112522125244,340.817
0,1,0,109.40475,byplayer,0,0,98,0,0,0.0,RUM_LosHD,account.ebc9af8b420a4a5eb15c04cf142f4220,0,0.0,0,0.0,0,356.978,0,965.8795,5,16,100.00000476837158,RUM,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,e035756d-f2ab-48fc-af87-0b2bf6644aca,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",16,1,1,879.16408675,255.13693,460.62112522125244,340.817
0,0,0,0.0,byplayer,0,0,100,0,0,0.0,RUM_CherryPoppin,account.7f6bbfbe68f04a84b8588148a46fdeb2,0,0.0,0,0.0,0,319.263,0,964.1417,2,16,100.00000381469727,RUM,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,e035756d-f2ab-48fc-af87-0b2bf6644aca,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",16,1,1,879.16408675,255.13693,460.62112522125244,340.817
3,3,3,494.39624,byplayer,0,3,4,2,3,262.659,IFTY_LongSkr,account.32a164c4af1c438e892088a46b63fe85,0,0.0,0,0.0,0,1233.155,0,2700.3396,4,5,330.6740303039551,IFTY,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,c4fac985-54c3-4b2d-9675-2d666548714f,"['IFTY_LongSkr', 'IFTY_L1nnnn', 'IFTY_Boliang', 'IFTY_Jiaoyang']",5,11,7,2548.039825,1196.43912,1077.2940378189087,1176.93575
3,2,1,354.54486,byplayer,3,2,3,3,4,261.82404,IFTY_L1nnnn,account.2feb6e1bc20f492bac85dbb8dd4e2e0f,2,0.0,0,0.0,0,1132.528,0,2695.5906,3,5,233.530011177063,IFTY,f1082b17-28ff-4303-969e-7870e18054a3,2019-11-11T03:11:40Z,Sanhok,1403,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/03/36/736b960e-0434-11ea-adac-0a586469f39e-telemetry.json,c4fac985-54c3-4b2d-9675-2d666548714f,"['IFTY_LongSkr', 'IFTY_L1nnnn', 'IFTY_Boliang', 'IFTY_Jiaoyang']",5,11,7,2548.039825,1196.43912,1077.2940378189087,1176.93575
