dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,2,3,234.74821,byplayer,0,2,31,1,1,31.368713,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,0,3367.4263,0,0.0,0,1056,0,664.9137,4,14,205.11799240112305,TE,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,8d5d58e2-ac7c-4bdd-a274-989634940867,"['TE_Smell', 'TE_777', 'TE_Leviz', 'TE_DuCkHjeUz']",14,1,3,3549.9575125,288.248267,651.7559337615967,780.25
0,0,1,0.0,byplayer,0,1,58,0,0,0.0,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,4543.6353,0,0.0,0,805,0,743.0256,5,14,140.53032112121582,TE,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,8d5d58e2-ac7c-4bdd-a274-989634940867,"['TE_Smell', 'TE_777', 'TE_Leviz', 'TE_DuCkHjeUz']",14,1,3,3549.9575125,288.248267,651.7559337615967,780.25
0,0,0,0.0,byplayer,0,0,59,0,0,0.0,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,1224.5494,0,0.0,0,204,0,34.95035,2,14,99.99999618530273,TE,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,8d5d58e2-ac7c-4bdd-a274-989634940867,"['TE_Smell', 'TE_777', 'TE_Leviz', 'TE_DuCkHjeUz']",14,1,3,3549.9575125,288.248267,651.7559337615967,780.25
1,1,4,53.500057,byplayer,0,1,57,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,2764.964,0,0.0,0,1056,0,856.3654,6,14,206.10762405395508,TE,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,8d5d58e2-ac7c-4bdd-a274-989634940867,"['TE_Smell', 'TE_777', 'TE_Leviz', 'TE_DuCkHjeUz']",14,1,3,3549.9575125,288.248267,651.7559337615967,780.25
0,0,0,54.098373,byplayer,0,0,39,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,3174.1394,0,0.0,0,617,0,419.0049,2,3,97.86090469360352,DAY,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,6bd3f2ed-9209-44e8-943c-12a21a114d55,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Belmoth', 'DAY_Flash']",3,3,1,8672.530325,971.3075329999999,573.3479480743408,1396.0
1,0,4,194.78539,byplayer,0,2,21,1,1,33.22929,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,7159.595,0,0.0,0,1651,0,1570.2164,4,3,182.63704681396484,DAY,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,6bd3f2ed-9209-44e8-943c-12a21a114d55,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Belmoth', 'DAY_Flash']",3,3,1,8672.530325,971.3075329999999,573.3479480743408,1396.0
2,1,5,308.31717,byplayer,0,5,10,1,2,27.059736,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,9066.885,0,0.0,0,1662,0,1860.581,4,3,184.8499984741211,DAY,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,6bd3f2ed-9209-44e8-943c-12a21a114d55,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Belmoth', 'DAY_Flash']",3,3,1,8672.530325,971.3075329999999,573.3479480743408,1396.0
0,0,4,414.1066,byplayer,0,6,38,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,9521.836,0,0.0,0,1654,0,1917.8636,5,3,107.99999809265137,DAY,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,6bd3f2ed-9209-44e8-943c-12a21a114d55,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Belmoth', 'DAY_Flash']",3,3,1,8672.530325,971.3075329999999,573.3479480743408,1396.0
2,1,5,327.55566,byplayer,0,4,44,0,0,0.0,NAVI_alya,account.324e82760e13456bbffb2c0702c2e945,0,7463.1836,0,0.0,0,1156,0,639.2318,3,7,153.13481521606445,NAVI,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,ee9b1100-bdbd-4f93-b5a8-d12abfc64ea5,"['NAVI_alya', 'NAVI_xmpl', 'NAVI_Mell', 'NAVI_ubah']",7,6,2,8066.602075000001,1036.434148,877.2545280456543,1203.75
4,0,3,453.7999,byplayer,0,12,1,3,5,122.05801,NAVI_xmpl,account.ba5311c89cd04394938935a9afa23a65,1,7376.265,0,0.0,0,1349,0,942.8452,3,7,214.8260555267334,NAVI,f1d34249-af52-42d0-a710-14065ca93322,2022-11-17T14:34:56Z,Erangel (Remastered),1673,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/04/2d85df4d-6689-11ed-a4c3-16512f2173af-telemetry.json,ee9b1100-bdbd-4f93-b5a8-d12abfc64ea5,"['NAVI_alya', 'NAVI_xmpl', 'NAVI_Mell', 'NAVI_ubah']",7,6,2,8066.602075000001,1036.434148,877.2545280456543,1203.75
