dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,0,2756.3818,0,0.0,0,308,0,191.62502,4,16,99.99999618530273,BBL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,5a327f7a-1a56-4f5d-be65-5ae22dc5dc10,"['BBL_mert', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Mitraleius']",16,2,0,3092.3871025,323.938334,389.33243560791016,327.0
0,0,0,92.399994,byplayer,0,0,62,0,0,0.0,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,2795.833,0,0.0,0,334,0,212.81181,3,16,100.00000381469727,BBL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,5a327f7a-1a56-4f5d-be65-5ae22dc5dc10,"['BBL_mert', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Mitraleius']",16,2,0,3092.3871025,323.938334,389.33243560791016,327.0
2,0,1,197.65834,byplayer,1,0,15,2,2,25.78969,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,2712.3137,0,0.0,0,343,0,193.90958,6,16,100.0,BBL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,5a327f7a-1a56-4f5d-be65-5ae22dc5dc10,"['BBL_mert', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Mitraleius']",16,2,0,3092.3871025,323.938334,389.33243560791016,327.0
0,0,0,33.88,byplayer,0,0,63,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,3328.7556,0,0.0,0,323,0,177.9179,3,16,89.33243560791016,BBL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,5a327f7a-1a56-4f5d-be65-5ae22dc5dc10,"['BBL_mert', 'BBL_Smash', 'BBL_CodeMarco', 'BBL_Mitraleius']",16,2,0,3092.3871025,323.938334,389.33243560791016,327.0
1,2,1,226.08878,byplayer,0,1,18,1,1,542.54987,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,6520.3667,0,0.0,0,1185,0,1047.1125,5,2,164.1500358581543,HERO,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,d869a973-c138-460e-8489-32481f929abf,"['HERO_curexi', 'HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3']",2,10,4,8578.5599,1405.69052,1045.4633874893188,1601.25
2,0,5,358.41513,byplayer,0,2,17,1,1,23.046904,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,2,7095.93,0,0.0,0,1760,0,2167.4148,5,2,200.98871326446533,HERO,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,d869a973-c138-460e-8489-32481f929abf,"['HERO_curexi', 'HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3']",2,10,4,8578.5599,1405.69052,1045.4633874893188,1601.25
6,1,5,562.25415,byplayer,4,7,1,3,6,223.6397,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,6588.4556,0,0.0,0,1700,0,2366.021,7,2,293.1342372894287,HERO,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,d869a973-c138-460e-8489-32481f929abf,"['HERO_curexi', 'HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3']",2,10,4,8578.5599,1405.69052,1045.4633874893188,1601.25
2,1,6,258.93246,byplayer,0,3,10,1,2,200.59473,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,6212.4995,0,0.0,0,1760,0,2316.4395,5,2,387.1904010772705,HERO,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,d869a973-c138-460e-8489-32481f929abf,"['HERO_curexi', 'HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3']",2,10,4,8578.5599,1405.69052,1045.4633874893188,1601.25
4,1,4,703.7965,byplayer,1,3,4,1,4,159.9882,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,898.82983,0,18.356707,0,936,0,3356.0278,7,11,247.78827095031738,GNL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e04ace8e-18bb-4482-b5de-87e4ad5f3c85,"['GNL_Tosi', 'GNL_Corn', 'GNL_Heaven', 'GNL_Americano']",11,7,3,2662.463724,1256.19672,886.1486072540283,699.0
0,0,0,0.0,byplayer,0,0,50,0,0,0.0,GNL_Corn,account.15923c996fb440a4984764eb949a6f0d,0,0.0,0,0.0,0,283,0,467.55878,3,11,100.0,GNL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e04ace8e-18bb-4482-b5de-87e4ad5f3c85,"['GNL_Tosi', 'GNL_Corn', 'GNL_Heaven', 'GNL_Americano']",11,7,3,2662.463724,1256.19672,886.1486072540283,699.0
4,1,4,451.60022,byplayer,3,7,6,2,3,62.932972,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,2424.0144,0,26.326479,0,1082,0,2012.126,5,11,438.3603401184082,GNL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e04ace8e-18bb-4482-b5de-87e4ad5f3c85,"['GNL_Tosi', 'GNL_Corn', 'GNL_Heaven', 'GNL_Americano']",11,7,3,2662.463724,1256.19672,886.1486072540283,699.0
0,1,0,100.8,byplayer,0,0,49,0,0,0.0,GNL_Americano,account.2f99f4b4be7f440d8a4fc98fe40f2143,0,0.0,0,0.0,0,495,0,1446.6149,3,11,99.99999618530273,GNL,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e04ace8e-18bb-4482-b5de-87e4ad5f3c85,"['GNL_Tosi', 'GNL_Corn', 'GNL_Heaven', 'GNL_Americano']",11,7,3,2662.463724,1256.19672,886.1486072540283,699.0
0,1,2,128.43144,byplayer,0,1,45,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,1,3649.4272,0,0.0,1,868,0,734.661,6,9,199.9999942779541,SSG,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e0093349-fa4d-4ed1-9adb-7ac8fea9f442,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",9,10,2,4598.7670325,1180.72667,971.5640277862549,932.75
3,1,4,534.03406,byplayer,2,4,2,2,5,331.232,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,1,3907.99,0,0.0,0,1194,0,1049.2786,6,9,343.1840400695801,SSG,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e0093349-fa4d-4ed1-9adb-7ac8fea9f442,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",9,10,2,4598.7670325,1180.72667,971.5640277862549,932.75
3,0,6,418.26117,byplayer,1,2,3,3,4,110.896996,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,2,3999.3167,0,0.0,0,1106,0,1586.8275,8,9,328.37999534606934,SSG,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e0093349-fa4d-4ed1-9adb-7ac8fea9f442,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",9,10,2,4598.7670325,1180.72667,971.5640277862549,932.75
1,0,0,100.0,byplayer,0,0,24,1,1,25.338999,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,3039.4092,0,0.0,0,563,0,428.15793,3,9,99.99999809265137,SSG,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,e0093349-fa4d-4ed1-9adb-7ac8fea9f442,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",9,10,2,4598.7670325,1180.72667,971.5640277862549,932.75
0,0,0,51.84926,byplayer,0,0,30,0,0,0.0,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,2349.8162,0,0.0,0,1666,0,2240.584,3,3,50.05550003051758,DIG,f36145d9-9ff3-4eb5-8ddf-633e4fb84163,2021-12-07T10:01:29Z,Erangel (Remastered),1760,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/10/32/019634ca-5749-11ec-9c21-16512f2173af-telemetry.json,90f9d05b-31e5-49d2-8460-078d0ce4e9e6,"['DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage']",3,2,0,4871.330849999999,444.676724,422.99887466430664,1613.25
