dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,49.200005,byplayer,0,3,68,0,0,0.0,LZR_aLOW,account.cfc70e3a14964bdd94ba2c90954b860f,0,1185.6276,0,0,0,421.185,0,247.25795,3,3,146.39306259155273,LZR,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,4dbaf412-4159-4bc6-8951-e6efea1349cb,"['LZR_aLOW', 'LZR_PurdyKurty', 'LZR_luke12', 'LZR_Uncivil']",3,2,1,3994.0056474999997,661.716015,830.9487886428833,1015.2815
1,1,7,199.30272,byplayer,0,2,20,1,1,2.4601638,LZR_PurdyKurty,account.0afa86ca4258437b835ac9e8188f65fe,1,5415.4346,0,0,0,1582.987,0,656.72485,4,3,267.71887016296387,LZR,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,4dbaf412-4159-4bc6-8951-e6efea1349cb,"['LZR_aLOW', 'LZR_PurdyKurty', 'LZR_luke12', 'LZR_Uncivil']",3,2,1,3994.0056474999997,661.716015,830.9487886428833,1015.2815
1,0,6,189.84328,byplayer,0,3,19,1,1,7.507902,LZR_luke12,account.a90ea2b7552846c3b8440c04035cf463,1,6650.1826,0,0,0,1609.092,0,527.33875,8,3,316.83685398101807,LZR,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,4dbaf412-4159-4bc6-8951-e6efea1349cb,"['LZR_aLOW', 'LZR_PurdyKurty', 'LZR_luke12', 'LZR_Uncivil']",3,2,1,3994.0056474999997,661.716015,830.9487886428833,1015.2815
2,0,0,223.37001,byplayer,0,0,67,0,0,0.0,LZR_Uncivil,account.6203a5e955bb4f1294cdad985d0b20d7,0,1143.4036,0,0,0,447.862,0,150.05264,4,3,100.00000190734863,LZR,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,4dbaf412-4159-4bc6-8951-e6efea1349cb,"['LZR_aLOW', 'LZR_PurdyKurty', 'LZR_luke12', 'LZR_Uncivil']",3,2,1,3994.0056474999997,661.716015,830.9487886428833,1015.2815
2,0,3,299.41818,byplayer,0,1,13,2,2,7.3640046,SDV_Nickyyy,account.4069a81b93774277962e0c2fd6d72523,0,4712.419,0,0,0,1211.204,0,1212.8053,5,9,208.82260036468506,SDV,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,60f1537a-cebe-4c9e-9902-14b7220e6793,"['SDV_Nickyyy', 'SDV_Jettt', 'SDV_Leviz', 'SDV_Turtle']",9,2,2,4939.504825,749.31903,549.9206056594849,1212.28625
0,0,3,105.82609,byplayer,0,0,80,0,0,0.0,SDV_Jettt,account.c2e72726cc544fd4ab7525b44088702a,0,3234.4753,0,0,0,1206.495,0,854.0371,3,9,100.00000381469727,SDV,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,60f1537a-cebe-4c9e-9902-14b7220e6793,"['SDV_Nickyyy', 'SDV_Jettt', 'SDV_Leviz', 'SDV_Turtle']",9,2,2,4939.504825,749.31903,549.9206056594849,1212.28625
2,1,4,177.9697,byplayer,0,0,79,0,0,0.0,SDV_Leviz,account.0ef03e9411f64177839a7f10bfd4edab,0,3478.0444,0,0,1,1374.662,0,1227.4109,5,9,100.00000381469727,SDV,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,60f1537a-cebe-4c9e-9902-14b7220e6793,"['SDV_Nickyyy', 'SDV_Jettt', 'SDV_Leviz', 'SDV_Turtle']",9,2,2,4939.504825,749.31903,549.9206056594849,1212.28625
1,1,2,166.10506,byplayer,0,1,81,0,0,0.0,SDV_Turtle,account.afa3e25dce15494e96dd86497fda0170,0,4168.118,0,0,0,1056.784,0,870.7093,5,9,141.09799766540527,SDV,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,60f1537a-cebe-4c9e-9902-14b7220e6793,"['SDV_Nickyyy', 'SDV_Jettt', 'SDV_Leviz', 'SDV_Turtle']",9,2,2,4939.504825,749.31903,549.9206056594849,1212.28625
0,0,0,0.0,byplayer,0,0,75,0,0,0.0,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,951.6311,0,0,0,304.291,0,211.13573,4,7,100.0000057220459,QM,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,d3e9575b-3209-4a57-9e91-964b52476a4f,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",7,2,0,1898.227745,246.654849,505.5737533569336,786.92925
0,0,2,129.39001,byplayer,0,10,74,0,0,0.0,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,1060.0797,0,0,0,767.162,0,509.5822,2,7,147.76158142089844,QM,f5b1d59c-a78a-4ce5-86f3-ae4a9b3f9e9a,2019-11-10T00:59:08Z,Erangel,1624,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/01/27/48ed8c9f-0359-11ea-adac-0a586469f39e-telemetry.json,d3e9575b-3209-4a57-9e91-964b52476a4f,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",7,2,0,1898.227745,246.654849,505.5737533569336,786.92925
