dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,2,4,275.38257,byplayer,1,4,8,1,3,345.11035,TS_Sharpshot4k,account.c2a4e73a63264f37a6050c9345c83a66,1,6834.283,0,0,0,1527.243,0,1995.7563,4,4,234.44192600250244,TS,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,f01a6047-10b2-4ce5-a012-76d59b803c9b,"['TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah', 'TS_Meluke']",4,8,5,8349.287250000001,893.3630499999999,932.3867311477661,1324.4402499999999
2,2,6,269.58798,byplayer,0,8,19,1,1,4.4269085,TS_sharky,account.94d5fc7dc68448d9beb6f22eb017a809,1,7142.0273,0,0,0,1539.074,0,1863.7355,6,4,427.8852195739746,TS,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,f01a6047-10b2-4ce5-a012-76d59b803c9b,"['TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah', 'TS_Meluke']",4,8,5,8349.287250000001,893.3630499999999,932.3867311477661,1324.4402499999999
1,1,0,348.3925,byplayer,1,1,3,1,4,250.07779,TS_Zanpah,account.0256162616804a91a8badd9bb913d964,1,7265.5444,0,0,0,1549.905,0,1907.2024,7,4,175.0,TS,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,f01a6047-10b2-4ce5-a012-76d59b803c9b,"['TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah', 'TS_Meluke']",4,8,5,8349.287250000001,893.3630499999999,932.3867311477661,1324.4402499999999
0,0,0,0.0,byplayer,0,0,70,0,0,0.0,TS_Meluke,account.4d6ee4b5a938462da8475d27e6648fa4,0,5843.051,0,0,0,681.539,0,545.5491,4,4,95.05958557128906,TS,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,f01a6047-10b2-4ce5-a012-76d59b803c9b,"['TS_Sharpshot4k', 'TS_sharky', 'TS_Zanpah', 'TS_Meluke']",4,8,5,8349.287250000001,893.3630499999999,932.3867311477661,1324.4402499999999
0,0,1,0.0,byplayer,0,0,75,0,0,0.0,RJ_MUSHAMARU,account.a9b631bf409640249daabf2bc275ac4a,0,3482.2854,0,0,0,635.978,0,451.5024,5,6,116.26562881469727,RJ,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,45e82aeb-e30a-48d6-be38-6c37f9233826,"['RJ_MUSHAMARU', 'RJ_CiNVe', 'RJ_Wesker', 'RJ_SeaKingJAWS']",6,0,0,3815.42942,0.0,419.26562881469727,885.55975
0,0,0,0.0,byplayer,0,0,74,0,0,0.0,RJ_CiNVe,account.bc437ae3aca541d39c7c8897e8f87775,0,3020.5022,0,0,0,698.177,0,379.3781,7,6,100.00000190734863,RJ,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,45e82aeb-e30a-48d6-be38-6c37f9233826,"['RJ_MUSHAMARU', 'RJ_CiNVe', 'RJ_Wesker', 'RJ_SeaKingJAWS']",6,0,0,3815.42942,0.0,419.26562881469727,885.55975
0,0,2,0.0,byplayer,0,0,72,0,0,0.0,RJ_Wesker,account.fa961c1747d44737b336cf80e3cb56ab,0,3790.1707,0,0,0,1452.327,1,1124.0609,6,6,100.0,RJ,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,45e82aeb-e30a-48d6-be38-6c37f9233826,"['RJ_MUSHAMARU', 'RJ_CiNVe', 'RJ_Wesker', 'RJ_SeaKingJAWS']",6,0,0,3815.42942,0.0,419.26562881469727,885.55975
0,0,1,0.0,byplayer,0,0,73,0,0,0.0,RJ_SeaKingJAWS,account.b07cf921cce647cc86732caebfa5e3a1,0,2521.7368,0,0,0,755.757,1,492.08118,3,6,102.99999809265137,RJ,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,45e82aeb-e30a-48d6-be38-6c37f9233826,"['RJ_MUSHAMARU', 'RJ_CiNVe', 'RJ_Wesker', 'RJ_SeaKingJAWS']",6,0,0,3815.42942,0.0,419.26562881469727,885.55975
1,1,1,316.9311,byzone,0,0,87,0,0,0.0,VC_Tide,account.6e76f10f81f2433c9866518a38f3f80c,0,3734.6387,0,0,0,1029.76,0,1502.0437,3,11,99.99999618530273,VC,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,5517e03d-e8a0-490e-a92c-a515abc6d01d,"['VC_Tide', 'VC_Summer', 'VC_DouM', 'VC_DJboy']",11,5,2,5871.5638,1179.53727,552.2845840454102,1191.7002499999999
1,1,1,194.0001,byzone,0,0,27,1,1,98.483406,VC_Summer,account.31df1951afc04fdfaf4f2e4f165d6144,0,3716.4531,0,0,0,1222.447,0,1347.4497,3,11,106.53376007080078,VC,f5cc4161-5cd8-4e2e-b0c5-0e4785a23d40,2019-11-09T02:50:51Z,Erangel,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/03/21/0744c011-02a0-11ea-adac-0a586469f39e-telemetry.json,5517e03d-e8a0-490e-a92c-a515abc6d01d,"['VC_Tide', 'VC_Summer', 'VC_DouM', 'VC_DJboy']",11,5,2,5871.5638,1179.53727,552.2845840454102,1191.7002499999999
