dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,258.36057,suicide,0,5,12,1,2,318.12186,Tian_77,account.b9a3937dc66e47f9984d6652fb5aafeb,0,2803.945,0,0,0,1441,0,1171.1692,5,8,166.62092971801758,Tian,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,b4db05e7-d93c-4acb-b962-84b77823ce25,"['Tian_77', 'Tian_9', 'Tian_Cui71', 'Tian_Tang']",8,2,3,5070.197700000001,709.745767,952.4151086807251,1441.0
0,1,4,0.0,byplayer,0,4,45,0,0,0.0,Tian_9,account.1987c77d92864be3ac05917ca17f5283,0,3761.222,0,0,0,1441,0,1370.249,5,8,326.87547874450684,Tian,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,b4db05e7-d93c-4acb-b962-84b77823ce25,"['Tian_77', 'Tian_9', 'Tian_Cui71', 'Tian_Tang']",8,2,3,5070.197700000001,709.745767,952.4151086807251,1441.0
0,0,5,61.879997,byzone,0,7,46,0,0,0.0,Tian_Cui71,account.7d309087c15f4a9ba898613396c1c80b,0,4827.1836,0,0,0,1441,0,1473.943,4,8,288.4129934310913,Tian,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,b4db05e7-d93c-4acb-b962-84b77823ce25,"['Tian_77', 'Tian_9', 'Tian_Cui71', 'Tian_Tang']",8,2,3,5070.197700000001,709.745767,952.4151086807251,1441.0
1,2,5,389.5052,suicide,0,6,47,0,0,0.0,Tian_Tang,account.4af4017877f241f09e0041e78725406f,1,3561.2705,0,0,0,1441,0,1311.8085,5,8,170.50570678710938,Tian,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,b4db05e7-d93c-4acb-b962-84b77823ce25,"['Tian_77', 'Tian_9', 'Tian_Cui71', 'Tian_Tang']",8,2,3,5070.197700000001,709.745767,952.4151086807251,1441.0
0,0,3,44.692375,byplayer,0,2,60,0,0,0.0,BGP_Seongjang,account.e996b065f2164d94b10d7e649c21d1b5,0,5477.3955,0,0,0,1029,0,656.0095,5,15,280.3907241821289,BGP,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,e820380e-93f1-4da1-978b-9a368e20ce40,"['BGP_Seongjang', 'BGP_DG98', 'BGP_Pio', 'BGP_taemin']",15,0,0,5913.36978,108.0,769.0616636276245,731.75
1,0,3,63.307625,byplayer,0,1,61,0,0,0.0,BGP_DG98,account.d992992df0424296b6260e9a413f3ac8,1,7248.149,0,0,0,774,0,352.37292,6,15,213.6709394454956,BGP,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,e820380e-93f1-4da1-978b-9a368e20ce40,"['BGP_Seongjang', 'BGP_DG98', 'BGP_Pio', 'BGP_taemin']",15,0,0,5913.36978,108.0,769.0616636276245,731.75
0,0,0,0.0,byplayer,0,0,63,0,0,0.0,BGP_Pio,account.aa8dd6fba5d846f6871146980246bdc9,1,4606.1313,0,0,0,560,0,659.22,4,15,99.99999618530273,BGP,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,e820380e-93f1-4da1-978b-9a368e20ce40,"['BGP_Seongjang', 'BGP_DG98', 'BGP_Pio', 'BGP_taemin']",15,0,0,5913.36978,108.0,769.0616636276245,731.75
0,0,1,0.0,byplayer,0,1,62,0,0,0.0,BGP_taemin,account.21265833d3cf4db290ff2d4748197655,0,4099.4004,0,0,0,564,0,554.8005,5,15,175.00000381469727,BGP,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,e820380e-93f1-4da1-978b-9a368e20ce40,"['BGP_Seongjang', 'BGP_DG98', 'BGP_Pio', 'BGP_taemin']",15,0,0,5913.36978,108.0,769.0616636276245,731.75
2,0,8,574.3132,byplayer,0,3,4,2,3,55.674175,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,0,5630.8726,0,0,0,1928,0,1447.5565,6,2,319.9999933242798,FaZe,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,a8efdc9e-8898-4e50-b6e7-36b3d64e1f0d,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",2,7,4,7330.569750000001,1592.9025000000001,1137.9244832992554,1928.0
3,2,1,201.25647,byplayer,0,2,19,1,1,47.54142,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,5140.1562,0,0,0,1928,0,1551.2563,8,2,195.2755889892578,FaZe,f607e8e6-8ff6-457f-9980-ad2cf1dd4527,2022-11-11T14:29:19Z,Miramar,1929,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/03/004858a4-61d2-11ed-a4c3-16512f2173af-telemetry.json,a8efdc9e-8898-4e50-b6e7-36b3d64e1f0d,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",2,7,4,7330.569750000001,1592.9025000000001,1137.9244832992554,1928.0
