dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,0,1.9815979,byplayer,0,0,54,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,6249.096,0,0.0,0,1063,0,682.592,5,12,100.0,SSG,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,6a5be8dd-1276-4a03-9572-c6e32d12ae75,"['SSG_oldless', 'SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k']",12,1,3,6977.3367225,241.2793929,507.35337257385254,1100.0
0,0,3,6.952838,byplayer,0,0,53,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,6090.1274,0,0.0,0,1109,0,829.93494,5,12,116.99999809265137,SSG,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,6a5be8dd-1276-4a03-9572-c6e32d12ae75,"['SSG_oldless', 'SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k']",12,1,3,6977.3367225,241.2793929,507.35337257385254,1100.0
1,1,2,193.72812,byplayer,0,1,29,1,1,182.06927,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,1,6029.0474,0,0.0,0,1111,0,701.6765,3,12,160.35337257385254,SSG,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,6a5be8dd-1276-4a03-9572-c6e32d12ae75,"['SSG_oldless', 'SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k']",12,1,3,6977.3367225,241.2793929,507.35337257385254,1100.0
0,1,0,38.616837,byplayer,0,1,52,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,6751.16,0,0.0,0,1117,0,575.71265,4,12,130.00000190734863,SSG,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,6a5be8dd-1276-4a03-9572-c6e32d12ae75,"['SSG_oldless', 'SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k']",12,1,3,6977.3367225,241.2793929,507.35337257385254,1100.0
0,0,1,0.0,byplayer,0,2,60,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,3058.3909,0,0.0,0,560,0,469.1141,3,15,100.0000057220459,TSM,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,1108bb6c-fd9a-4929-b5c4-7b360bdce0ce,"['TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",15,3,0,2660.273295,322.93608,400.00000381469727,558.75
1,0,0,122.93607,byplayer,1,0,32,1,1,2.599989,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,1225.9705,0,0.0,0,560,0,457.8071,4,15,100.0,TSM,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,1108bb6c-fd9a-4929-b5c4-7b360bdce0ce,"['TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",15,3,0,2660.273295,322.93608,400.00000381469727,558.75
1,0,0,100.00001,byplayer,0,0,34,1,1,2.332699,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,1932.3523,0,0.0,0,557,0,494.86005,5,15,99.99999809265137,TSM,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,1108bb6c-fd9a-4929-b5c4-7b360bdce0ce,"['TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",15,3,0,2660.273295,322.93608,400.00000381469727,558.75
0,0,0,100.0,byplayer,1,0,33,1,1,8.121805,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,2546.16,0,0.0,0,558,0,456.43823,5,15,100.0,TSM,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,1108bb6c-fd9a-4929-b5c4-7b360bdce0ce,"['TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",15,3,0,2660.273295,322.93608,400.00000381469727,558.75
1,0,4,99.99999,byplayer,0,0,26,1,1,76.94665,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,6255.6494,0,153.71214,0,1187,0,1254.243,5,10,32.0,TL,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,b54d0f93-451a-4afe-9cfe-8be13fa56668,"['TL_mxey', 'TL_clib', 'TL_ibiza', 'TL_jeemzz']",10,3,1,7207.851535,419.05601,388.4795961380005,1168.75
0,1,2,94.65903,byplayer,0,2,48,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,4770.465,0,97.27917,0,1173,0,2170.6743,5,10,160.4122438430786,TL,f6b67922-3547-4c6f-8779-515d21a09b5a,2021-11-28T12:55:53Z,Erangel (Remastered),1538,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/13/23/5cc4106d-504e-11ec-9c21-16512f2173af-telemetry.json,b54d0f93-451a-4afe-9cfe-8be13fa56668,"['TL_mxey', 'TL_clib', 'TL_ibiza', 'TL_jeemzz']",10,3,1,7207.851535,419.05601,388.4795961380005,1168.75
