dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,135.41,byplayer,0,1,63,0,0,0.0,SQ_M1ME,account.5824e9a606584aa1a039296123919737,0,0.0,0,0,0,238,0,267.23044,3,16,197.99998998641968,SQ,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,bc162c93-96a4-429c-b82d-3c6d8ac475f9,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",16,2,1,175.70764,522.83004,658.0357542037964,299.75
1,1,3,132.40001,byplayer,0,8,32,1,1,10.555951,SQ_hwinn,account.341678405c804c6784067c59876331c9,1,0.0,0,0,0,452,0,257.2462,4,16,210.03576183319092,SQ,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,bc162c93-96a4-429c-b82d-3c6d8ac475f9,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",16,2,1,175.70764,522.83004,658.0357542037964,299.75
2,0,4,255.02003,byplayer,0,2,33,1,1,2.3522315,SQ_TGLTN,account.a17564c94e364bae8c380cb1e7ffd291,0,0.0,0,0,0,429,0,154.59471,4,16,150.0,SQ,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,bc162c93-96a4-429c-b82d-3c6d8ac475f9,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",16,2,1,175.70764,522.83004,658.0357542037964,299.75
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,SQ_Shrimzy,account.19aece48dbb8447f9d56d56b950e3c21,0,0.0,0,0,0,80,0,23.75921,0,16,100.00000238418579,SQ,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,bc162c93-96a4-429c-b82d-3c6d8ac475f9,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",16,2,1,175.70764,522.83004,658.0357542037964,299.75
1,0,3,255.75389,byplayer,1,4,16,1,2,51.767155,MCG_Summer,account.c0f8b8e993e444c8a00964bfc4e16139,0,2564.0547,0,0,0,1440,0,812.26874,5,9,251.70763778686523,MCG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,a4843245-f1df-4116-a913-935544745d2d,"['MCG_Summer', 'MCG_Tanki995', 'MCG_EviLLee', 'MCG_LingDuuuuuu']",9,6,6,2937.8370349999996,1199.88802,940.7001724243164,1416.0
1,1,3,292.6826,byplayer,0,3,24,1,1,284.53445,MCG_Tanki995,account.3d829eb3ed704d2c9234ffe68887a35f,0,2027.6746,0,0,0,1352,1,1184.6316,5,9,264.27579498291016,MCG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,a4843245-f1df-4116-a913-935544745d2d,"['MCG_Summer', 'MCG_Tanki995', 'MCG_EviLLee', 'MCG_LingDuuuuuu']",9,6,6,2937.8370349999996,1199.88802,940.7001724243164,1416.0
3,5,5,326.8117,byplayer,0,2,47,0,0,0.0,MCG_EviLLee,account.eb595ab3bb4f4f329503878c2f6e38d1,1,1193.3124,0,0,0,1406,2,1106.9327,6,9,259.78719329833984,MCG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,a4843245-f1df-4116-a913-935544745d2d,"['MCG_Summer', 'MCG_Tanki995', 'MCG_EviLLee', 'MCG_LingDuuuuuu']",9,6,6,2937.8370349999996,1199.88802,940.7001724243164,1416.0
2,0,1,324.63983,byplayer,0,3,6,1,3,187.96964,MCG_LingDuuuuuu,account.1f46eabe5cff43b7a30f415acbf4bfe7,0,1471.9158,0,0,0,1466,0,1390.5576,4,9,164.92954635620117,MCG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,a4843245-f1df-4116-a913-935544745d2d,"['MCG_Summer', 'MCG_Tanki995', 'MCG_EviLLee', 'MCG_LingDuuuuuu']",9,6,6,2937.8370349999996,1199.88802,940.7001724243164,1416.0
1,1,7,317.06265,byplayer,1,8,5,2,3,71.404495,DIG_HoneyBadger,account.eaeaba953a094607b60bd205ea2dd889,0,5964.187,0,0,0,1418,0,1211.6554,6,5,350.53866386413574,DIG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,66818b86-e354-4657-a2d9-01e26ebd92b7,"['DIG_HoneyBadger', 'DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi']",5,8,4,6895.700199999999,1847.5244500000001,1552.7676410675049,1488.5
1,0,0,233.23586,byplayer,0,1,39,0,0,0.0,DIG_Poonage,account.3ce60a1053dd45c79a8deb4e29fa32bb,3,6494.2886,0,0,0,1238,0,1249.7242,3,5,145.68776893615723,DIG,f7bc41e2-6864-4163-8104-4b22ff6fc118,2021-11-19T12:30:34Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/04/39e16014-4939-11ec-9c21-16512f2173af-telemetry.json,66818b86-e354-4657-a2d9-01e26ebd92b7,"['DIG_HoneyBadger', 'DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi']",5,8,4,6895.700199999999,1847.5244500000001,1552.7676410675049,1488.5
