dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,2,5,412.51593,byplayer,1,2,14,1,2,21.909992,BGP_DG98,account.d992992df0424296b6260e9a413f3ac8,1,9564.228,0,0,0,1221,0,1542.4,5,8,227.89348602294922,BGP,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,659f0659-6033-4deb-87f5-5068c9f94192,"['BGP_DG98', 'BGP_taemin', 'BGP_Seongjang', 'BGP_Pio']",8,5,2,9852.4834925,606.481792,671.4376592636108,1046.75
0,0,3,61.177505,byplayer,0,2,26,1,1,11.086338,BGP_taemin,account.21265833d3cf4db290ff2d4748197655,0,8640.711,0,0,0,1028,0,694.6322,5,8,153.5345287322998,BGP,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,659f0659-6033-4deb-87f5-5068c9f94192,"['BGP_DG98', 'BGP_taemin', 'BGP_Seongjang', 'BGP_Pio']",8,5,2,9852.4834925,606.481792,671.4376592636108,1046.75
1,0,4,32.788357,byplayer,0,3,44,0,0,0.0,BGP_Seongjang,account.e996b065f2164d94b10d7e649c21d1b5,0,9005.726,0,0,0,946,0,459.63892,3,8,190.00964164733887,BGP,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,659f0659-6033-4deb-87f5-5068c9f94192,"['BGP_DG98', 'BGP_taemin', 'BGP_Seongjang', 'BGP_Pio']",8,5,2,9852.4834925,606.481792,671.4376592636108,1046.75
1,0,2,100.0,byplayer,0,0,15,1,2,43.231117,BGP_Pio,account.aa8dd6fba5d846f6871146980246bdc9,0,8639.852,0,0,0,992,0,862.74585,7,8,100.00000286102295,BGP,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,659f0659-6033-4deb-87f5-5068c9f94192,"['BGP_DG98', 'BGP_taemin', 'BGP_Seongjang', 'BGP_Pio']",8,5,2,9852.4834925,606.481792,671.4376592636108,1046.75
2,1,5,91.28343,byplayer,0,2,21,1,1,30.196402,22_HazeteN,account.e090fd52dadc401fb7abf956514246bb,0,7858.4487,0,0,0,1484,0,1164.4547,6,4,180.3379611968994,22,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,90db90bc-7f36-40b0-ad2a-5048ce499af6,"['22_HazeteN', '22_Haven', '22_v1n1', '22_guizeera']",4,4,3,9005.67785,653.8300300000001,800.8931910991669,1338.5
0,2,3,272.35834,byplayer,1,2,20,1,1,105.75932,22_Haven,account.62dd2335bde5481492b9aadbc57dd636,0,7750.162,0,0,0,1488,0,1152.0591,4,4,229.1159074306488,22,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,90db90bc-7f36-40b0-ad2a-5048ce499af6,"['22_HazeteN', '22_Haven', '22_v1n1', '22_guizeera']",4,4,3,9005.67785,653.8300300000001,800.8931910991669,1338.5
1,0,4,290.18826,byplayer,0,3,10,2,2,32.958607,22_v1n1,account.7ae47ce831414279adc68fedfa31dbdc,0,8386.506,0,0,0,1488,0,1339.2411,3,4,288.43932247161865,22,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,90db90bc-7f36-40b0-ad2a-5048ce499af6,"['22_HazeteN', '22_Haven', '22_v1n1', '22_guizeera']",4,4,3,9005.67785,653.8300300000001,800.8931910991669,1338.5
0,0,2,0.0,byplayer,0,0,39,0,0,0.0,22_guizeera,account.24a0781f7e6b4e93a87ddaca6bbee37e,0,7540.3813,0,0,0,894,0,831.4585,5,4,103.0,22,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,90db90bc-7f36-40b0-ad2a-5048ce499af6,"['22_HazeteN', '22_Haven', '22_v1n1', '22_guizeera']",4,4,3,9005.67785,653.8300300000001,800.8931910991669,1338.5
2,1,1,142.8932,byplayer,0,0,50,0,0,0.0,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,749.6467,0,0,0,338,0,226.19719,4,11,99.99999809265137,GEN,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,ae30178b-a457-4a4b-bb95-262467deb270,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,1,2768.7507825000002,565.42463,454.01520919799805,609.0
1,0,0,64.75,byplayer,0,0,29,1,1,41.674374,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,1412.1556,0,0,0,353,0,367.9845,5,11,99.99999618530273,GEN,f7f563cb-33d0-44fb-b564-1fdc5344324f,2022-11-10T13:42:16Z,Erangel (Remastered),1709,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/14/12/bd146410-6101-11ed-a4c3-16512f2173af-telemetry.json,ae30178b-a457-4a4b-bb95-262467deb270,"['GEN_Renba', 'GEN_Inonix', 'GEN_Asura', 'GEN_Adder']",11,3,1,2768.7507825000002,565.42463,454.01520919799805,609.0
