dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,2,3,569.82336,byplayer,1,3,3,2,3,277.31223,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,1,1880.8103,0,0,0,1867,0,1906.195,5,2,267.49513053894043,SSG,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,ab68444f-8c88-4966-bb80-795cd9b99c2b,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_oldless', 'SSG_Roth']",2,11,6,3764.599825,2290.0733800000003,1003.4918537139893,1676.5
2,2,5,427.46994,byplayer,2,3,5,1,3,313.72128,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,2239.6697,0,0,0,1503,0,1566.6726,4,2,263.8319664001465,SSG,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,ab68444f-8c88-4966-bb80-795cd9b99c2b,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_oldless', 'SSG_Roth']",2,11,6,3764.599825,2290.0733800000003,1003.4918537139893,1676.5
3,0,3,364.25528,byplayer,0,0,9,1,2,220.85114,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,1275.4843,0,0,0,1469,0,1735.009,4,2,158.93737411499023,SSG,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,ab68444f-8c88-4966-bb80-795cd9b99c2b,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_oldless', 'SSG_Roth']",2,11,6,3764.599825,2290.0733800000003,1003.4918537139893,1676.5
7,2,6,928.5248,byplayer,1,2,4,2,3,136.1,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,2309.9407,0,0,0,1867,0,2144.6177,3,2,313.2273826599121,SSG,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,ab68444f-8c88-4966-bb80-795cd9b99c2b,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_oldless', 'SSG_Roth']",2,11,6,3764.599825,2290.0733800000003,1003.4918537139893,1676.5
0,0,2,124.70299,byplayer,0,1,57,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,5793.4673,0,0,0,1191,0,1088.7928,4,13,138.99423599243164,ENCE,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,0e8c047f-23e5-4a47-8d33-8ffe314522bd,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu']",13,0,0,6459.7540500000005,214.85368,530.5880146026611,1155.25
0,0,3,0.0,byplayer,0,0,60,0,0,0.0,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,6006.533,0,0,0,1120,0,1404.8756,2,13,136.99999618530273,ENCE,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,0e8c047f-23e5-4a47-8d33-8ffe314522bd,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu']",13,0,0,6459.7540500000005,214.85368,530.5880146026611,1155.25
0,0,2,23.3919,byplayer,0,0,59,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,3949.8738,0,0,0,1139,0,1718.2141,2,13,124.39826393127441,ENCE,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,0e8c047f-23e5-4a47-8d33-8ffe314522bd,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu']",13,0,0,6459.7540500000005,214.85368,530.5880146026611,1155.25
0,0,3,66.75879,byzone,0,4,58,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,4433.179,0,0,0,1171,0,1444.0806,6,13,130.19551849365234,ENCE,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,0e8c047f-23e5-4a47-8d33-8ffe314522bd,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu']",13,0,0,6459.7540500000005,214.85368,530.5880146026611,1155.25
0,0,1,0.0,byplayer,0,0,55,0,0,0.0,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,6292.747,0,0,0,731,0,855.988,4,12,100.0,HERO,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,9a663ba6-f872-4176-beeb-86e47720dc29,"['HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_Beami']",12,1,0,7846.2106650000005,309.44664,400.0,906.0
0,0,0,55.8,byplayer,0,0,54,0,0,0.0,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,7277.654,0,0,0,900,0,647.6633,4,12,100.0,HERO,f84a506e-6f83-4c68-8704-0e77b16a82e0,2021-11-30T10:37:20Z,Miramar,1867,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/11/10/1a1442f1-51ce-11ec-9c21-16512f2173af-telemetry.json,9a663ba6-f872-4176-beeb-86e47720dc29,"['HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_Beami']",12,1,0,7846.2106650000005,309.44664,400.0,906.0
