dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,7,336.93817,byplayer,0,8,56,0,0,0.0,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,0,5072.9014,0,0,0,1188,0,867.1555,3,13,250.51214027404785,EIQ,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,93cc9a2a-6381-4140-b666-b7514200c7e1,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",13,2,3,4283.1409575,843.91473,759.8463916778564,951.5
0,1,3,98.64462,byplayer,0,5,57,0,0,0.0,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,3726.366,0,0,0,1178,0,1036.451,4,13,128.79867362976074,EIQ,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,93cc9a2a-6381-4140-b666-b7514200c7e1,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",13,2,3,4283.1409575,843.91473,759.8463916778564,951.5
4,2,4,408.33194,byplayer,1,4,14,1,2,264.9314,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,0,4752.188,0,0,0,1188,0,916.82556,4,13,280.53557777404785,EIQ,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,93cc9a2a-6381-4140-b666-b7514200c7e1,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",13,2,3,4283.1409575,843.91473,759.8463916778564,951.5
0,0,0,0.0,byplayer,0,0,58,0,0,0.0,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,0,438.53864,0,0,0,252,0,322.13773,3,13,100.0,EIQ,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,93cc9a2a-6381-4140-b666-b7514200c7e1,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",13,2,3,4283.1409575,843.91473,759.8463916778564,951.5
0,0,3,19.70892,byplayer,0,1,60,0,0,0.0,22_HazeteN,account.e090fd52dadc401fb7abf956514246bb,0,4518.1934,0,0,0,1072,0,760.63104,5,14,130.2328758239746,22,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,140eacec-dc4e-41b4-9bea-ce355914418e,"['22_HazeteN', '22_guizeera', '22_v1n1', '22_Haven']",14,0,0,6374.356360000001,102.33077,665.3750171661377,1070.0
0,0,7,82.62185,byplayer,0,5,59,0,0,0.0,22_guizeera,account.24a0781f7e6b4e93a87ddaca6bbee37e,0,5681.779,0,0,0,1072,0,794.1092,6,14,289.8020477294922,22,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,140eacec-dc4e-41b4-9bea-ce355914418e,"['22_HazeteN', '22_guizeera', '22_v1n1', '22_Haven']",14,0,0,6374.356360000001,102.33077,665.3750171661377,1070.0
0,0,0,0.0,byplayer,0,1,62,0,0,0.0,22_v1n1,account.7ae47ce831414279adc68fedfa31dbdc,0,5906.899,0,0,0,1064,0,796.2608,5,14,125.5916748046875,22,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,140eacec-dc4e-41b4-9bea-ce355914418e,"['22_HazeteN', '22_guizeera', '22_v1n1', '22_Haven']",14,0,0,6374.356360000001,102.33077,665.3750171661377,1070.0
0,0,1,0.0,byplayer,0,0,61,0,0,0.0,22_Haven,account.62dd2335bde5481492b9aadbc57dd636,0,6371.7876,0,0,0,1072,0,667.7654,4,14,119.7484188079834,22,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,140eacec-dc4e-41b4-9bea-ce355914418e,"['22_HazeteN', '22_guizeera', '22_v1n1', '22_Haven']",14,0,0,6374.356360000001,102.33077,665.3750171661377,1070.0
1,1,4,409.3517,alive,1,3,10,1,2,24.382568,PeRo_Ming,account.d4f5b94cd7d741c7b335cec18968823d,0,2739.7563,0,0,0,1713,0,2107.5842,5,1,156.1894073486328,PeRo,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,cd37b5c6-a0a3-48d7-b129-638471724041,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",1,11,7,4812.5119,2118.20152,776.011848449707,1713.0
3,2,4,630.98157,alive,0,7,2,2,4,492.601,PeRo_Aixleft,account.c3349c1fe89240d38238d7ae69aeeb83,0,3238.117,0,0,0,1713,0,2205.502,3,1,259.59783935546875,PeRo,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,cd37b5c6-a0a3-48d7-b129-638471724041,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",1,11,7,4812.5119,2118.20152,776.011848449707,1713.0
1,1,2,553.4302,alive,2,1,11,1,2,130.4455,PeRo_Loong,account.8d1dcd08baa44f9785601aceae8d2af9,0,2181.7307,0,0,0,1713,0,2090.0635,3,1,84.3028736114502,PeRo,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,cd37b5c6-a0a3-48d7-b129-638471724041,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",1,11,7,4812.5119,2118.20152,776.011848449707,1713.0
2,3,6,524.43805,alive,1,3,3,2,3,125.4994,PeRo_Myl,account.baebc89719394339a40b1e72b0c4edd8,1,2738.843,0,0,0,1713,0,1948.4509,6,1,275.9217281341553,PeRo,f8856a5f-3927-4e1b-9f9d-a3e7a078c2cf,2022-11-10T15:08:30Z,Miramar,1713,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/15/39/cc2ed3f1-610d-11ed-a4c3-16512f2173af-telemetry.json,cd37b5c6-a0a3-48d7-b129-638471724041,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",1,11,7,4812.5119,2118.20152,776.011848449707,1713.0
