dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,2,208.14395,byplayer,1,1,23,1,1,147.81175,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,2237.45,0,0,0,1082,0,1176.4906,2,12,128.99999904632568,17,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,4bb002b5-d4ba-4d92-9739-06cd1ebfae7e,"['17_LilGhost', '17_Xbei', '17_SuJiu', '17_shou']",12,3,2,3545.5663499999996,640.598358,893.9150867462158,1072.25
1,0,4,130.38026,byplayer,0,1,24,1,1,28.075373,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,2069.4602,0,0,0,1062,0,838.45514,4,12,189.59999561309814,17,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,4bb002b5-d4ba-4d92-9739-06cd1ebfae7e,"['17_LilGhost', '17_Xbei', '17_SuJiu', '17_shou']",12,3,2,3545.5663499999996,640.598358,893.9150867462158,1072.25
1,0,4,18.099998,byplayer,0,4,22,1,1,8.873598,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,3,3380.8918,0,0,0,1082,0,978.20276,3,12,266.9231986999512,17,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,4bb002b5-d4ba-4d92-9739-06cd1ebfae7e,"['17_LilGhost', '17_Xbei', '17_SuJiu', '17_shou']",12,3,2,3545.5663499999996,640.598358,893.9150867462158,1072.25
0,1,5,283.97415,byplayer,0,2,53,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,1,2537.1099,0,0,0,1063,0,964.205,5,12,308.3918933868408,17,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,4bb002b5-d4ba-4d92-9739-06cd1ebfae7e,"['17_LilGhost', '17_Xbei', '17_SuJiu', '17_shou']",12,3,2,3545.5663499999996,640.598358,893.9150867462158,1072.25
0,0,3,46.43027,byplayer,0,4,56,0,0,0.0,MCG_LingDuuuuuu,account.510027e2e1a542b2bfb3532014710f1f,0,2270.2568,0,0,0,871,0,764.6666,3,14,171.76788330078125,MCG,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,619cb947-8361-479d-ba0f-147849c89783,"['MCG_LingDuuuuuu', 'MCG_EviLLee', 'MCG_Summer', 'MCG_Tanki995']",14,2,0,3838.7732975,437.38761999999997,496.3933982849121,872.25
1,0,2,135.7843,byplayer,0,1,27,1,1,25.465517,MCG_EviLLee,account.9d6b5b2a67eb4f3388ccda5abc86d1b6,0,3991.8564,0,0,0,874,0,942.52026,4,14,128.09122276306152,MCG,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,619cb947-8361-479d-ba0f-147849c89783,"['MCG_LingDuuuuuu', 'MCG_EviLLee', 'MCG_Summer', 'MCG_Tanki995']",14,2,0,3838.7732975,437.38761999999997,496.3933982849121,872.25
2,0,0,200.0,byplayer,0,0,28,1,1,12.380079,MCG_Summer,account.5cdfa06fd28a4172972eb5bcda665952,0,2932.7402,0,0,0,874,1,762.89343,5,14,96.53429412841797,MCG,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,619cb947-8361-479d-ba0f-147849c89783,"['MCG_LingDuuuuuu', 'MCG_EviLLee', 'MCG_Summer', 'MCG_Tanki995']",14,2,0,3838.7732975,437.38761999999997,496.3933982849121,872.25
1,0,1,55.17305,byplayer,0,0,57,0,0,0.0,MCG_Tanki995,account.5c57574acf7043a28e9420737bd71988,0,2988.3328,0,0,1,870,0,701.8267,7,14,99.99999809265137,MCG,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,619cb947-8361-479d-ba0f-147849c89783,"['MCG_LingDuuuuuu', 'MCG_EviLLee', 'MCG_Summer', 'MCG_Tanki995']",14,2,0,3838.7732975,437.38761999999997,496.3933982849121,872.25
0,0,3,23.559666,byplayer,0,4,34,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,2753.1426,0,0,0,1382,0,1422.7104,3,5,334.76886463165283,ENCE,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,2ef639a7-a075-470f-82ad-37f40eb9c4f9,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_SKUIJKE', 'ENCE_Tiikzu']",5,0,0,4785.443950000001,234.253256,802.3046789169312,1338.0
0,0,2,114.07701,byplayer,0,2,35,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,3768.5583,0,0,0,1336,0,1505.4766,6,5,180.27837753295898,ENCE,f8b2b277-c8b6-450c-9b31-c62ed7cc3e20,2021-11-27T11:32:27Z,Erangel (Remastered),1891,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/12/05/5cbfc501-4f7a-11ec-9c21-16512f2173af-telemetry.json,2ef639a7-a075-470f-82ad-37f40eb9c4f9,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_SKUIJKE', 'ENCE_Tiikzu']",5,0,0,4785.443950000001,234.253256,802.3046789169312,1338.0
