dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,131.97382,byplayer,0,1,27,1,1,15.355785,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,6388.8877,0,0,0,993,0,802.8646,7,14,168.99213790893555,SSG,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f4becd0e-6e90-4cdc-8db8-fe14f8771c91,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",14,2,1,6798.023135,380.195898,678.6410732269287,988.75
0,0,2,64.57712,byplayer,0,2,59,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,5665.4873,0,0,0,966,0,1033.4886,9,14,193.650728225708,SSG,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f4becd0e-6e90-4cdc-8db8-fe14f8771c91,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",14,2,1,6798.023135,380.195898,678.6410732269287,988.75
1,0,2,123.58496,byplayer,0,0,28,1,1,8.526325,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,5059.4375,0,0,0,987,1,741.425,5,14,154.81290435791016,SSG,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f4becd0e-6e90-4cdc-8db8-fe14f8771c91,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",14,2,1,6798.023135,380.195898,678.6410732269287,988.75
0,1,2,60.059998,byplayer,0,1,58,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,6517.602,0,0,0,1009,1,982.89984,4,14,161.185302734375,SSG,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f4becd0e-6e90-4cdc-8db8-fe14f8771c91,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",14,2,1,6798.023135,380.195898,678.6410732269287,988.75
3,0,5,358.61722,byplayer,1,3,8,1,3,206.09334,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,1,3465.0505,0,0,0,1951,0,2004.1881,7,3,190.51197052001953,BBL,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,6eb96989-db6b-444d-844c-e19b699cdb8c,"['BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Smash']",3,7,3,6108.204125,1565.2172,1247.9823665618896,1943.75
2,1,3,294.47678,byplayer,0,1,17,1,1,102.83134,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,0,4069.7515,0,0,0,1943,0,2412.9812,5,3,192.75866889953613,BBL,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,6eb96989-db6b-444d-844c-e19b699cdb8c,"['BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Smash']",3,7,3,6108.204125,1565.2172,1247.9823665618896,1943.75
2,0,5,416.5018,byplayer,1,6,11,1,2,182.18297,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,4156.3823,0,0,0,1937,0,2059.7085,6,3,342.8488368988037,BBL,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,6eb96989-db6b-444d-844c-e19b699cdb8c,"['BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Smash']",3,7,3,6108.204125,1565.2172,1247.9823665618896,1943.75
1,2,13,495.6214,byplayer,0,6,16,1,1,57.599247,BBL_Smash,account.c75b809eb47e4345843058494674d64c,1,4141.5767,0,0,0,1944,0,2123.1777,4,3,521.8628902435303,BBL,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,6eb96989-db6b-444d-844c-e19b699cdb8c,"['BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Smash']",3,7,3,6108.204125,1565.2172,1247.9823665618896,1943.75
7,0,4,634.22034,byplayer,1,1,5,2,4,54.62906,BRU_Conaxy,account.2af36fc5835d4156baaf109bbfd6baa2,0,2853.9521,0,0,0,1740,0,1641.2649,6,5,221.78000259399414,BRU,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f044d590-7762-4aab-a245-8612858d5f35,"['BRU_Conaxy', 'BRU_GodMiao', 'BRU_Noardra', 'BRU_Eaddy']",5,6,1,4065.6443499999996,1266.4484049999999,667.54225730896,1365.25
2,1,2,438.361,byplayer,0,3,19,1,1,37.65461,BRU_GodMiao,account.4af2f0f4a9a24c2c80e0b99ce204b541,1,2158.0076,0,0,0,1411,1,1966.5249,6,5,203.61999702453613,BRU,f90703de-9312-4a93-b63a-6b5807c7af27,2021-12-04T10:01:48Z,Erangel (Remastered),1959,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/10/36/02fa082f-54ee-11ec-9c21-16512f2173af-telemetry.json,f044d590-7762-4aab-a245-8612858d5f35,"['BRU_Conaxy', 'BRU_GodMiao', 'BRU_Noardra', 'BRU_Eaddy']",5,6,1,4065.6443499999996,1266.4484049999999,667.54225730896,1365.25
