dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,3,5,655.6741,byplayer,1,5,5,1,3,130.05145,FURY_Ronon,account.17cfc55c4428413e841ef3b41dcb5ccb,0,6271.692,0,0,0,1924,0,2632.844,4,3,382.6814498901367,FURY,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,8b9254cd-e4aa-44a8-b1be-07c62db611f8,"['FURY_Ronon', 'FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd']",3,8,8,7372.809275,2374.11274,1264.8613958358765,1712.25
7,4,5,901.29456,byplayer,2,4,4,2,4,180.49664,FURY_Insight,account.367fa053eea740a9a1423b110d078f23,0,5197.303,0,0,0,1890,0,1975.4119,5,3,420.39717960357666,FURY,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,8b9254cd-e4aa-44a8-b1be-07c62db611f8,"['FURY_Ronon', 'FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd']",3,8,8,7372.809275,2374.11274,1264.8613958358765,1712.25
0,0,0,150.19228,byzone,0,0,35,0,0,0.0,FURY_Ykikamucow,account.d4d084bbf0c2400480a484110ff67eee,0,5321.871,0,0,0,1111,0,1194.0195,5,3,93.03849792480469,FURY,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,8b9254cd-e4aa-44a8-b1be-07c62db611f8,"['FURY_Ronon', 'FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd']",3,8,8,7372.809275,2374.11274,1264.8613958358765,1712.25
2,1,6,666.9518,byplayer,0,9,20,1,1,49.38329,FURY_Fludd,account.5a732d0cc7464aea92eb1e2ae8073998,2,5092.766,0,0,0,1924,0,1805.3297,7,3,368.7442684173584,FURY,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,8b9254cd-e4aa-44a8-b1be-07c62db611f8,"['FURY_Ronon', 'FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd']",3,8,8,7372.809275,2374.11274,1264.8613958358765,1712.25
4,2,5,724.0416,alive,1,3,1,2,6,121.83761,GBL_Renba,account.103b3596564a45d1a58b3bfb723cc319,1,2722.1228,0,0,0,1931,0,2723.9744,7,1,138.26039695739746,GBL,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,1567fe2b-c4ff-4e0d-9e9c-04a6911d2eea,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",1,12,9,4251.5932135,2247.96271,970.30100440979,1920.25
3,3,2,418.16037,alive,0,2,16,1,1,11.874917,GBL_Lambu,account.61ae3d6e0c1848069e267f1f0e02a393,0,14.474754,0,0,0,1931,0,3192.291,5,1,236.96184158325195,GBL,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,1567fe2b-c4ff-4e0d-9e9c-04a6911d2eea,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",1,12,9,4251.5932135,2247.96271,970.30100440979,1920.25
0,1,3,521.61694,alive,0,2,17,1,1,13.340241,GBL_Spear,account.d210ba9bd9bb4b84bdc703d9ea52e186,0,2220.098,0,0,0,1931,0,1923.6915,6,1,196.57008361816406,GBL,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,1567fe2b-c4ff-4e0d-9e9c-04a6911d2eea,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",1,12,9,4251.5932135,2247.96271,970.30100440979,1920.25
5,3,5,584.1438,alive,0,12,2,1,4,353.08478,GBL_Adder,account.a8121514ac294bfa8556155aad4baeb4,1,2012.2372,0,0,0,1888,0,2197.4832,2,1,398.50868225097656,GBL,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,1567fe2b-c4ff-4e0d-9e9c-04a6911d2eea,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",1,12,9,4251.5932135,2247.96271,970.30100440979,1920.25
0,0,2,0.0,byplayer,0,1,33,1,1,669.29517,DIG_sparkingg,account.2bf211401351438c987b6846009db9ba,0,9542.807,0,0,0,901,0,658.5644,4,15,113.99999237060547,DIG,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,3155fc0d-460d-461f-868d-e9737e509633,"['DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_Poonage']",15,1,0,7724.5338975,257.14865,428.33344745635986,764.25
1,0,2,257.14865,byplayer,0,2,59,0,0,0.0,DIG_HoneyBadger,account.eaeaba953a094607b60bd205ea2dd889,0,8243.872,0,0,0,962,0,503.69864,3,15,114.33345317840576,DIG,f9d6cdfc-c4e3-4d56-b163-f566c63dafeb,2021-11-20T13:26:05Z,Miramar,1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/14/00/2c9fb9a2-4a0a-11ec-9c21-16512f2173af-telemetry.json,3155fc0d-460d-461f-868d-e9737e509633,"['DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_Poonage']",15,1,0,7724.5338975,257.14865,428.33344745635986,764.25
