dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,1,5,864.3069,byplayer,3,4,1,2,6,210.47626,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,7495.236,0,0,0,1740,1,1564.1709,7,2,383.33056640625,GEN,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,fde559bb-f7da-4ea0-92f0-2f96180a4b5a,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",2,11,3,8262.1578,1451.60362,986.9591016769409,1708.25
1,0,5,170.47742,byplayer,0,2,16,1,1,21.262344,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,7139.734,0,0,0,1740,0,1234.0409,4,2,254.79999351501465,GEN,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,fde559bb-f7da-4ea0-92f0-2f96180a4b5a,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",2,11,3,8262.1578,1451.60362,986.9591016769409,1708.25
1,2,2,377.32544,byplayer,0,2,5,1,3,53.25203,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,6366.002,0,0,0,1740,0,1174.1493,6,2,176.41207122802734,GEN,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,fde559bb-f7da-4ea0-92f0-2f96180a4b5a,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",2,11,3,8262.1578,1451.60362,986.9591016769409,1708.25
1,0,1,39.49386,byplayer,1,1,17,1,1,19.186356,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,7131.2656,0,0,0,1613,0,944.0325,2,2,172.41647052764893,GEN,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,fde559bb-f7da-4ea0-92f0-2f96180a4b5a,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",2,11,3,8262.1578,1451.60362,986.9591016769409,1708.25
1,2,2,100.00001,byplayer,0,0,29,1,1,6.4313297,BBL_Smash,account.c75b809eb47e4345843058494674d64c,1,6505.378,0,0,0,1168,1,771.3753,3,15,124.11279296875,BBL,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,ce79ad98-9183-45fa-9254-7d2f7e087441,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",15,5,2,6068.933999999999,446.310475,582.2939548492432,1168.0
2,0,2,207.77133,byplayer,0,0,14,2,2,8.830456,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,4488.196,0,0,0,1168,0,1398.828,4,15,100.0,BBL,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,ce79ad98-9183-45fa-9254-7d2f7e087441,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",15,5,2,6068.933999999999,446.310475,582.2939548492432,1168.0
1,0,4,73.09161,byplayer,0,6,27,1,1,7.9356885,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,0,2585.5054,0,0,0,1168,0,1489.7716,5,15,206.48175621032715,BBL,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,ce79ad98-9183-45fa-9254-7d2f7e087441,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",15,5,2,6068.933999999999,446.310475,582.2939548492432,1168.0
1,0,1,65.447525,byplayer,1,1,28,1,1,64.60911,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,5938.7993,0,0,0,1168,0,1097.8824,3,15,151.69940567016602,BBL,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,ce79ad98-9183-45fa-9254-7d2f7e087441,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",15,5,2,6068.933999999999,446.310475,582.2939548492432,1168.0
1,0,5,120.6,byplayer,0,5,12,2,2,57.033546,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,1,2181.0303,0,0,0,1522,0,1111.328,6,7,279.39031982421875,GHD,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,6f002a81-3a82-42c3-a36a-825271a9bb6d,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007', 'GHD_McMoo']",7,5,3,3074.7187,798.29513,1460.7979669570923,1487.25
0,1,4,267.3378,byplayer,0,4,45,0,0,0.0,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,0,1518.8927,0,0,0,1522,0,1573.4069,4,7,408.7759189605713,GHD,fb536ab2-4603-4e29-9a32-4e6fd1f7c522,2021-12-09T10:43:54Z,Miramar,1740,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/11/14/3798c054-58e1-11ec-9c21-16512f2173af-telemetry.json,6f002a81-3a82-42c3-a36a-825271a9bb6d,"['GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007', 'GHD_McMoo']",7,5,3,3074.7187,798.29513,1460.7979669570923,1487.25
