dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,1,52,0,0,0.0,22_Haven,account.7fb5d433762a4b47b28f0c74e358badd,0,4102.742,0,0,0,866,0,928.9659,4,11,132.62263298034668,22,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,517de278-b17e-4352-a760-a98b04ac1ff1,"['22_Haven', '22_v1n1', '22_HazeteN', '22_guizeera']",11,1,0,4391.663425,500.596142,658.5614776611328,965.0
0,0,2,78.94943,byplayer,0,0,51,0,0,0.0,22_v1n1,account.7404425d67ba440ead6f50ef6b2f8fa7,0,2584.7998,0,0,0,907,0,1016.697,3,11,144.23131370544434,22,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,517de278-b17e-4352-a760-a98b04ac1ff1,"['22_Haven', '22_v1n1', '22_HazeteN', '22_guizeera']",11,1,0,4391.663425,500.596142,658.5614776611328,965.0
2,0,4,367.98334,byplayer,0,2,28,1,1,22.3377,22_HazeteN,account.daed02e7b9c74c8ca3f01937fd93e2c4,0,4413.0015,0,0,0,1165,0,616.2837,6,11,249.3934097290039,22,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,517de278-b17e-4352-a760-a98b04ac1ff1,"['22_Haven', '22_v1n1', '22_HazeteN', '22_guizeera']",11,1,0,4391.663425,500.596142,658.5614776611328,965.0
0,0,1,53.663372,byplayer,0,2,50,0,0,0.0,22_guizeera,account.fc06dbc86d4e4cd89b697f458c307493,0,3192.1387,0,0,0,922,0,712.0251,4,11,132.3141212463379,22,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,517de278-b17e-4352-a760-a98b04ac1ff1,"['22_Haven', '22_v1n1', '22_HazeteN', '22_guizeera']",11,1,0,4391.663425,500.596142,658.5614776611328,965.0
1,1,2,210.59189,byplayer,0,3,26,1,1,13.735388,TWIS_spyrro,account.7a8cb4e92b104e36b6f0ccd84ae617fc,0,5021.094,0,0,0,1346,0,1099.7914,3,7,253.77720642089844,TWIS,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,80ad0b69-b8c8-42b3-8055-87a59a2ed6f3,"['TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu', 'TWIS_BatulinS']",7,4,2,6819.29875,860.660146,810.8669376373291,1311.5
3,0,4,371.20654,byzone,1,1,6,2,3,223.18513,TWIS_Perfect1ks,account.58021bdf9f8447a6991f8f4267f9272e,0,5439.503,0,0,0,1325,0,1544.8732,6,7,165.26226425170898,TWIS,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,80ad0b69-b8c8-42b3-8055-87a59a2ed6f3,"['TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu', 'TWIS_BatulinS']",7,4,2,6819.29875,860.660146,810.8669376373291,1311.5
0,0,2,223.67282,byplayer,0,2,40,0,0,0.0,TWIS_Lu,account.cd98427215a64216a09aa88eb9518463,0,5575.022,0,0,0,1350,1,1394.5369,3,7,211.2181739807129,TWIS,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,80ad0b69-b8c8-42b3-8055-87a59a2ed6f3,"['TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu', 'TWIS_BatulinS']",7,4,2,6819.29875,860.660146,810.8669376373291,1311.5
0,1,0,55.188896,byplayer,0,1,41,0,0,0.0,TWIS_BatulinS,account.4b793484904c42e9811a033ab8d58a07,0,6007.01,0,0,0,1225,0,1195.3645,4,7,180.6092929840088,TWIS,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,80ad0b69-b8c8-42b3-8055-87a59a2ed6f3,"['TWIS_spyrro', 'TWIS_Perfect1ks', 'TWIS_Lu', 'TWIS_BatulinS']",7,4,2,6819.29875,860.660146,810.8669376373291,1311.5
0,0,3,0.0,byplayer,0,1,46,0,0,0.0,T5_RossitedJR,account.a340fd345f7440acaaa4499ff4b05fc0,0,5698.763,0,0,0,1124,0,924.6389,5,9,135.6734104156494,T5,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,34940ae4-ad50-4959-9d83-99cee8b267af,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",9,0,0,7618.167675,136.70221800000002,738.3663721084595,1171.25
0,0,4,22.120255,byplayer,0,2,43,0,0,0.0,T5_RangerX,account.91a99cc95da940c6a431168fe93ce350,1,6871.877,0,0,0,1193,0,824.209,3,9,209.20826816558838,T5,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,Miramar,1791,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json,34940ae4-ad50-4959-9d83-99cee8b267af,"['T5_RossitedJR', 'T5_RangerX', 'T5_Excrozit', 'T5_Pathompong']",9,0,0,7618.167675,136.70221800000002,738.3663721084595,1171.25
