dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kills,longest_kill,revives,total_distance,ride_distance,road_kills,swim_distance,vehicle_destroys,time_survived,walk_distance,weapons_acquired,win_place,team_count,map_name,duration
2,4,1,383,0,1,0,0.0,0,4.84,4.22,0,0.0,0,658,0.62,4,13,16,에란겔,1677
6,1,8,493,2,6,4,0.249,0,3.34,1.67,0,0.0,0,1363,1.67,4,8,15,태이고,1869
0,0,1,265,0,1,1,0.281,0,1.9,0.78,0,0.0,0,729,1.12,9,13,16,미라마,1822
6,0,4,611,2,0,4,0.14,0,5.69,4.73,0,0.0,0,784,0.96,5,11,16,태이고,1779
5,0,0,587,0,1,3,0.019,0,0.44,0.0,0,0.0,0,373,0.44,6,14,16,에란겔,1535
2,3,4,323,1,2,3,0.238,0,4.27,2.3,0,0.0,0,1242,1.97,9,1,16,태이고,1242
0,1,2,75,0,0,0,0.0,0,4.97,4.14,0,0.0,0,714,0.83,4,13,16,미라마,1664
0,0,0,0,0,0,0,0.0,0,0.06,0.0,0,0.0,0,108,0.06,1,16,16,에란겔,1619
0,0,0,0,0,0,0,0.0,0,0.56,0.0,0,0.0,0,342,0.56,6,16,16,태이고,1706
2,0,4,403,2,2,3,0.022,1,3.58,1.71,0,0.0,0,1138,1.87,8,5,15,미라마,1956
0,0,1,21,0,0,0,0.0,1,3.87,3.18,0,0.0,0,718,0.69,4,4,15,미라마,1794
1,0,0,210,0,2,0,0.0,3,2.52,2.03,0,0.0,0,613,0.49,5,14,16,에란겔,1734
0,0,0,0,0,0,0,0.0,0,0.28,0.0,0,0.0,0,365,0.28,3,7,17,에란겔,1239
1,1,0,148,1,0,1,0.002,0,0.08,0.0,0,0.0,0,144,0.08,3,4,16,미라마,1734
0,0,0,12,0,0,0,0.0,0,0.0,0.0,0,0.0,0,73,0.0,0,15,16,에란겔,1494
0,0,0,0,0,0,0,0.0,0,0.03,0.0,0,0.0,0,104,0.03,0,15,16,미라마,1535
0,1,2,38,0,0,0,0.0,0,5.38,4.45,0,0.0,0,649,0.92,6,8,16,태이고,1692
0,0,0,0,0,2,0,0.0,0,0.06,0.0,0,0.0,0,172,0.06,1,16,16,에란겔,1457
1,0,1,153,0,0,0,0.0,0,0.07,0.0,0,0.0,0,126,0.07,3,16,16,에란겔,1496
0,0,0,0,0,0,0,0.0,0,0.03,0.0,0,0.0,0,146,0.03,2,15,15,미라마,1868
0,0,3,51,0,0,0,0.0,1,1.68,0.73,0,0.0,0,991,0.95,5,10,16,태이고,1855
2,0,3,250,2,0,3,0.113,0,5.57,4.29,0,0.0,1,788,1.29,3,11,15,에란겔,1946
1,1,10,364,2,8,3,0.035,2,8.15,6.83,0,0.0,0,1431,1.31,6,2,16,미라마,1860
0,1,9,256,1,4,1,0.025,2,7.92,5.64,0,0.0,0,1619,2.28,5,4,16,미라마,1848
3,0,6,161,0,5,3,0.149,0,5.33,3.68,0,0.0,0,1307,1.65,4,7,16,에란겔,1875
1,0,2,198,1,1,2,0.036,0,2.72,1.49,0,0.0,1,1010,1.23,7,12,15,에란겔,1888
1,1,2,132,0,0,0,0.0,0,5.18,3.64,0,0.0,0,1114,1.54,8,6,15,미라마,1691
0,1,6,85,0,5,0,0.0,0,10.61,9.2,0,0.0,0,962,1.41,5,11,16,태이고,1632
1,0,2,140,1,6,2,0.025,0,0.47,0.0,0,0.0,0,468,0.47,3,14,15,태이고,1875
0,0,0,52,0,0,0,0.0,1,0.17,0.0,0,0.0,0,193,0.17,4,15,16,태이고,1768
0,0,0,91,0,0,0,0.0,0,0.08,0.0,0,0.0,0,158,0.08,2,16,16,태이고,1687
1,0,2,75,0,0,1,0.028,0,1.43,0.61,0,0.0,0,579,0.82,4,14,16,태이고,1626
0,0,1,0,0,0,0,0.0,0,2.38,1.35,0,0.0,0,681,1.04,5,14,16,태이고,1875
0,0,4,83,0,0,0,0.0,0,5.69,4.55,0,0.0,0,1047,1.14,5,7,16,태이고,1414
2,0,2,200,1,3,2,0.054,0,0.83,0.39,0,0.0,0,426,0.45,3,12,17,태이고,1945
3,0,8,681,2,1,3,0.129,0,6.01,3.76,0,0.0,0,1637,2.25,4,4,16,미라마,1792
0,0,0,0,0,0,0,0.0,0,0.03,0.0,0,0.0,0,123,0.03,2,16,16,태이고,1799
1,0,0,102,0,1,0,0.0,0,1.13,0.0,0,0.0,0,533,1.13,4,13,16,미라마,1884
0,0,5,81,0,2,0,0.0,0,6.58,5.92,0,0.0,0,994,0.66,3,8,15,태이고,1844
1,1,10,276,0,14,0,0.0,0,5.75,4.38,0,0.0,0,1307,1.37,9,2,15,에란겔,1523
